
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="structbalDefault1",="MERat0_structbal_Def1",="MERat1_structbal_Def1",="MERat2_structbal_Def1",="structbalDefault2",="MERat0_structbal_Def2",="MERat1_structbal_Def2",="MERat2_structbal_Def2",="structbalDefault5",="MERat0_structbal_Def5",="MERat1_structbal_Def5",="MERat2_structbal_Def5",="structbalDefault10",="MERat0_structbal_Def10",="MERat1_structbal_Def10",="MERat2_structbal_Def10"

="main",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="NGDPDPC_Var",="-0.00481",="0.000688",="-0.000565",="-0.000109",="-0.00483",="0.000692",="-0.000569",="-0.000110",="-0.00499",="0.000717",="-0.000589",="-0.000114",="-0.00517",="0.000764",="-0.000624",="-0.000124"
="",="(-0.60)",="(0.59)",="(-0.59)",="(-0.56)",="(-0.60)",="(0.59)",="(-0.59)",="(-0.56)",="(-0.63)",="(0.62)",="(-0.62)",="(-0.58)",="(-0.68)",="(0.67)",="(-0.67)",="(-0.62)"
="NGDP_RPCH",="0.00946",="-0.00135",="0.00111",="0.000215",="0.00954",="-0.00137",="0.00112",="0.000217",="0.0107",="-0.00154",="0.00127",="0.000246",="0.0157",="-0.00232",="0.00189",="0.000378"
="",="(0.24)",="(-0.24)",="(0.24)",="(0.24)",="(0.24)",="(-0.24)",="(0.24)",="(0.23)",="(0.26)",="(-0.26)",="(0.26)",="(0.26)",="(0.38)",="(-0.38)",="(0.38)",="(0.36)"
="ExtDebtPercGNI_Var",="-0.0101",="0.00144",="-0.00119",="-0.000229",="-0.0103",="0.00147",="-0.00121",="-0.000234",="-0.0102",="0.00147",="-0.00120",="-0.000234",="-0.00996",="0.00147",="-0.00120",="-0.000240"
="",="(-1.29)",="(1.17)",="(-1.22)",="(-0.93)",="(-1.36)",="(1.23)",="(-1.29)",="(-0.97)",="(-1.33)",="(1.21)",="(-1.27)",="(-0.96)",="(-1.31)",="(1.21)",="(-1.26)",="(-0.96)"
="GGSB_NPGDP",="0.00915",="-0.00131",="0.00108",="0.000208",="0.00877",="-0.00126",="0.00103",="0.000200",="0.00899",="-0.00129",="0.00106",="0.000206",="0.0107",="-0.00158",="0.00129",="0.000257"
="",="(0.21)",="(-0.21)",="(0.21)",="(0.20)",="(0.20)",="(-0.20)",="(0.20)",="(0.19)",="(0.20)",="(-0.20)",="(0.20)",="(0.20)",="(0.24)",="(-0.24)",="(0.24)",="(0.23)"
="PCPIPCH",="-0.00714",="0.00102",="-0.000839",="-0.000162",="-0.00652",="0.000934",="-0.000767",="-0.000148",="-0.00471",="0.000678",="-0.000556",="-0.000108",="0.00365",="-0.000539",="0.000441",="0.0000879"
="",="(-0.12)",="(0.12)",="(-0.12)",="(-0.12)",="(-0.11)",="(0.11)",="(-0.11)",="(-0.11)",="(-0.08)",="(0.08)",="(-0.08)",="(-0.08)",="(0.06)",="(-0.06)",="(0.06)",="(0.06)"
="DefaultLastYear=0",="0",="0",="0",="0",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",=""
="DefaultLastYear=1",="0.0997",="-0.0151",="0.0123",="0.00249",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.28)",="(-0.26)",="(0.26)",="(0.26)",="",="",="",="",="",="",="",="",="",="",="",=""
="DefaultLast2Years=0",="",="",="",="",="0",="0",="0",="0",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",=""
="DefaultLast2Years=1",="",="",="",="",="0.0509",="-0.00750",="0.00614",="0.00121",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(0.12)",="(-0.12)",="(0.12)",="(0.12)",="",="",="",="",="",="",="",=""
="DefaultLast5Years=0",="",="",="",="",="",="",="",="",="0",="0",="0",="0",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="",="",="",=""
="DefaultLast5Years=1",="",="",="",="",="",="",="",="",="-0.0394",="0.00556",="-0.00457",="-0.000875",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-0.11)",="(0.11)",="(-0.11)",="(-0.11)",="",="",="",=""
="DefaultLast10Years=0",="",="",="",="",="",="",="",="",="",="",="",="",="0",="0",="0",="0"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)"
="DefaultLast10Years=1",="",="",="",="",="",="",="",="",="",="",="",="",="-0.374",="0.0466",="-0.0390",="-0.00686"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.83)",="(0.92)",="(-0.93)",="(-0.79)"

="cut1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Const",="1.393***",="",="",="",="1.392***",="",="",="",="1.387***",="",="",="",="1.346***",="",="",=""
="",="(3.46)",="",="",="",="(3.45)",="",="",="",="(3.47)",="",="",="",="(3.35)",="",="",=""

="cut2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Const",="2.315***",="",="",="",="2.314***",="",="",="",="2.309***",="",="",="",="2.275***",="",="",=""
="",="(5.18)",="",="",="",="(5.18)",="",="",="",="(5.23)",="",="",="",="(5.17)",="",="",=""

="cut3",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Const",="3.128***",="",="",="",="3.127***",="",="",="",="3.123***",="",="",="",="3.102***",="",="",=""
="",="(5.63)",="",="",="",="(5.66)",="",="",="",="(5.69)",="",="",="",="(5.68)",="",="",=""

="sigma2_u",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Const",="1.102***",="",="",="",="1.104***",="",="",="",="1.111***",="",="",="",="1.174**",="",="",=""
="",="(2.73)",="",="",="",="(2.73)",="",="",="",="(2.73)",="",="",="",="(2.54)",="",="",=""

="Observations",="532",="532",="532",="532",="532",="532",="532",="532",="532",="532",="532",="532",="532",="532",="532",="532"
="Pseudo R-squared",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
