="",="foodw_sfnetdebt",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="main:ngdpdpc_var",="main:ngdp_rpch",="main:extdebtpercgni_var",="main:ggxwdn_ngdp_var",="main:pcpipch",="main:0.defaultlastyear",="main:1.defaultlastyear",="main:0.defaultlast2years",="main:1.defaultlast2years",="main:0.defaultlast5years",="main:1.defaultlast5years",="main:0.defaultlast10years",="main:1.defaultlast10years",="cut1:_cons",="cut2:_cons",="sigma2_u:_cons"
="netdebt_OP_1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.018713",=".0191799",="8.76e-06",="-.0000105",=".0483537",="0",=".6796288",="",="",="",="",="",="",="1.81622",="3.421195",="1.460311"
="t",="-2.213018",=".4673439",=".002338",="-1.098624",="1.356699",=".",="1.508858",="",="",="",="",="",="",="5.237206",="9.026436",="2.940739"
="p",=".0268964",=".6402539",=".9981345",=".2719322",=".1748769",=".",=".131335",="",="",="",="",="",="",="1.63e-07",="0",=".0032743"
="netdebt_ME0_Def1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0020495",="-.0021006",="-9.60e-07",="1.15e-06",="-.0052958",="0",="-.1103339",="",="",="",="",="",="",="",="",=""
="t",="1.776755",="-.4618778",="-.0023382",="1.007692",="-1.356367",=".",="-1.125784",="",="",="",="",="",="",="",="",=""
="p",=".0756086",=".644169",=".9981344",=".3136021",=".1749825",=".",=".2602571",="",="",="",="",="",="",="",="",=""
="netdebt_ME1_Def1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0019876",=".0020372",="9.31e-07",="-1.11e-06",=".005136",="0",=".1056707",="",="",="",="",="",="",="",="",=""
="t",="-1.813829",=".4632111",=".0023382",="-1.011465",="1.374133",=".",="1.152043",="",="",="",="",="",="",="",="",=""
="p",=".0697041",=".6432131",=".9981344",=".311794",=".1694005",=".",=".2493033",="",="",="",="",="",="",="",="",=""
="netdebt_ME2_Def1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0000618",=".0000634",="2.90e-08",="-3.46e-08",=".0001598",="0",=".0046632",="",="",="",="",="",="",="",="",=""
="t",="-.9076902",=".4069443",=".0023385",="-.7427946",=".822675",=".",=".685251",="",="",="",="",="",="",="",="",=""
="p",=".3640419",=".6840489",=".9981341",=".457606",=".4106928",=".",=".4931856",="",="",="",="",="",="",="",="",=""
