
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="netdebtDefault1",="MERat0_netdebt_Def1",="MERat1_netdebt_Def1",="MERat2_netdebt_Def1",="netdebtDefault2",="MERat0_netdebt_Def2",="MERat1_netdebt_Def2",="MERat2_netdebt_Def2",="netdebtDefault5",="MERat0_netdebt_Def5",="MERat1_netdebt_Def5",="MERat2_netdebt_Def5",="netdebtDefault10",="MERat0_netdebt_Def10",="MERat1_netdebt_Def10",="MERat2_netdebt_Def10"

="main",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="NGDPDPC_Var",="-0.0187**",="0.00205*",="-0.00199*",="-0.0000618",="-0.0188**",="0.00207*",="-0.00201*",="-0.0000581",="-0.0191**",="0.00208*",="-0.00202*",="-0.0000572",="-0.0179**",="0.00215*",="-0.00208*",="-0.0000674"
="",="(-2.21)",="(1.78)",="(-1.81)",="(-0.91)",="(-2.22)",="(1.78)",="(-1.82)",="(-0.90)",="(-2.23)",="(1.79)",="(-1.83)",="(-0.90)",="(-2.09)",="(1.78)",="(-1.82)",="(-0.92)"
="NGDP_RPCH",="0.0192",="-0.00210",="0.00204",="0.0000634",="0.0196",="-0.00216",="0.00210",="0.0000606",="0.0182",="-0.00198",="0.00193",="0.0000545",="0.0205",="-0.00247",="0.00239",="0.0000773"
="",="(0.47)",="(-0.46)",="(0.46)",="(0.41)",="(0.48)",="(-0.47)",="(0.47)",="(0.41)",="(0.44)",="(-0.43)",="(0.44)",="(0.39)",="(0.50)",="(-0.50)",="(0.50)",="(0.43)"
="ExtDebtPercGNI_Var",="0.00000876",="-0.000000960",="0.000000931",="2.90e-08",="0.0000358",="-0.00000395",="0.00000384",="0.000000111",="0.000163",="-0.0000178",="0.0000173",="0.000000489",="0.0000747",="-0.00000900",="0.00000871",="0.000000282"
="",="(0.00)",="(-0.00)",="(0.00)",="(0.00)",="(0.01)",="(-0.01)",="(0.01)",="(0.01)",="(0.04)",="(-0.04)",="(0.04)",="(0.04)",="(0.02)",="(-0.02)",="(0.02)",="(0.02)"
="GGXWDN_NGDP_Var",="-0.0000105",="0.00000115",="-0.00000111",="-3.46e-08",="-0.0000103",="0.00000114",="-0.00000111",="-3.19e-08",="-0.00000961",="0.00000105",="-0.00000102",="-2.89e-08",="-0.00000920",="0.00000111",="-0.00000107",="-3.47e-08"
="",="(-1.10)",="(1.01)",="(-1.01)",="(-0.74)",="(-1.09)",="(0.99)",="(-0.98)",="(-0.73)",="(-1.06)",="(0.97)",="(-0.96)",="(-0.74)",="(-0.91)",="(0.88)",="(-0.89)",="(-0.72)"
="PCPIPCH",="0.0484",="-0.00530",="0.00514",="0.000160",="0.0513",="-0.00566",="0.00550",="0.000159",="0.0533",="-0.00582",="0.00566",="0.000160",="0.0607",="-0.00731",="0.00708",="0.000229"
="",="(1.36)",="(-1.36)",="(1.37)",="(0.82)",="(1.38)",="(-1.38)",="(1.39)",="(0.83)",="(1.35)",="(-1.35)",="(1.37)",="(0.82)",="(1.43)",="(-1.40)",="(1.42)",="(0.87)"
="DefaultLastYear=0",="0",="0",="0",="0",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",=""
="DefaultLastYear=1",="0.680",="-0.110",="0.106",="0.00466",="",="",="",="",="",="",="",="",="",="",="",=""
