
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="netdebtDefault1",="MERat0_netdebt_Def1",="MERat1_netdebt_Def1",="MERat2_netdebt_Def1",="netdebtDefault2",="MERat0_netdebt_Def2",="MERat1_netdebt_Def2",="MERat2_netdebt_Def2",="netdebtDefault5",="MERat0_netdebt_Def5",="MERat1_netdebt_Def5",="MERat2_netdebt_Def5",="netdebtDefault10",="MERat0_netdebt_Def10",="MERat1_netdebt_Def10",="MERat2_netdebt_Def10"

="main",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="NGDPDPC_Var",="-0.00419",="0.00119",="-0.000975",="-0.000201",="-0.00413",="0.00117",="-0.000958",="-0.000197",="-0.00394",="0.00111",="-0.000913",="-0.000189",="-0.00335",="0.000960",="-0.000782",="-0.000169"
="",="(-0.54)",="(0.54)",="(-0.53)",="(-0.54)",="(-0.53)",="(0.53)",="(-0.53)",="(-0.54)",="(-0.51)",="(0.50)",="(-0.50)",="(-0.51)",="(-0.43)",="(0.43)",="(-0.43)",="(-0.44)"
="NGDP_RPCH",="0.0467*",="-0.0132*",="0.0108*",="0.00224",="0.0466*",="-0.0131*",="0.0108*",="0.00222",="0.0471*",="-0.0133*",="0.0109*",="0.00227",="0.0456*",="-0.0131*",="0.0106*",="0.00230"
="",="(1.73)",="(-1.74)",="(1.78)",="(1.37)",="(1.73)",="(-1.75)",="(1.79)",="(1.37)",="(1.76)",="(-1.78)",="(1.82)",="(1.39)",="(1.73)",="(-1.74)",="(1.79)",="(1.36)"
="ExtDebtPercGNI_Var",="0.00861",="-0.00244",="0.00200",="0.000413",="0.00859",="-0.00243",="0.00199",="0.000410",="0.00850",="-0.00240",="0.00197",="0.000409",="0.00898",="-0.00257",="0.00210",="0.000454"
="",="(1.35)",="(-1.31)",="(1.37)",="(1.04)",="(1.34)",="(-1.30)",="(1.36)",="(1.04)",="(1.30)",="(-1.26)",="(1.32)",="(1.02)",="(1.39)",="(-1.36)",="(1.43)",="(1.07)"
="GGXWDN_NGDP_Var",="0.000191",="-0.0000540",="0.0000444",="0.00000917",="0.000147",="-0.0000415",="0.0000341",="0.00000702",="0.000120",="-0.0000338",="0.0000277",="0.00000575",="0.000117",="-0.0000335",="0.0000272",="0.00000590"
="",="(0.35)",="(-0.35)",="(0.35)",="(0.34)",="(0.46)",="(-0.47)",="(0.47)",="(0.46)",="(0.57)",="(-0.57)",="(0.58)",="(0.56)",="(0.84)",="(-0.84)",="(0.85)",="(0.79)"
="PCPIPCH",="-0.0406",="0.0115",="-0.00944",="-0.00195",="-0.0417",="0.0118",="-0.00967",="-0.00199",="-0.0429",="0.0121",="-0.00995",="-0.00207",="-0.0417",="0.0119",="-0.00973",="-0.00211"
="",="(-1.26)",="(1.22)",="(-1.21)",="(-1.13)",="(-1.28)",="(1.23)",="(-1.22)",="(-1.14)",="(-1.29)",="(1.25)",="(-1.23)",="(-1.15)",="(-1.26)",="(1.22)",="(-1.20)",="(-1.13)"
="DefaultLastYear=0",="0",="0",="0",="0",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",=""
="DefaultLastYear=1",="-0.612***",="0.136***",="-0.118***",="-0.0176*",="",="",="",="",="",="",="",="",="",="",="",=""
