
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="structbalDefault1";="MERat0_structbal_Def1";="MERat1_structbal_Def1";="MERat2_structbal_Def1";="structbalDefault2";="MERat0_structbal_Def2";="MERat1_structbal_Def2";="MERat2_structbal_Def2";="structbalDefault5";="MERat0_structbal_Def5";="MERat1_structbal_Def5";="MERat2_structbal_Def5";="structbalDefault10";="MERat0_structbal_Def10";="MERat1_structbal_Def10";="MERat2_structbal_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00486";="0.00142";="-0.00117";="-0.000232";="-0.00485";="0.00142";="-0.00117";="-0.000231";="-0.00470";="0.00138";="-0.00113";="-0.000226";="-0.00423";="0.00125";="-0.00102";="-0.000209"
="";="(-0.60)";="(0.60)";="(-0.59)";="(-0.58)";="(-0.60)";="(0.59)";="(-0.59)";="(-0.58)";="(-0.58)";="(0.57)";="(-0.57)";="(-0.56)";="(-0.52)";="(0.52)";="(-0.52)";="(-0.51)"
="NGDP_RPCH";="0.0488";="-0.0143";="0.0118*";="0.00233";="0.0489";="-0.0143";="0.0118*";="0.00232";="0.0493";="-0.0144";="0.0119*";="0.00236";="0.0473";="-0.0140";="0.0115*";="0.00234"
="";="(1.61)";="(-1.60)";="(1.66)";="(1.22)";="(1.61)";="(-1.60)";="(1.66)";="(1.22)";="(1.63)";="(-1.62)";="(1.68)";="(1.23)";="(1.62)";="(-1.60)";="(1.67)";="(1.20)"
="ExtDebtPercGNI_Var";="0.00675";="-0.00197";="0.00163";="0.000322";="0.00671";="-0.00196";="0.00162";="0.000319";="0.00659";="-0.00193";="0.00159";="0.000316";="0.00701";="-0.00207";="0.00170";="0.000347"
="";="(1.07)";="(-1.05)";="(1.09)";="(0.90)";="(1.06)";="(-1.04)";="(1.08)";="(0.90)";="(1.02)";="(-1.01)";="(1.04)";="(0.88)";="(1.09)";="(-1.07)";="(1.11)";="(0.91)"
="GGSB_NPGDP";="-0.0521";="0.0152";="-0.0126";="-0.00248";="-0.0515";="0.0150";="-0.0124";="-0.00245";="-0.0495";="0.0145";="-0.0119";="-0.00237";="-0.0480";="0.0142";="-0.0116";="-0.00238"
="";="(-1.38)";="(1.33)";="(-1.33)";="(-1.14)";="(-1.38)";="(1.33)";="(-1.33)";="(-1.14)";="(-1.32)";="(1.28)";="(-1.28)";="(-1.11)";="(-1.29)";="(1.25)";="(-1.25)";="(-1.09)"
="PCPIPCH";="-0.0318";="0.00931";="-0.00768";="-0.00152";="-0.0337";="0.00985";="-0.00813";="-0.00160";="-0.0356";="0.0104";="-0.00859";="-0.00171";="-0.0347";="0.0103";="-0.00842";="-0.00172"
="";="(-0.91)";="(0.89)";="(-0.88)";="(-0.92)";="(-0.94)";="(0.92)";="(-0.90)";="(-0.94)";="(-0.96)";="(0.94)";="(-0.92)";="(-0.97)";="(-0.94)";="(0.92)";="(-0.90)";="(-0.94)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.577**";="0.135***";="-0.118***";="-0.0169*";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(-2.37)";="(2.69)";="(-2.71)";="(-1.76)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="";="";="0";="0";="0";="0";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";=""
="DefaultLast2Years=1";="";="";="";="";="-0.413*";="0.104*";="-0.0891*";="-0.0139";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(-1.71)";="(1.93)";="(-1.92)";="(-1.55)";="";="";="";="";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="";="";="";="";="0";="0";="0";="0";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";=""
="DefaultLast5Years=1";="";="";="";="";="";="";="";="";="-0.331";="0.0870";="-0.0740";="-0.0122";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(-1.18)";="(1.32)";="(-1.31)";="(-1.25)";="";="";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="";="";="";="";="";="";="0";="0";="0";="0"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="";="";="";="";="";="";="-0.314";="0.0851";="-0.0718";="-0.0124"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(-0.92)";="(1.00)";="(-0.99)";="(-0.97)"

="cut1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.866***";="";="";="";="0.867***";="";="";="";="0.851***";="";="";="";="0.819***";="";="";=""
="";="(3.15)";="";="";="";="(3.16)";="";="";="";="(3.18)";="";="";="";="(3.08)";="";="";=""

="cut2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.167***";="";="";="";="2.164***";="";="";="";="2.144***";="";="";="";="2.113***";="";="";=""
="";="(8.19)";="";="";="";="(8.20)";="";="";="";="(8.30)";="";="";="";="(8.12)";="";="";=""

="cut3";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="3.300***";="";="";="";="3.295***";="";="";="";="3.274***";="";="";="";="3.248***";="";="";=""
="";="(7.98)";="";="";="";="(7.99)";="";="";="";="(7.95)";="";="";="";="(7.72)";="";="";=""

="cut4";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="4.202***";="";="";="";="4.197***";="";="";="";="4.177***";="";="";="";="4.152***";="";="";=""
="";="(6.91)";="";="";="";="(6.93)";="";="";="";="(6.92)";="";="";="";="(6.82)";="";="";=""

="sigma2_u";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.428***";="";="";="";="1.401***";="";="";="";="1.387***";="";="";="";="1.383***";="";="";=""
="";="(3.25)";="";="";="";="(3.26)";="";="";="";="(3.29)";="";="";="";="(3.27)";="";="";=""

="Observations";="743";="743";="743";="743";="743";="743";="743";="743";="743";="743";="743";="743";="743";="743";="743";="743"
="Pseudo R-squared";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
