
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="budgetbalDefault1",="MERat0_budgetbal_Def1",="MERat1_budgetbal_Def1",="MERat2_budgetbal_Def1",="budgetbalDefault2",="MERat0_budgetbal_Def2",="MERat1_budgetbal_Def2",="MERat2_budgetbal_Def2",="budgetbalDefault5",="MERat0_budgetbal_Def5",="MERat1_budgetbal_Def5",="MERat2_budgetbal_Def5",="budgetbalDefault10",="MERat0_budgetbal_Def10",="MERat1_budgetbal_Def10",="MERat2_budgetbal_Def10"

="main",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="NGDPDPC_Var",="0.0173*",="-0.00446",="0.00389*",="0.000531",="0.0172*",="-0.00446",="0.00388*",="0.000536",="0.0174*",="-0.00453",="0.00393*",="0.000552",="0.0174*",="-0.00450",="0.00392*",="0.000539"
="",="(1.71)",="(-1.61)",="(1.67)",="(1.14)",="(1.71)",="(-1.61)",="(1.67)",="(1.14)",="(1.72)",="(-1.62)",="(1.68)",="(1.15)",="(1.71)",="(-1.61)",="(1.67)",="(1.12)"
="NGDP_RPCH",="-0.0394",="0.0102",="-0.00888",="-0.00121",="-0.0394",="0.0102",="-0.00887",="-0.00122",="-0.0381",="0.00989",="-0.00858",="-0.00121",="-0.0389",="0.0101",="-0.00878",="-0.00121"
="",="(-1.26)",="(1.21)",="(-1.22)",="(-1.00)",="(-1.26)",="(1.22)",="(-1.23)",="(-1.01)",="(-1.21)",="(1.18)",="(-1.18)",="(-0.99)",="(-1.24)",="(1.20)",="(-1.21)",="(-1.00)"
="ExtDebtPercGNI_Var",="0.00743",="-0.00192",="0.00167",="0.000228",="0.00739",="-0.00191",="0.00167",="0.000230",="0.00738",="-0.00192",="0.00166",="0.000234",="0.00751",="-0.00195",="0.00170",="0.000233"
="",="(1.46)",="(-1.38)",="(1.42)",="(1.04)",="(1.44)",="(-1.36)",="(1.41)",="(1.04)",="(1.41)",="(-1.34)",="(1.39)",="(1.03)",="(1.47)",="(-1.38)",="(1.43)",="(1.02)"
="BudgetBal_NGDP_Var",="-0.0000328",="0.00000848",="-0.00000739",="-0.00000101",="-0.0000336",="0.00000871",="-0.00000758",="-0.00000105",="-0.0000316",="0.00000821",="-0.00000712",="-0.00000100",="-0.0000256",="0.00000665",="-0.00000578",="-0.000000795"
="",="(-0.88)",="(0.87)",="(-0.87)",="(-0.83)",="(-0.82)",="(0.82)",="(-0.82)",="(-0.78)",="(-0.75)",="(0.75)",="(-0.74)",="(-0.72)",="(-0.60)",="(0.60)",="(-0.60)",="(-0.59)"
="PCPIPCH",="-0.104***",="0.0269**",="-0.0234**",="-0.00319",="-0.103**",="0.0267**",="-0.0232**",="-0.00320",="-0.103**",="0.0268**",="-0.0233**",="-0.00327",="-0.104**",="0.0269**",="-0.0234**",="-0.00322"
="",="(-2.59)",="(2.29)",="(-2.34)",="(-1.47)",="(-2.55)",="(2.27)",="(-2.31)",="(-1.47)",="(-2.52)",="(2.26)",="(-2.30)",="(-1.47)",="(-2.56)",="(2.29)",="(-2.33)",="(-1.46)"
="DefaultLastYear=0",="0",="0",="0",="0",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",=""
="DefaultLastYear=1",="-0.267",="0.0623",="-0.0554",="-0.00646",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(-0.61)",="(0.67)",="(-0.66)",="(-0.68)",="",="",="",="",="",="",="",="",="",="",="",=""
="DefaultLast2Years=0",="",="",="",="",="0",="0",="0",="0",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",=""
="DefaultLast2Years=1",="",="",="",="",="-0.349",="0.0791",="-0.0705",="-0.00796",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-0.96)",="(1.08)",="(-1.07)",="(-0.99)",="",="",="",="",="",="",="",=""
="DefaultLast5Years=0",="",="",="",="",="",="",="",="",="0",="0",="0",="0",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="",="",="",=""
="DefaultLast5Years=1",="",="",="",="",="",="",="",="",="-0.406",="0.0913",="-0.0814",="-0.00913",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-1.10)",="(1.24)",="(-1.23)",="(-1.09)",="",="",="",=""
="DefaultLast10Years=0",="",="",="",="",="",="",="",="",="",="",="",="",="0",="0",="0",="0"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)"
="DefaultLast10Years=1",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0967",="0.0244",="-0.0214",="-0.00279"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.27)",="(0.27)",="(-0.27)",="(-0.28)"

="cut1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Const",="0.594**",="",="",="",="0.585**",="",="",="",="0.568**",="",="",="",="0.593**",="",="",=""
="",="(2.16)",="",="",="",="(2.15)",="",="",="",="(2.09)",="",="",="",="(2.12)",="",="",=""

="cut2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Const",="1.980***",="",="",="",="1.971***",="",="",="",="1.956***",="",="",="",="1.978***",="",="",=""
="",="(6.87)",="",="",="",="(6.88)",="",="",="",="(6.80)",="",="",="",="(6.70)",="",="",=""

="cut3",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Const",="3.019***",="",="",="",="3.009***",="",="",="",="2.991***",="",="",="",="3.018***",="",="",=""
="",="(9.35)",="",="",="",="(9.29)",="",="",="",="(9.14)",="",="",="",="(8.97)",="",="",=""

="cut4",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Const",="3.554***",="",="",="",="3.543***",="",="",="",="3.526***",="",="",="",="3.553***",="",="",=""
="",="(8.77)",="",="",="",="(8.74)",="",="",="",="(8.65)",="",="",="",="(8.61)",="",="",=""

="cut5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
