
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="netdebtDefault1";="MERat0_netdebt_Def1";="MERat1_netdebt_Def1";="MERat2_netdebt_Def1";="netdebtDefault2";="MERat0_netdebt_Def2";="MERat1_netdebt_Def2";="MERat2_netdebt_Def2";="netdebtDefault5";="MERat0_netdebt_Def5";="MERat1_netdebt_Def5";="MERat2_netdebt_Def5";="netdebtDefault10";="MERat0_netdebt_Def10";="MERat1_netdebt_Def10";="MERat2_netdebt_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.0178*";="-0.00460*";="0.00402*";="0.000542";="0.0178*";="-0.00460*";="0.00401*";="0.000547";="0.0180*";="-0.00467*";="0.00405*";="0.000564";="0.0179*";="-0.00465*";="0.00405*";="0.000552"
="";="(1.76)";="(-1.65)";="(1.71)";="(1.15)";="(1.76)";="(-1.65)";="(1.71)";="(1.15)";="(1.77)";="(-1.66)";="(1.73)";="(1.16)";="(1.76)";="(-1.65)";="(1.72)";="(1.14)"
="NGDP_RPCH";="-0.0389";="0.0101";="-0.00877";="-0.00118";="-0.0389";="0.0101";="-0.00877";="-0.00120";="-0.0377";="0.00978";="-0.00850";="-0.00118";="-0.0383";="0.00994";="-0.00866";="-0.00118"
="";="(-1.21)";="(1.16)";="(-1.17)";="(-0.97)";="(-1.21)";="(1.17)";="(-1.18)";="(-0.97)";="(-1.17)";="(1.13)";="(-1.14)";="(-0.95)";="(-1.19)";="(1.15)";="(-1.16)";="(-0.96)"
="ExtDebtPercGNI_Var";="0.00745";="-0.00193";="0.00168";="0.000227";="0.00742";="-0.00192";="0.00167";="0.000228";="0.00740";="-0.00192";="0.00167";="0.000232";="0.00750";="-0.00195";="0.00170";="0.000231"
="";="(1.46)";="(-1.38)";="(1.42)";="(1.04)";="(1.44)";="(-1.36)";="(1.41)";="(1.04)";="(1.41)";="(-1.34)";="(1.38)";="(1.03)";="(1.47)";="(-1.38)";="(1.43)";="(1.02)"
="GGXWDN_NGDP_Var";="0.000509";="-0.000132";="0.000115";="0.0000155";="0.000506";="-0.000131";="0.000114";="0.0000156";="0.000475";="-0.000123";="0.000107";="0.0000149";="0.000481";="-0.000125";="0.000109";="0.0000148"
="";="(0.84)";="(-0.84)";="(0.83)";="(0.80)";="(0.83)";="(-0.83)";="(0.83)";="(0.79)";="(0.79)";="(-0.79)";="(0.78)";="(0.76)";="(0.78)";="(-0.78)";="(0.78)";="(0.75)"
="PCPIPCH";="-0.105***";="0.0273**";="-0.0238**";="-0.00321";="-0.105**";="0.0271**";="-0.0236**";="-0.00322";="-0.105**";="0.0272**";="-0.0237**";="-0.00329";="-0.105***";="0.0273**";="-0.0238**";="-0.00324"
="";="(-2.61)";="(2.31)";="(-2.35)";="(-1.47)";="(-2.57)";="(2.28)";="(-2.32)";="(-1.47)";="(-2.54)";="(2.27)";="(-2.31)";="(-1.47)";="(-2.58)";="(2.30)";="(-2.34)";="(-1.46)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.245";="0.0577";="-0.0512";="-0.00597";="";="";="";="";="";="";="";="";="";="";="";=""
