
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="structbalDefault1",="MERat0_structbal_Def1",="MERat1_structbal_Def1",="MERat2_structbal_Def1",="structbalDefault2",="MERat0_structbal_Def2",="MERat1_structbal_Def2",="MERat2_structbal_Def2",="structbalDefault5",="MERat0_structbal_Def5",="MERat1_structbal_Def5",="MERat2_structbal_Def5",="structbalDefault10",="MERat0_structbal_Def10",="MERat1_structbal_Def10",="MERat2_structbal_Def10"

="main",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="NGDPDPC_Var",="0.0133",="-0.00363",="0.00320",="0.000394",="0.0133",="-0.00364",="0.00320",="0.000398",="0.0135",="-0.00368",="0.00323",="0.000410",="0.0133",="-0.00362",="0.00319",="0.000391"
="",="(1.30)",="(-1.26)",="(1.29)",="(1.01)",="(1.30)",="(-1.26)",="(1.29)",="(1.01)",="(1.31)",="(-1.27)",="(1.30)",="(1.01)",="(1.30)",="(-1.26)",="(1.28)",="(1.00)"
="NGDP_RPCH",="-0.0245",="0.00667",="-0.00588",="-0.000724",="-0.0245",="0.00668",="-0.00588",="-0.000732",="-0.0235",="0.00643",="-0.00564",="-0.000715",="-0.0243",="0.00662",="-0.00583",="-0.000715"
="",="(-0.73)",="(0.72)",="(-0.73)",="(-0.67)",="(-0.73)",="(0.73)",="(-0.73)",="(-0.67)",="(-0.70)",="(0.69)",="(-0.70)",="(-0.64)",="(-0.73)",="(0.72)",="(-0.72)",="(-0.66)"
="ExtDebtPercGNI_Var",="0.00604",="-0.00164",="0.00145",="0.000178",="0.00603",="-0.00165",="0.00145",="0.000180",="0.00599",="-0.00164",="0.00144",="0.000183",="0.00600",="-0.00163",="0.00144",="0.000176"
="",="(1.24)",="(-1.20)",="(1.23)",="(0.95)",="(1.23)",="(-1.19)",="(1.22)",="(0.95)",="(1.21)",="(-1.17)",="(1.20)",="(0.94)",="(1.22)",="(-1.17)",="(1.21)",="(0.93)"
="GGSB_NPGDP",="-0.0409",="0.0111",="-0.00982",="-0.00121",="-0.0412",="0.0112",="-0.00988",="-0.00123",="-0.0407",="0.0111",="-0.00977",="-0.00124",="-0.0408",="0.0111",="-0.00977",="-0.00120"
="",="(-1.16)",="(1.13)",="(-1.12)",="(-1.04)",="(-1.16)",="(1.13)",="(-1.12)",="(-1.05)",="(-1.15)",="(1.12)",="(-1.11)",="(-1.05)",="(-1.15)",="(1.12)",="(-1.11)",="(-1.05)"
="PCPIPCH",="-0.0836**",="0.0228*",="-0.0201*",="-0.00247",="-0.0823*",="0.0224*",="-0.0197*",="-0.00246",="-0.0819*",="0.0224*",="-0.0197*",="-0.00249",="-0.0846**",="0.0230*",="-0.0203*",="-0.00249"
="",="(-2.00)",="(1.86)",="(-1.87)",="(-1.39)",="(-1.95)",="(1.82)",="(-1.83)",="(-1.38)",="(-1.91)",="(1.79)",="(-1.80)",="(-1.38)",="(-1.97)",="(1.85)",="(-1.86)",="(-1.39)"
="DefaultLastYear=0",="0",="0",="0",="0",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",=""
="DefaultLastYear=1",="-0.120",="0.0313",="-0.0278",="-0.00318",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(-0.25)",="(0.26)",="(-0.26)",="(-0.27)",="",="",="",="",="",="",="",="",="",="",="",=""
="DefaultLast2Years=0",="",="",="",="",="0",="0",="0",="0",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",=""
="DefaultLast2Years=1",="",="",="",="",="-0.236",="0.0593",="-0.0531",="-0.00573",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-0.65)",="(0.70)",="(-0.69)",="(-0.71)",="",="",="",="",="",="",="",=""
="DefaultLast5Years=0",="",="",="",="",="",="",="",="",="0",="0",="0",="0",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="",="",="",=""
="DefaultLast5Years=1",="",="",="",="",="",="",="",="",="-0.309",="0.0764",="-0.0685",="-0.00726",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-0.87)",="(0.95)",="(-0.94)",="(-0.94)",="",="",="",=""
="DefaultLast10Years=0",="",="",="",="",="",="",="",="",="",="",="",="",="0",="0",="0",="0"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)"
="DefaultLast10Years=1",="",="",="",="",="",="",="",="",="",="",="",="",="0.00746",="-0.00203",="0.00179",="0.000220"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.02)",="(-0.02)",="(0.02)",="(0.02)"

="cut1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Const",="0.716**",="",="",="",="0.707**",="",="",="",="0.690**",="",="",="",="0.726**",="",="",=""
="",="(2.57)",="",="",="",="(2.57)",="",="",="",="(2.50)",="",="",="",="(2.55)",="",="",=""

="cut2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Const",="2.162***",="",="",="",="2.153***",="",="",="",="2.136***",="",="",="",="2.171***",="",="",=""
="",="(6.85)",="",="",="",="(6.87)",="",="",="",="(6.80)",="",="",="",="(6.73)",="",="",=""

="cut3",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Const",="3.134***",="",="",="",="3.122***",="",="",="",="3.103***",="",="",="",="3.143***",="",="",=""
="",="(7.95)",="",="",="",="(7.90)",="",="",="",="(7.76)",="",="",="",="(7.64)",="",="",=""

="cut4",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Const",="3.627***",="",="",="",="3.615***",="",="",="",="3.597***",="",="",="",="3.636***",="",="",=""
="",="(9.14)",="",="",="",="(9.10)",="",="",="",="(8.98)",="",="",="",="(8.87)",="",="",=""

="cut5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Const",="4.350***",="",="",="",="4.339***",="",="",="",="4.321***",="",="",="",="4.360***",="",="",=""
="",="(10.75)",="",="",="",="(10.73)",="",="",="",="(10.61)",="",="",="",="(10.53)",="",="",=""

="sigma2_u",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Const",="1.620***",="",="",="",="1.616***",="",="",="",="1.633***",="",="",="",="1.623***",="",="",=""
="",="(3.40)",="",="",="",="(3.40)",="",="",="",="(3.43)",="",="",="",="(3.39)",="",="",=""

="Observations",="635",="635",="635",="635",="635",="635",="635",="635",="635",="635",="635",="635",="635",="635",="635",="635"
="Pseudo R-squared",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
