
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="budgetbalDefault1",="MERat0_budgetbal_Def1",="MERat1_budgetbal_Def1",="MERat2_budgetbal_Def1",="budgetbalDefault2",="MERat0_budgetbal_Def2",="MERat1_budgetbal_Def2",="MERat2_budgetbal_Def2",="budgetbalDefault5",="MERat0_budgetbal_Def5",="MERat1_budgetbal_Def5",="MERat2_budgetbal_Def5",="budgetbalDefault10",="MERat0_budgetbal_Def10",="MERat1_budgetbal_Def10",="MERat2_budgetbal_Def10"

="main",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="NGDPDPC_Var",="-0.00827",="0.00118",="-0.00113",="-0.0000477",="-0.00780",="0.00110",="-0.00106",="-0.0000456",="-0.00831",="0.00119",="-0.00114",="-0.0000467",="-0.00868",="0.00124",="-0.00120",="-0.0000488"
="",="(-1.17)",="(1.12)",="(-1.13)",="(-0.73)",="(-1.14)",="(1.10)",="(-1.12)",="(-0.72)",="(-1.23)",="(1.17)",="(-1.19)",="(-0.75)",="(-1.23)",="(1.17)",="(-1.18)",="(-0.76)"
="NGDP_RPCH",="-0.0174",="0.00248",="-0.00238",="-0.000100",="-0.0203",="0.00288",="-0.00276",="-0.000119",="-0.0174",="0.00249",="-0.00239",="-0.0000976",="-0.0144",="0.00206",="-0.00198",="-0.0000808"
="",="(-0.75)",="(0.72)",="(-0.72)",="(-0.78)",="(-0.91)",="(0.86)",="(-0.85)",="(-0.89)",="(-0.77)",="(0.74)",="(-0.74)",="(-0.80)",="(-0.63)",="(0.61)",="(-0.61)",="(-0.67)"
="ExtDebtPercGNI_Var",="-0.00592",="0.000842",="-0.000808",="-0.0000341",="-0.00644",="0.000912",="-0.000874",="-0.0000377",="-0.00609",="0.000871",="-0.000837",="-0.0000342",="-0.00599",="0.000859",="-0.000825",="-0.0000337"
="",="(-1.11)",="(1.07)",="(-1.08)",="(-0.76)",="(-1.22)",="(1.16)",="(-1.17)",="(-0.78)",="(-1.14)",="(1.10)",="(-1.10)",="(-0.76)",="(-1.13)",="(1.09)",="(-1.09)",="(-0.76)"
="BudgetBal_NGDP_Var",="-0.0000355",="0.00000505",="-0.00000484",="-0.000000205",="-0.0000387*",="0.00000548",="-0.00000525",="-0.000000226",="-0.0000413",="0.00000591",="-0.00000567",="-0.000000232",="-0.0000422",="0.00000604",="-0.00000581",="-0.000000237"
="",="(-1.52)",="(1.40)",="(-1.41)",="(-0.81)",="(-1.83)",="(1.61)",="(-1.62)",="(-0.84)",="(-1.12)",="(1.06)",="(-1.06)",="(-0.71)",="(-1.05)",="(1.00)",="(-1.01)",="(-0.69)"
="PCPIPCH",="-0.0310",="0.00441",="-0.00423",="-0.000179",="-0.0334",="0.00472",="-0.00453",="-0.000195",="-0.0311",="0.00445",="-0.00428",="-0.000175",="-0.0277",="0.00396",="-0.00381",="-0.000155"
="",="(-0.89)",="(0.85)",="(-0.86)",="(-0.59)",="(-0.94)",="(0.90)",="(-0.91)",="(-0.61)",="(-0.85)",="(0.82)",="(-0.82)",="(-0.58)",="(-0.76)",="(0.73)",="(-0.74)",="(-0.54)"
="DefaultLastYear=0",="0",="0",="0",="0",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",=""
="DefaultLastYear=1",="0.390",="-0.0682",="0.0648",="0.00342",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.90)",="(-0.73)",="(0.74)",="(0.54)",="",="",="",="",="",="",="",="",="",="",="",=""
="DefaultLast2Years=0",="",="",="",="",="0",="0",="0",="0",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",=""
="DefaultLast2Years=1",="",="",="",="",="0.480",="-0.0865",="0.0820",="0.00452",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(1.18)",="(-0.93)",="(0.95)",="(0.62)",="",="",="",="",="",="",="",=""
="DefaultLast5Years=0",="",="",="",="",="",="",="",="",="0",="0",="0",="0",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="",="",="",=""
="DefaultLast5Years=1",="",="",="",="",="",="",="",="",="0.120",="-0.0182",="0.0175",="0.000761",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.36)",="(-0.33)",="(0.34)",="(0.30)",="",="",="",=""
="DefaultLast10Years=0",="",="",="",="",="",="",="",="",="",="",="",="",="0",="0",="0",="0"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)"
="DefaultLast10Years=1",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0604",="0.00845",="-0.00813",="-0.000322"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.16)",="(0.16)",="(-0.16)",="(-0.17)"

="cut1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Const",="1.289***",="",="",="",="1.297***",="",="",="",="1.261***",="",="",="",="1.245***",="",="",=""
="",="(5.37)",="",="",="",="(5.45)",="",="",="",="(5.39)",="",="",="",="(5.26)",="",="",=""

="cut2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Const",="2.808***",="",="",="",="2.823***",="",="",="",="2.779***",="",="",="",="2.762***",="",="",=""
="",="(7.91)",="",="",="",="(8.03)",="",="",="",="(8.03)",="",="",="",="(7.98)",="",="",=""

="sigma2_u",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Const",="1.314***",="",="",="",="1.331***",="",="",="",="1.286***",="",="",="",="1.297***",="",="",=""
="",="(3.43)",="",="",="",="(3.41)",="",="",="",="(3.37)",="",="",="",="(3.25)",="",="",=""

="Observations",="773",="773",="773",="773",="773",="773",="773",="773",="773",="773",="773",="773",="773",="773",="773",="773"
="Pseudo R-squared",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
