="",="fooup_sfgrossdebt",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="main:ngdpdpc_var",="main:ngdp_rpch",="main:extdebtpercgni_var",="main:ggxwdg_ngdp_var",="main:pcpipch",="main:0.defaultlastyear",="main:1.defaultlastyear",="main:0.defaultlast2years",="main:1.defaultlast2years",="main:0.defaultlast5years",="main:1.defaultlast5years",="main:0.defaultlast10years",="main:1.defaultlast10years",="cut1:_cons",="cut2:_cons",="sigma2_u:_cons"
="grossdebt_OP_1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.008817",="-.0222144",="-.0053805",="-.0014992",="-.0317815",="0",=".4242618",="",="",="",="",="",="",="1.267676",="2.783416",="1.306076"
="t",="-1.232765",="-.8609875",="-.9840862",="-.2895767",="-.9186041",=".",=".9564666",="",="",="",="",="",="",="5.177269",="7.823864",="3.460562"
="p",=".2176634",=".3892449",=".3250731",=".7721401",=".3583027",=".",=".3388366",="",="",="",="",="",="",="2.25e-07",="5.11e-15",=".000539"
="grossdebt_ME0_Def1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0012581",=".0031698",=".0007677",=".0002139",=".0045349",="0",="-.0757974",="",="",="",="",="",="",="",="",=""
="t",="1.174746",=".8296244",=".9539259",=".2892365",=".8757372",=".",="-.769296",="",="",="",="",="",="",="",="",=""
="p",=".2400962",=".4067512",=".3401212",=".7724004",=".3811729",=".",=".4417176",="",="",="",="",="",="",="",="",=""
="grossdebt_ME1_Def1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0012062",="-.003039",="-.0007361",="-.0002051",="-.0043478",="0",=".0718633",="",="",="",="",="",="",="",="",=""
="t",="-1.186239",="-.820419",="-.9571693",="-.2892166",="-.8865112",=".",=".7801412",="",="",="",="",="",="",="",="",=""
="p",=".2355278",=".4119773",=".3384818",=".7724156",=".3753421",=".",=".4353078",="",="",="",="",="",="",="",="",=""
="grossdebt_ME2_Def1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0000519",="-.0001307",="-.0000317",="-8.82e-06",="-.000187",="0",=".0039341",="",="",="",="",="",="",="",="",=""
="t",="-.7612302",="-.8551999",="-.7164885",="-.2818056",="-.6072273",=".",=".5548766",="",="",="",="",="",="",="",="",=""
="p",=".4465196",=".3924405",=".4736897",=".7780926",=".5437001",=".",=".5789791",="",="",="",="",="",="",="",="",=""
="grossdebt_OP_2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0084732",="-.0239853",="-.0057311",="-.0012078",="-.0335172",="",="",="0",=".4216811",="",="",="",="",="1.266841",="2.785578",="1.302348"
="t",="-1.222145",="-.9572906",="-1.048045",="-.2308419",="-.946212",="",="",=".",=".987356",="",="",="",="",="5.246994",="8.001436",="3.462818"
="p",=".2216527",=".3384206",=".2946177",=".8174377",=".3440405",="",="",=".",=".3234682",="",="",="",="",="1.55e-07",="1.33e-15",=".0005346"
="grossdebt_ME0_Def2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0012086",=".0034212",=".0008175",=".0001723",=".0047809",="",="",="0",="-.0745066",="",="",="",="",="",="",=""
="t",="1.172449",=".9133176",="1.012278",=".2307481",=".902877",="",="",=".",="-.8021414",="",="",="",="",="",="",=""
="p",=".241017",=".3610755",=".3114051",=".8175105",=".3665912",="",="",=".",=".4224711",="",="",="",="",="",="",=""
="grossdebt_ME1_Def2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0011589",="-.0032805",="-.0007838",="-.0001652",="-.0045841",="",="",="0",=".0707053",="",="",="",="",="",="",=""
="t",="-1.183811",="-.9025558",="-1.017287",="-.2306942",="-.9151205",="",="",=".",=".8157178",="",="",="",="",="",="",=""
="p",=".236488",=".3667617",=".3090168",=".8175524",=".3601283",="",="",=".",=".4146616",="",="",="",="",="",="",=""
="grossdebt_ME2_Def2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0000497",="-.0001408",="-.0000336",="-7.09e-06",="-.0001967",="",="",="0",=".0038014",="",="",="",="",="",="",=""
="t",="-.756681",="-.9039202",="-.7265328",="-.2277836",="-.6106643",="",="",=".",=".5547793",="",="",="",="",="",="",=""
="p",=".449241",=".3660377",=".4675122",=".8198145",=".5414218",="",="",=".",=".5790456",="",="",="",="",="",="",=""
="grossdebt_OP_5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0089552",="-.0217164",="-.0054394",="-.0014566",="-.0313204",="",="",="",="",="0",=".0976723",="",="",="1.234076",="2.746962",="1.271416"
="t",="-1.302995",="-.8602585",="-.975255",="-.2809225",="-.8585948",="",="",="",="",=".",=".2910533",="",="",="5.259598",="8.016328",="3.399864"
="p",=".1925765",=".3896466",=".3294338",=".7787699",=".3905641",="",="",="",="",=".",=".7710106",="",="",="1.44e-07",="1.11e-15",=".0006742"
="grossdebt_ME0_Def5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0012872",=".0031215",=".0007819",=".0002094",=".004502",="",="",="",="",="0",="-.0147196",="",="",="",="",=""
="t",="1.236913",=".8317246",=".9510656",=".2810046",=".8253654",="",="",="",="",=".",="-.2773119",="",="",="",="",=""
="p",=".2161195",=".4055644",=".3415711",=".7787068",=".4091642",="",="",="",="",=".",=".7815406",="",="",="",="",=""
