
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="grossdebtDefault1",="MERat0_grossdebt_Def1",="MERat1_grossdebt_Def1",="MERat2_grossdebt_Def1",="grossdebtDefault2",="MERat0_grossdebt_Def2",="MERat1_grossdebt_Def2",="MERat2_grossdebt_Def2",="grossdebtDefault5",="MERat0_grossdebt_Def5",="MERat1_grossdebt_Def5",="MERat2_grossdebt_Def5",="grossdebtDefault10",="MERat0_grossdebt_Def10",="MERat1_grossdebt_Def10",="MERat2_grossdebt_Def10"

="main",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="NGDPDPC_Var",="-0.00882",="0.00126",="-0.00121",="-0.0000519",="-0.00847",="0.00121",="-0.00116",="-0.0000497",="-0.00896",="0.00129",="-0.00124",="-0.0000509",="-0.00933",="0.00134",="-0.00129",="-0.0000531"
="",="(-1.23)",="(1.17)",="(-1.19)",="(-0.76)",="(-1.22)",="(1.17)",="(-1.18)",="(-0.76)",="(-1.30)",="(1.24)",="(-1.25)",="(-0.78)",="(-1.31)",="(1.24)",="(-1.25)",="(-0.79)"
="NGDP_RPCH",="-0.0222",="0.00317",="-0.00304",="-0.000131",="-0.0240",="0.00342",="-0.00328",="-0.000141",="-0.0217",="0.00312",="-0.00300",="-0.000123",="-0.0196",="0.00282",="-0.00271",="-0.000111"
="",="(-0.86)",="(0.83)",="(-0.82)",="(-0.86)",="(-0.96)",="(0.91)",="(-0.90)",="(-0.90)",="(-0.86)",="(0.83)",="(-0.82)",="(-0.85)",="(-0.75)",="(0.73)",="(-0.72)",="(-0.76)"
="ExtDebtPercGNI_Var",="-0.00538",="0.000768",="-0.000736",="-0.0000317",="-0.00573",="0.000817",="-0.000784",="-0.0000336",="-0.00544",="0.000782",="-0.000751",="-0.0000309",="-0.00538",="0.000774",="-0.000744",="-0.0000306"
="",="(-0.98)",="(0.95)",="(-0.96)",="(-0.72)",="(-1.05)",="(1.01)",="(-1.02)",="(-0.73)",="(-0.98)",="(0.95)",="(-0.96)",="(-0.70)",="(-0.96)",="(0.94)",="(-0.94)",="(-0.70)"
="GGXWDG_NGDP_Var",="-0.00150",="0.000214",="-0.000205",="-0.00000882",="-0.00121",="0.000172",="-0.000165",="-0.00000709",="-0.00146",="0.000209",="-0.000201",="-0.00000828",="-0.00170",="0.000245",="-0.000235",="-0.00000967"
