="",="fooup_sfnetdebt",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="main:ngdpdpc_var",="main:ngdp_rpch",="main:extdebtpercgni_var",="main:ggxwdn_ngdp_var",="main:pcpipch",="main:0.defaultlastyear",="main:1.defaultlastyear",="main:0.defaultlast2years",="main:1.defaultlast2years",="main:0.defaultlast5years",="main:1.defaultlast5years",="main:0.defaultlast10years",="main:1.defaultlast10years",="cut1:_cons",="cut2:_cons",="sigma2_u:_cons"
="netdebt_OP_1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0081414",="-.0189955",="-.0054762",=".0000182",="-.0321405",="0",=".4260055",="",="",="",="",="",="",="1.282325",="2.798671",="1.306892"
="t",="-1.150751",="-.8163318",="-1.019695",="3.593367",="-.92287",=".",=".9656696",="",="",="",="",="",="",="5.319846",="7.922062",="3.463446"
="p",=".2498345",=".4143104",=".307873",=".0003264",=".3560749",=".",=".3342095",="",="",="",="",="",="",="1.04e-07",="2.44e-15",=".0005333"
="netdebt_ME0_Def1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0011601",=".0027068",=".0007803",="-2.59e-06",=".0045799",="0",="-.076078",="",="",="",="",="",="",="",="",=""
="t",="1.103959",=".7858874",=".9864806",="-2.302426",=".878963",=".",="-.7756085",="",="",="",="",="",="",="",="",=""
="p",=".2696107",=".4319335",=".3238973",=".0213112",=".3794213",=".",=".4379802",="",="",="",="",="",="",="",="",=""
="netdebt_ME1_Def1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0011124",="-.0025955",="-.0007482",="2.49e-06",="-.0043916",="0",=".072137",="",="",="",="",="",="",="",="",=""
="t",="-1.114475",="-.7767921",="-.989998",="2.35679",="-.8896829",=".",=".7866052",="",="",="",="",="",="",="",="",=""
="p",=".2650755",=".4372814",=".3221751",=".0184337",=".3736362",=".",=".431513",="",="",="",="",="",="",="",="",=""
="netdebt_ME2_Def1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0000477",="-.0001113",="-.0000321",="1.07e-07",="-.0001883",="0",=".003941",="",="",="",="",="",="",="",="",=""
="t",="-.7340147",="-.8434292",="-.7305583",=".869256",="-.6093136",=".",=".5579559",="",="",="",="",="",="",="",="",=""
="p",=".4629398",=".3989884",=".465049",=".3847071",=".5423166",=".",=".5768745",="",="",="",="",="",="",="",="",=""
="netdebt_OP_2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0078505",="-.0214609",="-.0058422",=".0000183",="-.0339512",="",="",="0",=".4260476",="",="",="",="",="1.278813",="2.798313",="1.30416"
="t",="-1.143349",="-.958974",="-1.087319",="3.591986",="-.9521466",="",="",=".",="1.002093",="",="",="",="",="5.389085",="8.100401",="3.467908"
="p",=".2528937",=".3375719",=".2768959",=".0003282",=".3410226",="",="",=".",=".3162988",="",="",="",="",="7.08e-08",="4.44e-16",=".0005245"
="netdebt_ME0_Def2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0011183",=".003057",=".0008322",="-2.60e-06",=".0048362",="",="",="0",="-.0753352",="",="",="",="",="",="",=""
="t",="1.103614",=".9099165",="1.047894",="-2.304374",=".9075006",="",="",=".",="-.8123106",="",="",="",="",="",="",=""
="p",=".2697605",=".3628665",=".2946875",=".0212017",=".3641421",="",="",=".",=".4166134",="",="",="",="",="",="",=""
="netdebt_ME1_Def2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0010724",="-.0029315",="-.000798",="2.50e-06",="-.0046376",="",="",="0",=".0714916",="",="",="",="",="",="",=""
="t",="-1.114215",="-.8983951",="-1.053405",="2.357986",="-.9197531",="",="",=".",=".8262459",="",="",="",="",="",="",=""
="p",=".2651871",=".3689749",=".2921552",=".0183744",=".3577018",="",="",=".",=".4086646",="",="",="",="",="",="",=""
="netdebt_ME2_Def2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0000459",="-.0001255",="-.0000342",="1.07e-07",="-.0001986",="",="",="0",=".0038436",="",="",="",="",="",="",=""
="t",="-.7294531",="-.9225699",="-.7396577",=".861385",="-.6131519",="",="",=".",=".5592102",="",="",="",="",="",="",=""
="p",=".4657245",=".3562314",=".4595077",=".389026",=".5397759",="",="",=".",=".5760183",="",="",="",="",="",="",=""
="netdebt_OP_5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0082837",="-.0186398",="-.0055357",=".0000182",="-.0317408",="",="",="",="",="0",=".1007828",="",="",="1.248285",="2.761783",="1.271958"
="t",="-1.220689",="-.826494",="-1.011083",="3.531586",="-.8650012",="",="",="",="",=".",=".2998016",="",="",="5.360772",="8.080138",="3.405006"
="p",=".2222038",=".4085239",=".3119766",=".0004131",=".3870382",="",="",="",="",=".",=".7643285",="",="",="8.29e-08",="6.66e-16",=".0006616"
="netdebt_ME0_Def5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0011891",=".0026756",=".0007946",="-2.61e-06",=".0045561",="",="",="",="",="0",="-.0151901",="",="",="",="",=""
="t",="1.165771",=".7963599",=".9843007",="-2.283421",=".8306208",="",="",="",="",=".",="-.2852711",="",="",="",="",=""
="p",=".2437072",=".4258229",=".3249677",=".0224056",=".4061879",="",="",="",="",=".",=".7754365",="",="",="",="",=""
="netdebt_ME1_Def5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0011422",="-.0025701",="-.0007633",="2.51e-06",="-.0043765",="",="",="",="",="0",=".0145588",="",="",="",="",=""
="t",="-1.176119",="-.7875252",="-.9886056",="2.326478",="-.8398627",="",="",="",="",=".",=".286333",="",="",="",="",=""
="p",=".2395475",=".4309745",=".3228562",=".0199931",=".4009854",="",="",="",="",=".",=".7746231",="",="",="",="",=""
="netdebt_ME2_Def5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0000469",="-.0001055",="-.0000313",="1.03e-07",="-.0001796",="",="",="",="",="0",=".0006313",="",="",="",="",=""
="t",="-.7575341",="-.844329",="-.717337",=".8474545",="-.5857218",="",="",="",="",=".",=".2570597",="",="",="",="",=""
="p",=".44873",=".3984856",=".4731662",=".3967418",=".5580625",="",="",="",="",=".",=".7971327",="",="",="",="",=""
="netdebt_OP_10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.008611",="-.0158411",="-.005465",=".0000184",="-.0285352",="",="",="",="",="",="",="0",="-.0671957",="1.232847",="2.746229",="1.285705"
="t",="-1.220583",="-.6879991",="-.9965757",="3.272409",="-.784242",="",="",="",="",="",="",=".",="-.1772303",="5.223036",="8.036348",="3.28922"
="p",=".222244",=".4914533",=".3189705",=".0010664",=".4328981",="",="",="",="",="",="",=".",=".8593275",="1.76e-07",="8.88e-16",=".0010047"
="netdebt_ME0_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0012382",=".0022778",=".0007858",="-2.65e-06",=".004103",="",="",="",="",="",="",="0",=".0094081",="",="",=""
="t",="1.162868",=".6700401",=".972955",="-2.205297",=".7577792",="",="",="",="",="",="",=".",=".1818977",="",="",=""
="p",=".2448829",=".5028322",=".3305757",=".0274332",=".4485832",="",="",="",="",="",="",=".",=".855663",="",="",=""
="netdebt_ME1_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0011893",="-.002188",="-.0007548",="2.55e-06",="-.0039413",="",="",="",="",="",="",="0",="-.0090488",="",="",=""
="t",="-1.17235",="-.663795",="-.9767185",="2.240802",="-.7652758",="",="",="",="",="",="",=".",="-.1815558",="",="",=""
="p",=".2410567",=".5068215",=".3287085",=".0250389",=".4441073",="",="",="",="",="",="",=".",=".8559313",="",="",=""
="netdebt_ME2_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0000488",="-.0000898",="-.000031",="1.05e-07",="-.0001617",="",="",="",="",="",="",="0",="-.0003594",="",="",=""
="t",="-.7636533",="-.7281356",="-.7180925",=".8224428",="-.5543838",="",="",="",="",="",="",=".",="-.1885846",="",="",=""
="p",=".4450739",=".4665306",=".4727002",=".410825",=".5793162",="",="",="",="",="",="",=".",=".8504184",="",="",=""
=""
