
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="netdebtDefault1";="MERat0_netdebt_Def1";="MERat1_netdebt_Def1";="MERat2_netdebt_Def1";="netdebtDefault2";="MERat0_netdebt_Def2";="MERat1_netdebt_Def2";="MERat2_netdebt_Def2";="netdebtDefault5";="MERat0_netdebt_Def5";="MERat1_netdebt_Def5";="MERat2_netdebt_Def5";="netdebtDefault10";="MERat0_netdebt_Def10";="MERat1_netdebt_Def10";="MERat2_netdebt_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00814";="0.00116";="-0.00111";="-0.0000477";="-0.00785";="0.00112";="-0.00107";="-0.0000459";="-0.00828";="0.00119";="-0.00114";="-0.0000469";="-0.00861";="0.00124";="-0.00119";="-0.0000488"
="";="(-1.15)";="(1.10)";="(-1.11)";="(-0.73)";="(-1.14)";="(1.10)";="(-1.11)";="(-0.73)";="(-1.22)";="(1.17)";="(-1.18)";="(-0.76)";="(-1.22)";="(1.16)";="(-1.17)";="(-0.76)"
="NGDP_RPCH";="-0.0190";="0.00271";="-0.00260";="-0.000111";="-0.0215";="0.00306";="-0.00293";="-0.000126";="-0.0186";="0.00268";="-0.00257";="-0.000105";="-0.0158";="0.00228";="-0.00219";="-0.0000898"
="";="(-0.82)";="(0.79)";="(-0.78)";="(-0.84)";="(-0.96)";="(0.91)";="(-0.90)";="(-0.92)";="(-0.83)";="(0.80)";="(-0.79)";="(-0.84)";="(-0.69)";="(0.67)";="(-0.66)";="(-0.73)"
="ExtDebtPercGNI_Var";="-0.00548";="0.000780";="-0.000748";="-0.0000321";="-0.00584";="0.000832";="-0.000798";="-0.0000342";="-0.00554";="0.000795";="-0.000763";="-0.0000313";="-0.00546";="0.000786";="-0.000755";="-0.0000310"
="";="(-1.02)";="(0.99)";="(-0.99)";="(-0.73)";="(-1.09)";="(1.05)";="(-1.05)";="(-0.74)";="(-1.01)";="(0.98)";="(-0.99)";="(-0.72)";="(-1.00)";="(0.97)";="(-0.98)";="(-0.72)"
="GGXWDN_NGDP_Var";="0.0000182***";="-0.00000259**";="0.00000249**";="0.000000107";="0.0000183***";="-0.00000260**";="0.00000250**";="0.000000107";="0.0000182***";="-0.00000261**";="0.00000251**";="0.000000103";="0.0000184***";="-0.00000265**";="0.00000255**";="0.000000105"
="";="(3.59)";="(-2.30)";="(2.36)";="(0.87)";="(3.59)";="(-2.30)";="(2.36)";="(0.86)";="(3.53)";="(-2.28)";="(2.33)";="(0.85)";="(3.27)";="(-2.21)";="(2.24)";="(0.82)"
="PCPIPCH";="-0.0321";="0.00458";="-0.00439";="-0.000188";="-0.0340";="0.00484";="-0.00464";="-0.000199";="-0.0317";="0.00456";="-0.00438";="-0.000180";="-0.0285";="0.00410";="-0.00394";="-0.000162"
="";="(-0.92)";="(0.88)";="(-0.89)";="(-0.61)";="(-0.95)";="(0.91)";="(-0.92)";="(-0.61)";="(-0.87)";="(0.83)";="(-0.84)";="(-0.59)";="(-0.78)";="(0.76)";="(-0.77)";="(-0.55)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="0.426";="-0.0761";="0.0721";="0.00394";="";="";="";="";="";="";="";="";="";="";="";=""
