
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="budgetbalDefault1";="MERat0_budgetbal_Def1";="MERat1_budgetbal_Def1";="MERat2_budgetbal_Def1";="budgetbalDefault2";="MERat0_budgetbal_Def2";="MERat1_budgetbal_Def2";="MERat2_budgetbal_Def2";="budgetbalDefault5";="MERat0_budgetbal_Def5";="MERat1_budgetbal_Def5";="MERat2_budgetbal_Def5";="budgetbalDefault10";="MERat0_budgetbal_Def10";="MERat1_budgetbal_Def10";="MERat2_budgetbal_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00712";="0.00167";="-0.00134";="-0.000246";="-0.00662";="0.00152";="-0.00123";="-0.000222";="-0.00711";="0.00166";="-0.00134";="-0.000246";="-0.00730";="0.00173";="-0.00139";="-0.000261"
="";="(-1.51)";="(1.49)";="(-1.54)";="(-1.22)";="(-1.42)";="(1.40)";="(-1.43)";="(-1.19)";="(-1.50)";="(1.47)";="(-1.51)";="(-1.23)";="(-1.55)";="(1.53)";="(-1.58)";="(-1.24)"
="NGDP_RPCH";="-0.00385";="0.000900";="-0.000727";="-0.000133";="-0.00707";="0.00162";="-0.00132";="-0.000237";="-0.00382";="0.000894";="-0.000722";="-0.000132";="-0.000426";="0.000101";="-0.0000811";="-0.0000152"
="";="(-0.14)";="(0.14)";="(-0.14)";="(-0.14)";="(-0.25)";="(0.25)";="(-0.25)";="(-0.24)";="(-0.13)";="(0.13)";="(-0.13)";="(-0.13)";="(-0.01)";="(0.01)";="(-0.01)";="(-0.01)"
="ExtDebtPercGNI_Var";="-0.0123*";="0.00287*";="-0.00231*";="-0.000424";="-0.0125*";="0.00287*";="-0.00232*";="-0.000419";="-0.0122*";="0.00286*";="-0.00231*";="-0.000424";="-0.0123*";="0.00291*";="-0.00234*";="-0.000439"
="";="(-1.88)";="(1.79)";="(-1.81)";="(-1.46)";="(-1.92)";="(1.82)";="(-1.86)";="(-1.47)";="(-1.87)";="(1.78)";="(-1.81)";="(-1.45)";="(-1.88)";="(1.78)";="(-1.81)";="(-1.46)"
="BudgetBal_NGDP_Var";="0.0000740";="-0.0000173";="0.0000140";="0.00000256";="0.0000711";="-0.0000163";="0.0000132";="0.00000239";="0.0000737";="-0.0000172";="0.0000139";="0.00000255";="0.0000744";="-0.0000177";="0.0000142";="0.00000266"
="";="(1.48)";="(-1.45)";="(1.45)";="(1.24)";="(1.50)";="(-1.48)";="(1.47)";="(1.28)";="(1.50)";="(-1.47)";="(1.47)";="(1.26)";="(1.50)";="(-1.47)";="(1.47)";="(1.25)"
="PCPIPCH";="-0.0217";="0.00508";="-0.00410";="-0.000751";="-0.0251";="0.00577";="-0.00467";="-0.000843";="-0.0217";="0.00508";="-0.00410";="-0.000751";="-0.0199";="0.00473";="-0.00380";="-0.000713"
="";="(-0.68)";="(0.68)";="(-0.69)";="(-0.65)";="(-0.76)";="(0.76)";="(-0.77)";="(-0.72)";="(-0.64)";="(0.65)";="(-0.65)";="(-0.62)";="(-0.63)";="(0.63)";="(-0.64)";="(-0.61)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.0132";="0.00307";="-0.00248";="-0.000451";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(-0.04)";="(0.04)";="(-0.04)";="(-0.04)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="";="";="0";="0";="0";="0";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";=""
="DefaultLast2Years=1";="";="";="";="";="0.288";="-0.0742";="0.0582";="0.0120";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(0.71)";="(-0.64)";="(0.68)";="(0.55)";="";="";="";="";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="";="";="";="";="0";="0";="0";="0";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";=""
="DefaultLast5Years=1";="";="";="";="";="";="";="";="";="-0.00620";="0.00145";="-0.00117";="-0.000213";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(-0.01)";="(0.01)";="(-0.01)";="(-0.01)";="";="";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="";="";="";="";="";="";="0";="0";="0";="0"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="";="";="";="";="";="";="-0.210";="0.0463";="-0.0379";="-0.00654"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(-0.55)";="(0.57)";="(-0.56)";="(-0.59)"

="cut1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.887***";="";="";="";="0.909***";="";="";="";="0.887***";="";="";="";="0.854***";="";="";=""
="";="(3.55)";="";="";="";="(3.64)";="";="";="";="(3.52)";="";="";="";="(3.38)";="";="";=""

="cut2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.968***";="";="";="";="1.994***";="";="";="";="1.969***";="";="";="";="1.938***";="";="";=""
="";="(6.62)";="";="";="";="(6.81)";="";="";="";="(6.63)";="";="";="";="(6.52)";="";="";=""

="cut3";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.595***";="";="";="";="2.622***";="";="";="";="2.596***";="";="";="";="2.569***";="";="";=""
="";="(6.94)";="";="";="";="(7.10)";="";="";="";="(6.93)";="";="";="";="(6.92)";="";="";=""

="cut4";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="3.277***";="";="";="";="3.301***";="";="";="";="3.277***";="";="";="";="3.256***";="";="";=""
="";="(6.35)";="";="";="";="(6.41)";="";="";="";="(6.31)";="";="";="";="(6.28)";="";="";=""

