
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="grossdebtDefault1";="MERat0_grossdebt_Def1";="MERat1_grossdebt_Def1";="MERat2_grossdebt_Def1";="grossdebtDefault2";="MERat0_grossdebt_Def2";="MERat1_grossdebt_Def2";="MERat2_grossdebt_Def2";="grossdebtDefault5";="MERat0_grossdebt_Def5";="MERat1_grossdebt_Def5";="MERat2_grossdebt_Def5";="grossdebtDefault10";="MERat0_grossdebt_Def10";="MERat1_grossdebt_Def10";="MERat2_grossdebt_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00655";="0.00153";="-0.00124";="-0.000226";="-0.00591";="0.00136";="-0.00110";="-0.000199";="-0.00659";="0.00154";="-0.00125";="-0.000228";="-0.00683";="0.00162";="-0.00131";="-0.000245"
="";="(-1.26)";="(1.23)";="(-1.26)";="(-1.05)";="(-1.16)";="(1.13)";="(-1.15)";="(-1.00)";="(-1.27)";="(1.23)";="(-1.26)";="(-1.07)";="(-1.30)";="(1.26)";="(-1.30)";="(-1.07)"
="NGDP_RPCH";="-0.00168";="0.000394";="-0.000318";="-0.0000581";="-0.00462";="0.00107";="-0.000864";="-0.000156";="-0.00152";="0.000357";="-0.000288";="-0.0000528";="0.00186";="-0.000443";="0.000356";="0.0000667"
="";="(-0.06)";="(0.06)";="(-0.06)";="(-0.06)";="(-0.17)";="(0.17)";="(-0.17)";="(-0.17)";="(-0.06)";="(0.06)";="(-0.06)";="(-0.06)";="(0.07)";="(-0.07)";="(0.07)";="(0.07)"
="ExtDebtPercGNI_Var";="-0.0125*";="0.00292*";="-0.00236*";="-0.000431";="-0.0127*";="0.00293*";="-0.00237*";="-0.000427";="-0.0125*";="0.00292*";="-0.00236*";="-0.000432";="-0.0125*";="0.00297*";="-0.00239*";="-0.000448"
="";="(-1.88)";="(1.78)";="(-1.81)";="(-1.45)";="(-1.93)";="(1.82)";="(-1.85)";="(-1.46)";="(-1.88)";="(1.78)";="(-1.81)";="(-1.45)";="(-1.88)";="(1.78)";="(-1.81)";="(-1.44)"
="GGXWDG_NGDP_Var";="0.000197";="-0.0000460";="0.0000372";="0.00000680";="0.000444";="-0.000102";="0.0000830";="0.0000149";="0.000182";="-0.0000427";="0.0000345";="0.00000631";="0.000113";="-0.0000269";="0.0000216";="0.00000406"
