
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="netdebtDefault1";="MERat0_netdebt_Def1";="MERat1_netdebt_Def1";="MERat2_netdebt_Def1";="netdebtDefault2";="MERat0_netdebt_Def2";="MERat1_netdebt_Def2";="MERat2_netdebt_Def2";="netdebtDefault5";="MERat0_netdebt_Def5";="MERat1_netdebt_Def5";="MERat2_netdebt_Def5";="netdebtDefault10";="MERat0_netdebt_Def10";="MERat1_netdebt_Def10";="MERat2_netdebt_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00612";="0.00143";="-0.00116";="-0.000210";="-0.00567";="0.00131";="-0.00106";="-0.000190";="-0.00610";="0.00143";="-0.00116";="-0.000210";="-0.00634";="0.00151";="-0.00121";="-0.000226"
="";="(-1.29)";="(1.28)";="(-1.31)";="(-1.08)";="(-1.20)";="(1.19)";="(-1.22)";="(-1.04)";="(-1.28)";="(1.26)";="(-1.29)";="(-1.09)";="(-1.34)";="(1.32)";="(-1.36)";="(-1.11)"
="NGDP_RPCH";="-0.000868";="0.000203";="-0.000164";="-0.0000298";="-0.00413";="0.000952";="-0.000772";="-0.000138";="-0.00111";="0.000261";="-0.000211";="-0.0000383";="0.00312";="-0.000741";="0.000597";="0.000111"
="";="(-0.03)";="(0.03)";="(-0.03)";="(-0.03)";="(-0.14)";="(0.14)";="(-0.14)";="(-0.14)";="(-0.04)";="(0.04)";="(-0.04)";="(-0.04)";="(0.10)";="(-0.10)";="(0.10)";="(0.10)"
="ExtDebtPercGNI_Var";="-0.0126*";="0.00295*";="-0.00239*";="-0.000434";="-0.0129*";="0.00297*";="-0.00241*";="-0.000431";="-0.0127*";="0.00296*";="-0.00240*";="-0.000435";="-0.0127*";="0.00301*";="-0.00242*";="-0.000451"
="";="(-1.89)";="(1.79)";="(-1.82)";="(-1.46)";="(-1.93)";="(1.83)";="(-1.86)";="(-1.47)";="(-1.89)";="(1.79)";="(-1.82)";="(-1.46)";="(-1.89)";="(1.79)";="(-1.81)";="(-1.45)"
="GGXWDN_NGDP_Var";="0.000134";="-0.0000314";="0.0000254";="0.00000461";="0.000125";="-0.0000288";="0.0000234";="0.00000418";="0.000134";="-0.0000315";="0.0000255";="0.00000462";="0.000190";="-0.0000452";="0.0000364";="0.00000677"
="";="(0.35)";="(-0.34)";="(0.34)";="(0.34)";="(0.43)";="(-0.43)";="(0.43)";="(0.43)";="(0.35)";="(-0.35)";="(0.35)";="(0.35)";="(0.21)";="(-0.21)";="(0.21)";="(0.21)"
="PCPIPCH";="-0.0213";="0.00498";="-0.00403";="-0.000731";="-0.0244";="0.00563";="-0.00457";="-0.000818";="-0.0215";="0.00503";="-0.00407";="-0.000738";="-0.0192";="0.00455";="-0.00366";="-0.000682"
="";="(-0.67)";="(0.67)";="(-0.68)";="(-0.64)";="(-0.74)";="(0.74)";="(-0.75)";="(-0.70)";="(-0.64)";="(0.64)";="(-0.65)";="(-0.61)";="(-0.60)";="(0.60)";="(-0.61)";="(-0.59)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="0.0199";="-0.00470";="0.00379";="0.000695";="";="";="";="";="";="";="";="";="";="";="";=""
