="",="fooup_smstructbal",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="main:ngdpdpc_var",="main:ngdp_rpch",="main:extdebtpercgni_var",="main:ggsb_npgdp",="main:pcpipch",="main:0.defaultlastyear",="main:1.defaultlastyear",="main:0.defaultlast2years",="main:1.defaultlast2years",="main:0.defaultlast5years",="main:1.defaultlast5years",="main:0.defaultlast10years",="main:1.defaultlast10years",="cut1:_cons",="cut2:_cons",="cut3:_cons",="cut4:_cons",="sigma2_u:_cons"
="structbal_OP_1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0096716",=".009569",="-.015105",="-.0683595",="-.0241243",="0",=".1223064",="",="",="",="",="",="",="1.066657",="2.283929",="2.955441",="3.572057",="1.061306"
="t",="-1.473677",=".2792542",="-1.903559",="-1.424935",="-.8188306",=".",=".3867463",="",="",="",="",="",="",="3.854268",="6.214491",="5.611769",="6.728152",="3.055496"
="p",=".1405685",=".7800497",=".0569677",=".1541759",=".4128831",=".",=".698944",="",="",="",="",="",="",=".0001161",="5.15e-10",="2.00e-08",="1.72e-11",=".0022469"
="structbal_ME0_Def1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0021735",="-.0021505",=".0033946",=".0153628",=".0054216",="0",="-.0289542",="",="",="",="",="",="",="",="",="",="",=""
="t",="1.449985",="-.2786021",="1.808189",="1.38647",=".8212",=".",="-.3657279",="",="",="",="",="",="",="",="",="",="",=""
="p",=".1470627",=".7805502",=".0705772",=".1656035",=".4115324",=".",=".7145682",="",="",="",="",="",="",="",="",="",="",=""
="structbal_ME1_Def1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0018489",=".0018293",="-.0028877",="-.0130685",="-.0046119",="0",=".0243496",="",="",="",="",="",="",="",="",="",="",=""
="t",="-1.492681",=".2783632",="-1.823704",="-1.390756",="-.8464426",=".",=".3733873",="",="",="",="",="",="",="",="",="",="",=""
="p",=".1355206",=".7807335",=".0681968",=".1642995",=".3973059",=".",=".7088602",="",="",="",="",="",="",="",="",="",="",=""
="structbal_ME2_Def1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0002604",=".0002576",="-.0004067",="-.0018406",="-.0006495",="0",=".0036618",="",="",="",="",="",="",="",="",="",="",=""
="t",="-1.149348",=".2715567",="-1.476527",="-1.12355",="-.7229359",=".",=".3387352",="",="",="",="",="",="",="",="",="",="",=""
="p",=".2504126",=".7859629",=".1398024",=".2612039",=".4697193",=".",=".7348092",="",="",="",="",="",="",="",="",="",="",=""
="structbal_OP_2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0088701",=".003885",="-.0156181",="-.0710259",="-.0297077",="",="",="0",=".4668086",="",="",="",="",="1.085576",="2.310812",="2.987265",="3.599805",="1.047578"
="t",="-1.357816",=".1129892",="-1.989015",="-1.463613",="-.9415561",="",="",=".",="1.043948",="",="",="",="",="3.879209",="6.315982",="5.722335",="6.628533",="3.022827"
="p",=".174522",=".9100391",=".0466995",=".1432996",=".34642",="",="",=".",=".2965096",="",="",="",="",=".0001048",="2.68e-10",="1.05e-08",="3.39e-11",=".0025043"
="structbal_ME0_Def2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".001955",="-.0008563",=".0034423",=".0156542",=".0065476",="",="",="0",="-.1231501",="",="",="",="",="",="",="",="",=""
="t",="1.344236",="-.1129127",="1.877048",="1.426083",=".9468693",="",="",=".",="-.902454",="",="",="",="",="",="",="",="",=""
="p",=".1788721",=".9100998",=".0605115",=".1538443",=".3437054",="",="",=".",=".3668158",="",="",="",="",="",="",="",="",=""
="structbal_ME1_Def2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0016659",=".0007296",="-.0029332",="-.0133393",="-.0055794",="",="",="0",=".1001004",="",="",="",="",="",="",="",="",=""
="t",="-1.368101",=".1127856",="-1.904141",="-1.433874",="-.9825927",="",="",=".",=".981234",="",="",="",="",="",="",="",="",=""
="p",=".1712803",=".9102005",=".0568918",=".1516082",=".3258079",="",="",=".",=".3264774",="",="",="",="",="",="",="",="",=""
="structbal_ME2_Def2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0002322",=".0001017",="-.0004089",="-.0018595",="-.0007778",="",="",="0",=".017884",="",="",="",="",="",="",="",="",=""
="t",="-1.113029",=".112266",="-1.492319",="-1.140826",="-.8073391",="",="",=".",=".6992543",="",="",="",="",="",="",="",="",=""
="p",=".2656961",=".9106125",=".1356156",=".2539424",=".4194711",="",="",=".",=".4843931",="",="",="",="",="",="",="",="",=""
="structbal_OP_5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0094414",=".0066366",="-.0153757",="-.0697768",="-.0265782",="",="",="",="",="0",=".1817682",="",="",="1.068919",="2.286935",="2.958758",="3.572216",="1.044599"
="t",="-1.435472",=".1948592",="-1.972875",="-1.433636",="-.8202425",="",="",="",="",=".",=".3363301",="",="",="3.803793",="6.196511",="5.598555",="6.610712",="2.983994"
="p",=".1511526",=".8455031",=".0485098",=".1516761",=".4120779",="",="",="",="",=".",=".736622",="",="",=".0001425",="5.77e-10",="2.16e-08",="3.82e-11",=".0028451"
="structbal_ME0_Def5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0021128",="-.0014851",=".0034407",=".0156143",=".0059475",="",="",="",="",="0",="-.0435727",="",="",="",="",="",="",=""
="t",="1.40848",="-.194589",="1.852542",="1.400843",=".8256575",="",="",="",="",=".",="-.3164182",="",="",="",="",="",="",=""
="p",=".1589891",=".8457147",=".0639481",=".1612609",=".4089984",="",="",="",="",=".",=".7516851",="",="",="",="",="",="",=""
="structbal_ME1_Def5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0017975",=".0012635",="-.0029274",="-.0132847",="-.0050602",="",="",="",="",="0",=".036482",="",="",="",="",="",="",=""
="t",="-1.437825",=".1941353",="-1.877904",="-1.407521",="-.8544019",="",="",="",="",=".",=".3244111",="",="",="",="",="",="",=""
="p",=".1504838",=".84607",=".0603943",=".1592731",=".3928823",="",="",="",="",=".",=".7456268",="",="",="",="",="",="",=""
="structbal_ME2_Def5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0002528",=".0001777",="-.0004117",="-.0018683",="-.0007117",="",="",="",="",="0",=".0056168",="",="",="",="",="",="",=""
="t",="-1.150716",=".1928187",="-1.485938",="-1.131023",="-.7153386",="",="",="",="",=".",=".2856706",="",="",="",="",="",="",=""
="p",=".2498493",=".8471009",=".1372956",=".2580455",=".4743999",="",="",="",="",=".",=".7751304",="",="",="",="",="",="",=""
="structbal_OP_10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0098393",=".0103568",="-.0151907",="-.0681974",="-.0227548",="",="",="",="",="",="",="0",=".0087995",="1.062914",="2.279419",="2.951241",="3.569422",="1.069208"
="t",="-1.504941",=".2929123",="-1.909759",="-1.408194",="-.7698143",="",="",="",="",="",="",=".",=".0211835",="3.749234",="6.207712",="5.612133",="6.616055",="2.865564"
="p",=".1323391",=".7695892",=".0561643",=".1590736",=".4414101",="",="",="",="",="",="",=".",=".9830993",=".0001774",="5.38e-10",="2.00e-08",="3.69e-11",=".0041627"
="structbal_ME0_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0022184",="-.0023351",=".003425",=".0153761",=".0051304",="",="",="",="",="",="",="0",="-.0019898",="",="",="",="",=""
