
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="structbalDefault1",="MERat0_structbal_Def1",="MERat1_structbal_Def1",="MERat2_structbal_Def1",="structbalDefault2",="MERat0_structbal_Def2",="MERat1_structbal_Def2",="MERat2_structbal_Def2",="structbalDefault5",="MERat0_structbal_Def5",="MERat1_structbal_Def5",="MERat2_structbal_Def5",="structbalDefault10",="MERat0_structbal_Def10",="MERat1_structbal_Def10",="MERat2_structbal_Def10"

="main",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="NGDPDPC_Var",="-0.00967",="0.00217",="-0.00185",="-0.000260",="-0.00887",="0.00195",="-0.00167",="-0.000232",="-0.00944",="0.00211",="-0.00180",="-0.000253",="-0.00984",="0.00222",="-0.00189",="-0.000267"
="",="(-1.47)",="(1.45)",="(-1.49)",="(-1.15)",="(-1.36)",="(1.34)",="(-1.37)",="(-1.11)",="(-1.44)",="(1.41)",="(-1.44)",="(-1.15)",="(-1.50)",="(1.47)",="(-1.52)",="(-1.17)"
="NGDP_RPCH",="0.00957",="-0.00215",="0.00183",="0.000258",="0.00389",="-0.000856",="0.000730",="0.000102",="0.00664",="-0.00149",="0.00126",="0.000178",="0.0104",="-0.00234",="0.00198",="0.000281"
="",="(0.28)",="(-0.28)",="(0.28)",="(0.27)",="(0.11)",="(-0.11)",="(0.11)",="(0.11)",="(0.19)",="(-0.19)",="(0.19)",="(0.19)",="(0.29)",="(-0.29)",="(0.29)",="(0.28)"
="ExtDebtPercGNI_Var",="-0.0151*",="0.00339*",="-0.00289*",="-0.000407",="-0.0156**",="0.00344*",="-0.00293*",="-0.000409",="-0.0154**",="0.00344*",="-0.00293*",="-0.000412",="-0.0152*",="0.00342*",="-0.00291*",="-0.000412"
="",="(-1.90)",="(1.81)",="(-1.82)",="(-1.48)",="(-1.99)",="(1.88)",="(-1.90)",="(-1.49)",="(-1.97)",="(1.85)",="(-1.88)",="(-1.49)",="(-1.91)",="(1.80)",="(-1.82)",="(-1.47)"
="GGSB_NPGDP",="-0.0684",="0.0154",="-0.0131",="-0.00184",="-0.0710",="0.0157",="-0.0133",="-0.00186",="-0.0698",="0.0156",="-0.0133",="-0.00187",="-0.0682",="0.0154",="-0.0131",="-0.00185"
="",="(-1.42)",="(1.39)",="(-1.39)",="(-1.12)",="(-1.46)",="(1.43)",="(-1.43)",="(-1.14)",="(-1.43)",="(1.40)",="(-1.41)",="(-1.13)",="(-1.41)",="(1.38)",="(-1.38)",="(-1.13)"
="PCPIPCH",="-0.0241",="0.00542",="-0.00461",="-0.000650",="-0.0297",="0.00655",="-0.00558",="-0.000778",="-0.0266",="0.00595",="-0.00506",="-0.000712",="-0.0228",="0.00513",="-0.00436",="-0.000617"
="",="(-0.82)",="(0.82)",="(-0.85)",="(-0.72)",="(-0.94)",="(0.95)",="(-0.98)",="(-0.81)",="(-0.82)",="(0.83)",="(-0.85)",="(-0.72)",="(-0.77)",="(0.78)",="(-0.80)",="(-0.69)"
="DefaultLastYear=0",="0",="0",="0",="0",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",=""
="DefaultLastYear=1",="0.122",="-0.0290",="0.0243",="0.00366",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.39)",="(-0.37)",="(0.37)",="(0.34)",="",="",="",="",="",="",="",="",="",="",="",=""
="DefaultLast2Years=0",="",="",="",="",="0",="0",="0",="0",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",=""
="DefaultLast2Years=1",="",="",="",="",="0.467",="-0.123",="0.100",="0.0179",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(1.04)",="(-0.90)",="(0.98)",="(0.70)",="",="",="",="",="",="",="",=""
="DefaultLast5Years=0",="",="",="",="",="",="",="",="",="0",="0",="0",="0",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="",="",="",=""
="DefaultLast5Years=1",="",="",="",="",="",="",="",="",="0.182",="-0.0436",="0.0365",="0.00562",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.34)",="(-0.32)",="(0.32)",="(0.29)",="",="",="",=""
="DefaultLast10Years=0",="",="",="",="",="",="",="",="",="",="",="",="",="0",="0",="0",="0"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)"
="DefaultLast10Years=1",="",="",="",="",="",="",="",="",="",="",="",="",="0.00880",="-0.00199",="0.00169",="0.000240"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.02)",="(-0.02)",="(0.02)",="(0.02)"

="cut1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Const",="1.067***",="",="",="",="1.086***",="",="",="",="1.069***",="",="",="",="1.063***",="",="",=""
="",="(3.85)",="",="",="",="(3.88)",="",="",="",="(3.80)",="",="",="",="(3.75)",="",="",=""

="cut2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Const",="2.284***",="",="",="",="2.311***",="",="",="",="2.287***",="",="",="",="2.279***",="",="",=""
="",="(6.21)",="",="",="",="(6.32)",="",="",="",="(6.20)",="",="",="",="(6.21)",="",="",=""

="cut3",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Const",="2.955***",="",="",="",="2.987***",="",="",="",="2.959***",="",="",="",="2.951***",="",="",=""
="",="(5.61)",="",="",="",="(5.72)",="",="",="",="(5.60)",="",="",="",="(5.61)",="",="",=""

="cut4",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Const",="3.572***",="",="",="",="3.600***",="",="",="",="3.572***",="",="",="",="3.569***",="",="",=""
="",="(6.73)",="",="",="",="(6.63)",="",="",="",="(6.61)",="",="",="",="(6.62)",="",="",=""

="sigma2_u",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Const",="1.061***",="",="",="",="1.048***",="",="",="",="1.045***",="",="",="",="1.069***",="",="",=""
="",="(3.06)",="",="",="",="(3.02)",="",="",="",="(2.98)",="",="",="",="(2.87)",="",="",=""

="Observations",="672",="672",="672",="672",="672",="672",="672",="672",="672",="672",="672",="672",="672",="672",="672",="672"
="Pseudo R-squared",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
