
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="budgetbalDefault1";="MERat0_budgetbal_Def1";="MERat1_budgetbal_Def1";="MERat2_budgetbal_Def1";="budgetbalDefault2";="MERat0_budgetbal_Def2";="MERat1_budgetbal_Def2";="MERat2_budgetbal_Def2";="budgetbalDefault5";="MERat0_budgetbal_Def5";="MERat1_budgetbal_Def5";="MERat2_budgetbal_Def5";="budgetbalDefault10";="MERat0_budgetbal_Def10";="MERat1_budgetbal_Def10";="MERat2_budgetbal_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.0000191";="-0.00000749";="0.00000488";="0.00000208";="0.000877";="-0.000343";="0.000222";="0.0000964";="0.000419";="-0.000164";="0.000107";="0.0000459";="0.00116";="-0.000448";="0.000287";="0.000127"
="";="(0.00)";="(-0.00)";="(0.00)";="(0.00)";="(0.09)";="(-0.09)";="(0.09)";="(0.09)";="(0.04)";="(-0.04)";="(0.04)";="(0.04)";="(0.12)";="(-0.12)";="(0.12)";="(0.11)"
="NGDP_RPCH";="-0.00762";="0.00299";="-0.00195";="-0.000828";="-0.0152";="0.00595";="-0.00384";="-0.00167";="-0.0104";="0.00407";="-0.00264";="-0.00114";="-0.000569";="0.000221";="-0.000141";="-0.0000623"
="";="(-0.25)";="(0.25)";="(-0.26)";="(-0.25)";="(-0.48)";="(0.48)";="(-0.49)";="(-0.46)";="(-0.34)";="(0.34)";="(-0.35)";="(-0.33)";="(-0.02)";="(0.02)";="(-0.02)";="(-0.02)"
="ExtDebtPercGNI_Var";="-0.000175";="0.0000687";="-0.0000448";="-0.0000190";="0.00000747";="-0.00000292";="0.00000189";="0.000000822";="-0.0000788";="0.0000309";="-0.0000201";="-0.00000863";="0.000625";="-0.000243";="0.000156";="0.0000686"
="";="(-0.04)";="(0.04)";="(-0.04)";="(-0.04)";="(0.00)";="(-0.00)";="(0.00)";="(0.00)";="(-0.02)";="(0.02)";="(-0.02)";="(-0.02)";="(0.15)";="(-0.15)";="(0.15)";="(0.15)"
="BudgetBal_NGDP_Var";="8.70e-08";="-3.41e-08";="2.22e-08";="9.46e-09";="0.000000996";="-0.000000390";="0.000000252";="0.000000110";="0.00000119";="-0.000000468";="0.000000304";="0.000000131";="0.000000973";="-0.000000378";="0.000000242";="0.000000107"
="";="(0.02)";="(-0.02)";="(0.02)";="(0.02)";="(0.23)";="(-0.23)";="(0.23)";="(0.23)";="(0.29)";="(-0.29)";="(0.29)";="(0.30)";="(0.22)";="(-0.22)";="(0.22)";="(0.22)"
="PCPIPCH";="-0.0111";="0.00436";="-0.00284";="-0.00121";="-0.0107";="0.00420";="-0.00271";="-0.00118";="-0.0110";="0.00430";="-0.00279";="-0.00120";="-0.0133*";="0.00517*";="-0.00331*";="-0.00146"
="";="(-1.43)";="(1.45)";="(-1.44)";="(-1.31)";="(-1.35)";="(1.38)";="(-1.37)";="(-1.25)";="(-1.41)";="(1.44)";="(-1.43)";="(-1.30)";="(-1.81)";="(1.84)";="(-1.77)";="(-1.63)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.102";="0.0401";="-0.0260";="-0.0112";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(-0.39)";="(0.39)";="(-0.39)";="(-0.38)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="";="";="0";="0";="0";="0";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";=""
="DefaultLast2Years=1";="";="";="";="";="0.132";="-0.0517";="0.0341";="0.0141";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(0.44)";="(-0.45)";="(0.44)";="(0.46)";="";="";="";="";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="";="";="";="";="0";="0";="0";="0";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";=""
="DefaultLast5Years=1";="";="";="";="";="";="";="";="";="-0.0102";="0.00400";="-0.00259";="-0.00112";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(-0.03)";="(0.03)";="(-0.03)";="(-0.03)";="";="";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="";="";="";="";="";="";="0";="0";="0";="0"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="";="";="";="";="";="";="-0.617";="0.228*";="-0.109**";="-0.0873"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(-1.48)";="(1.65)";="(-2.51)";="(-1.22)"

="cut1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="-0.234";="";="";="";="-0.112";="";="";="";="-0.192";="";="";="";="-0.720*";="";="";=""
="";="(-1.08)";="";="";="";="(-0.44)";="";="";="";="(-0.62)";="";="";="";="(-1.81)";="";="";=""

="cut2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.278***";="";="";="";="1.393***";="";="";="";="1.314***";="";="";="";="0.789**";="";="";=""
="";="(5.03)";="";="";="";="(4.71)";="";="";="";="(3.77)";="";="";="";="(1.99)";="";="";=""

="cut3";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.135***";="";="";="";="2.247***";="";="";="";="2.169***";="";="";="";="1.647***";="";="";=""
="";="(9.02)";="";="";="";="(7.92)";="";="";="";="(6.51)";="";="";="";="(4.13)";="";="";=""

="cut4";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.791***";="";="";="";="2.898***";="";="";="";="2.823***";="";="";="";="2.298***";="";="";=""
="";="(7.12)";="";="";="";="(6.83)";="";="";="";="(5.83)";="";="";="";="(4.17)";="";="";=""

="sigma2_u";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
