="";="foodw_mfgrossdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdg_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="sigma2_u:_cons"
="grossdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0041125";="-.0212891";="-.0006945";="-.0122328";="-.0113228";="0";="-.1065789";="";="";="";="";="";="";="-.3217735";="1.188972";="2.04973";="2.7119";=".34503"
="t";="-.381532";="-.7184471";="-.163134";="-1.80287";="-1.451026";=".";="-.4119538";="";="";="";="";="";="";="-1.474614";="4.695776";="8.550408";="6.717528";="1.865999"
="p";=".7028085";=".4724817";=".8704129";=".0714086";=".1467725";=".";=".6803733";="";="";="";="";="";="";=".1403163";="2.66e-06";="0";="1.85e-11";=".0620416"
="grossdebt_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0015958";=".0082611";=".0002695";=".0047469";=".0043938";="0";=".0413515";="";="";="";="";="";="";="";="";="";="";=""
="t";=".3811869";=".7224866";=".1630816";="1.818933";="1.473649";=".";=".4121663";="";="";="";="";="";="";="";="";="";="";=""
="p";=".7030646";=".4699953";=".8704542";=".0689216";=".1405762";=".";=".6802175";="";="";="";="";="";="";="";="";="";="";=""
="grossdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0010233";="-.0052973";="-.0001728";="-.0030438";="-.0028174";="0";="-.0263552";="";="";="";="";="";="";="";="";="";="";=""
="t";="-.3755998";="-.7475072";="-.1629339";="-1.811029";="-1.44911";=".";="-.4135983";="";="";="";="";="";="";="";="";="";="";=""
="p";=".7072145";=".4547575";=".8705705";=".0701363";=".1473069";=".";=".6791683";="";="";="";="";="";="";="";="";="";="";=""
="grossdebt_ME2_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0004543";="-.0023516";="-.0000767";="-.0013513";="-.0012507";="0";="-.0118876";="";="";="";="";="";="";="";="";="";="";=""
="t";="-.3938423";="-.661881";="-.1634387";="-1.650624";="-1.341438";=".";="-.4063363";="";="";="";="";="";="";="";="";="";="";=""
="p";=".6936975";=".5080475";=".870173";=".0988154";=".1797784";=".";=".6844955";="";="";="";="";="";="";="";="";="";="";=""
="grossdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0031736";="-.0281148";="-.0005206";="-.0119074";="-.0109274";="";="";="0";=".1141526";="";="";="";="";="-.2063112";="1.298124";="2.155274";="2.811373";=".3235176"
="t";="-.2943618";="-.9238219";="-.1225772";="-1.69415";="-1.370036";="";="";=".";=".3822465";="";="";="";="";="-.7740584";="4.257996";="7.285366";="6.355865";="1.780139"
="p";=".7684815";=".355579";=".9024419";=".0902368";=".1706755";="";="";=".";=".7022785";="";="";="";="";=".4388963";=".0000206";="3.21e-13";="2.07e-10";=".0750531"
="grossdebt_ME0_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0012305";=".0109009";=".0002018";=".0046168";=".0042369";="";="";="0";="-.0443638";="";="";="";="";="";="";="";="";=""
="t";=".2937772";=".9318896";=".1225072";="1.693662";="1.397458";="";="";=".";="-.3821899";="";="";="";="";="";="";="";="";=""
="p";=".7689282";=".3513936";=".9024973";=".0903295";=".162276";="";="";=".";=".7023205";="";="";="";="";="";="";="";="";=""
="grossdebt_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0007818";="-.0069256";="-.0001282";="-.0029332";="-.0026918";="";="";="0";=".0286633";="";="";="";="";="";="";="";="";=""
="t";="-.290543";="-.9690238";="-.1223875";="-1.676988";="-1.379229";="";="";=".";=".3738791";="";="";="";="";="";="";="";="";=""
="p";=".7714008";=".3325333";=".9025922";=".0935448";=".167824";="";="";=".";=".7084942";="";="";="";="";="";="";="";="";=""
="grossdebt_ME2_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0003545";="-.0031403";="-.0000581";="-.00133";="-.0012206";="";="";="0";=".0124602";="";="";="";="";="";="";="";="";=""
="t";="-.3011253";="-.8350182";="-.1227807";="-1.567292";="-1.280807";="";="";=".";=".3935097";="";="";="";="";="";="";="";="";=""
="p";=".7633189";=".4037075";=".9022807";=".1170463";=".2002613";="";="";=".";=".6939431";="";="";="";="";="";="";="";="";=""
="grossdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0036872";="-.0230975";="-.0005255";="-.012333";="-.0112739";="";="";="";="";="0";="-.0560446";="";="";="-.3126376";="1.192601";="2.052015";="2.711749";=".328999"
="t";="-.3507104";="-.7867747";="-.1251348";="-1.676976";="-1.453522";="";="";="";="";=".";="-.17192";="";="";="-.9521722";="3.288651";="5.860837";="5.338865";="1.789259"
="p";=".7258056";=".4314138";=".9004168";=".0935471";=".1460789";="";="";="";="";=".";=".8635004";="";="";=".3410096";=".0010067";="4.61e-09";="9.35e-08";=".0735732"
="grossdebt_ME0_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0014323";=".0089722";=".0002041";=".0047907";=".0043793";="";="";="";="";="0";=".0217341";="";="";="";="";="";="";=""
="t";=".3502727";=".7917179";=".1250863";="1.688801";="1.48004";="";="";="";="";=".";=".1722948";="";="";="";="";="";="";=""
="p";=".7261341";=".4285252";=".9004553";=".0912576";=".1388627";="";="";="";="";=".";=".8632058";="";="";="";="";="";="";=""
="grossdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0009139";="-.0057251";="-.0001303";="-.003057";="-.0027944";="";="";="";="";="0";="-.0136537";="";="";="";="";="";="";=""
="t";="-.3457989";="-.8154991";="-.1249403";="-1.697388";="-1.45787";="";="";="";="";=".";="-.1762193";="";="";="";="";="";="";=""
="p";=".7294939";=".4147867";=".9005708";=".0896234";=".1448763";="";="";="";="";=".";=".8601217";="";="";="";="";="";="";=""
="grossdebt_ME2_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
