
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="grossdebtDefault1";="MERat0_grossdebt_Def1";="MERat1_grossdebt_Def1";="MERat2_grossdebt_Def1";="grossdebtDefault2";="MERat0_grossdebt_Def2";="MERat1_grossdebt_Def2";="MERat2_grossdebt_Def2";="grossdebtDefault5";="MERat0_grossdebt_Def5";="MERat1_grossdebt_Def5";="MERat2_grossdebt_Def5";="grossdebtDefault10";="MERat0_grossdebt_Def10";="MERat1_grossdebt_Def10";="MERat2_grossdebt_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00411";="0.00160";="-0.00102";="-0.000454";="-0.00317";="0.00123";="-0.000782";="-0.000354";="-0.00369";="0.00143";="-0.000914";="-0.000411";="-0.00372";="0.00142";="-0.000892";="-0.000412"
="";="(-0.38)";="(0.38)";="(-0.38)";="(-0.39)";="(-0.29)";="(0.29)";="(-0.29)";="(-0.30)";="(-0.35)";="(0.35)";="(-0.35)";="(-0.36)";="(-0.35)";="(0.35)";="(-0.34)";="(-0.36)"
="NGDP_RPCH";="-0.0213";="0.00826";="-0.00530";="-0.00235";="-0.0281";="0.0109";="-0.00693";="-0.00314";="-0.0231";="0.00897";="-0.00573";="-0.00257";="-0.0149";="0.00571";="-0.00358";="-0.00165"
="";="(-0.72)";="(0.72)";="(-0.75)";="(-0.66)";="(-0.92)";="(0.93)";="(-0.97)";="(-0.84)";="(-0.79)";="(0.79)";="(-0.82)";="(-0.73)";="(-0.54)";="(0.54)";="(-0.56)";="(-0.51)"
="ExtDebtPercGNI_Var";="-0.000694";="0.000269";="-0.000173";="-0.0000767";="-0.000521";="0.000202";="-0.000128";="-0.0000581";="-0.000525";="0.000204";="-0.000130";="-0.0000585";="0.000142";="-0.0000545";="0.0000341";="0.0000158"
="";="(-0.16)";="(0.16)";="(-0.16)";="(-0.16)";="(-0.12)";="(0.12)";="(-0.12)";="(-0.12)";="(-0.13)";="(0.13)";="(-0.12)";="(-0.13)";="(0.03)";="(-0.03)";="(0.03)";="(0.03)"
="GGXWDG_NGDP_Var";="-0.0122*";="0.00475*";="-0.00304*";="-0.00135*";="-0.0119*";="0.00462*";="-0.00293*";="-0.00133";="-0.0123*";="0.00479*";="-0.00306*";="-0.00137";="-0.0145**";="0.00556**";="-0.00349**";="-0.00161**"
