
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="budgetbalDefault1";="MERat0_budgetbal_Def1";="MERat1_budgetbal_Def1";="MERat2_budgetbal_Def1";="budgetbalDefault2";="MERat0_budgetbal_Def2";="MERat1_budgetbal_Def2";="MERat2_budgetbal_Def2";="budgetbalDefault5";="MERat0_budgetbal_Def5";="MERat1_budgetbal_Def5";="MERat2_budgetbal_Def5";="budgetbalDefault10";="MERat0_budgetbal_Def10";="MERat1_budgetbal_Def10";="MERat2_budgetbal_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00856";="0.00312";="-0.00242";="-0.000553";="-0.00847";="0.00309";="-0.00240";="-0.000545";="-0.00815";="0.00299";="-0.00233";="-0.000524";="-0.00790";="0.00287";="-0.00222";="-0.000502"
="";="(-1.32)";="(1.31)";="(-1.31)";="(-1.19)";="(-1.31)";="(1.30)";="(-1.30)";="(-1.18)";="(-1.29)";="(1.28)";="(-1.28)";="(-1.17)";="(-1.26)";="(1.24)";="(-1.24)";="(-1.14)"
="NGDP_RPCH";="-0.0447**";="0.0163**";="-0.0126**";="-0.00288**";="-0.0437**";="0.0159**";="-0.0124**";="-0.00281**";="-0.0468**";="0.0172**";="-0.0134**";="-0.00301**";="-0.0434**";="0.0158**";="-0.0122**";="-0.00276*"
="";="(-2.18)";="(2.24)";="(-2.16)";="(-2.02)";="(-2.12)";="(2.17)";="(-2.10)";="(-1.97)";="(-2.27)";="(2.34)";="(-2.26)";="(-2.09)";="(-2.06)";="(2.10)";="(-2.04)";="(-1.92)"
="ExtDebtPercGNI_Var";="-0.00456**";="0.00166**";="-0.00129**";="-0.000295";="-0.00467**";="0.00170**";="-0.00132**";="-0.000300";="-0.00442**";="0.00162**";="-0.00127**";="-0.000284";="-0.00421**";="0.00153**";="-0.00119**";="-0.000268"
="";="(-2.03)";="(2.03)";="(-2.08)";="(-1.56)";="(-2.10)";="(2.10)";="(-2.15)";="(-1.60)";="(-2.03)";="(2.03)";="(-2.08)";="(-1.56)";="(-1.97)";="(1.96)";="(-2.01)";="(-1.53)"
="BudgetBal_NGDP_Var";="-0.0000222";="0.00000811";="-0.00000629";="-0.00000144";="-0.0000176";="0.00000643";="-0.00000499";="-0.00000113";="-0.0000189";="0.00000694";="-0.00000541";="-0.00000121";="-0.0000205";="0.00000744";="-0.00000577";="-0.00000130"
="";="(-0.41)";="(0.41)";="(-0.40)";="(-0.41)";="(-0.32)";="(0.32)";="(-0.31)";="(-0.32)";="(-0.37)";="(0.37)";="(-0.36)";="(-0.37)";="(-0.40)";="(0.40)";="(-0.40)";="(-0.40)"
="PCPIPCH";="-0.000254";="0.0000929";="-0.0000720";="-0.0000164";="-0.000278";="0.000101";="-0.0000786";="-0.0000179";="-0.000280";="0.000103";="-0.0000801";="-0.0000180";="-0.000366";="0.000133";="-0.000103";="-0.0000233"
="";="(-0.53)";="(0.53)";="(-0.52)";="(-0.53)";="(-0.57)";="(0.57)";="(-0.57)";="(-0.57)";="(-0.59)";="(0.59)";="(-0.58)";="(-0.58)";="(-0.69)";="(0.69)";="(-0.68)";="(-0.68)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.240";="0.0887";="-0.0687";="-0.0158";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(-1.36)";="(1.36)";="(-1.37)";="(-1.19)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="";="";="0";="0";="0";="0";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";=""
="DefaultLast2Years=1";="";="";="";="";="-0.266";="0.0990";="-0.0760";="-0.0181";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(-1.43)";="(1.43)";="(-1.44)";="(-1.25)";="";="";="";="";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="";="";="";="";="0";="0";="0";="0";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";=""
="DefaultLast5Years=1";="";="";="";="";="";="";="";="";="-0.0914";="0.0339";="-0.0262";="-0.00610";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(-0.45)";="(0.45)";="(-0.46)";="(-0.43)";="";="";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="";="";="";="";="";="";="0";="0";="0";="0"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="";="";="";="";="";="";="-0.460*";="0.175*";="-0.126*";="-0.0377"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(-1.70)";="(1.69)";="(-1.84)";="(-1.29)"

="cut1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="-0.0446";="";="";="";="-0.0750";="";="";="";="0.0193";="";="";="";="-0.298";="";="";=""
="";="(-0.25)";="";="";="";="(-0.41)";="";="";="";="(0.10)";="";="";="";="(-1.24)";="";="";=""

="cut2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.464***";="";="";="";="1.436***";="";="";="";="1.524***";="";="";="";="1.208***";="";="";=""
="";="(6.67)";="";="";="";="(6.44)";="";="";="";="(6.11)";="";="";="";="(4.21)";="";="";=""

="cut3";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.234***";="";="";="";="2.207***";="";="";="";="2.296***";="";="";="";="1.975***";="";="";=""
="";="(7.46)";="";="";="";="(7.23)";="";="";="";="(7.05)";="";="";="";="(5.44)";="";="";=""

="cut4";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.577***";="";="";="";="2.550***";="";="";="";="2.639***";="";="";="";="2.313***";="";="";=""
