
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="grossdebtDefault1";="MERat0_grossdebt_Def1";="MERat1_grossdebt_Def1";="MERat2_grossdebt_Def1";="grossdebtDefault2";="MERat0_grossdebt_Def2";="MERat1_grossdebt_Def2";="MERat2_grossdebt_Def2";="grossdebtDefault5";="MERat0_grossdebt_Def5";="MERat1_grossdebt_Def5";="MERat2_grossdebt_Def5";="grossdebtDefault10";="MERat0_grossdebt_Def10";="MERat1_grossdebt_Def10";="MERat2_grossdebt_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00977";="0.00357";="-0.00276";="-0.000633";="-0.00973";="0.00355";="-0.00275";="-0.000628";="-0.00940";="0.00345";="-0.00269";="-0.000607";="-0.00934";="0.00339";="-0.00262";="-0.000597"
="";="(-1.52)";="(1.51)";="(-1.53)";="(-1.28)";="(-1.50)";="(1.50)";="(-1.52)";="(-1.27)";="(-1.48)";="(1.47)";="(-1.49)";="(-1.26)";="(-1.46)";="(1.46)";="(-1.47)";="(-1.25)"
="NGDP_RPCH";="-0.0469**";="0.0171**";="-0.0133**";="-0.00304*";="-0.0459**";="0.0167**";="-0.0130**";="-0.00296*";="-0.0490**";="0.0180**";="-0.0140**";="-0.00316**";="-0.0459**";="0.0167**";="-0.0129**";="-0.00293*"
="";="(-2.19)";="(2.25)";="(-2.20)";="(-1.95)";="(-2.14)";="(2.20)";="(-2.14)";="(-1.92)";="(-2.30)";="(2.37)";="(-2.31)";="(-2.03)";="(-2.11)";="(2.16)";="(-2.11)";="(-1.90)"
="ExtDebtPercGNI_Var";="-0.00455**";="0.00166**";="-0.00129**";="-0.000295";="-0.00466**";="0.00170**";="-0.00132**";="-0.000301";="-0.00441**";="0.00162**";="-0.00126**";="-0.000285";="-0.00419*";="0.00152*";="-0.00118**";="-0.000268"
="";="(-1.98)";="(1.99)";="(-2.04)";="(-1.53)";="(-2.05)";="(2.06)";="(-2.11)";="(-1.57)";="(-1.99)";="(1.99)";="(-2.03)";="(-1.53)";="(-1.92)";="(1.92)";="(-1.96)";="(-1.50)"
="GGXWDG_NGDP_Var";="-0.00191";="0.000698";="-0.000541";="-0.000124";="-0.00201";="0.000731";="-0.000567";="-0.000130";="-0.00199";="0.000731";="-0.000569";="-0.000128";="-0.00231";="0.000838";="-0.000649";="-0.000148"
