="";="foodw_sfstructbal";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggsb_npgdp";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="cut5:_cons";="sigma2_u:_cons"
="structbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.011809";="-.0381451";="-.0073405";="-.0126024";="-.0002525";="0";="-.0651161";="";="";="";="";="";="";=".0409165";="1.403663";="2.406788";="2.895308";="3.272788";=".5424759"
="t";="-1.536045";="-1.948828";="-1.672616";="-.4662606";="-.5638402";=".";="-.315078";="";="";="";="";="";="";=".176255";="5.223305";="6.005331";="7.409635";="9.276979";="2.254544"
="p";=".1245273";=".051316";=".0944028";=".641029";=".5728629";=".";=".7527024";="";="";="";="";="";="";=".8600936";="1.76e-07";="1.91e-09";="1.27e-13";="0";=".0241619"
="structbal_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0043941";=".0141936";=".0027314";=".0046893";=".000094";="0";=".0242864";="";="";="";="";="";="";="";="";="";="";="";=""
="t";="1.530779";="2.00094";="1.68914";=".470657";=".5646508";=".";=".3148133";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".1258241";=".0453989";=".0911925";=".6378857";=".5723113";=".";=".7529034";="";="";="";="";="";="";="";="";="";="";="";=""
="structbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0030399";="-.0098194";="-.0018896";="-.0032441";="-.000065";="0";="-.0168052";="";="";="";="";="";="";="";="";="";="";="";=""
="t";="-1.553237";="-1.800813";="-1.672332";="-.4681897";="-.5555864";=".";="-.3170625";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".1203665";=".0717324";=".0944588";=".6396489";=".5784936";=".";=".7511962";="";="";="";="";="";="";="";="";="";="";="";=""
="structbal_ME2_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0011577";="-.0037395";="-.0007196";="-.0012355";="-.0000248";="0";="-.0064018";="";="";="";="";="";="";="";="";="";="";="";=""
="t";="-1.310919";="-2.076929";="-1.440461";="-.4651127";="-.561314";=".";="-.3082797";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".1898853";=".0378081";=".149737";=".6418507";=".5745835";=".";=".7578695";="";="";="";="";="";="";="";="";="";="";="";=""
="structbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0118049";="-.0382785";="-.0073594";="-.0131789";="-.0002544";="";="";="0";="-.0249712";="";="";="";="";=".0621172";="1.424829";="2.429172";="2.917527";="3.29439";=".5429684"
="t";="-1.538671";="-1.966564";="-1.683797";="-.472646";="-.5714102";="";="";=".";="-.1171669";="";="";="";="";=".2450943";="4.880973";="5.69416";="6.875941";="8.505503";="2.231732"
="p";=".1238846";=".0492335";=".0922209";=".6364658";=".5677216";="";="";=".";=".9067278";="";="";="";="";=".8063834";="1.06e-06";="1.24e-08";="6.16e-12";="0";=".0256327"
="structbal_ME0_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0043959";=".0142541";=".0027405";=".0049075";=".0000947";="";="";="0";=".0093118";="";="";="";="";="";="";="";="";="";=""
="t";="1.53192";="2.021307";="1.698828";=".4769384";=".5726523";="";="";=".";=".1170227";="";="";="";="";="";="";="";="";="";=""
="p";=".1255422";=".043248";=".0893515";=".633406";=".5668801";="";="";=".";=".9068421";="";="";="";="";="";="";="";="";="";=""
="structbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0030438";="-.0098698";="-.0018976";="-.0033981";="-.0000656";="";="";="0";="-.0064422";="";="";="";="";="";="";="";="";="";=""
