
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="structbalDefault1";="MERat0_structbal_Def1";="MERat1_structbal_Def1";="MERat2_structbal_Def1";="structbalDefault2";="MERat0_structbal_Def2";="MERat1_structbal_Def2";="MERat2_structbal_Def2";="structbalDefault5";="MERat0_structbal_Def5";="MERat1_structbal_Def5";="MERat2_structbal_Def5";="structbalDefault10";="MERat0_structbal_Def10";="MERat1_structbal_Def10";="MERat2_structbal_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.0118";="0.00439";="-0.00304";="-0.00116";="-0.0118";="0.00440";="-0.00304";="-0.00116";="-0.0118";="0.00438";="-0.00303";="-0.00115";="-0.0113";="0.00412";="-0.00282";="-0.00109"
="";="(-1.54)";="(1.53)";="(-1.55)";="(-1.31)";="(-1.54)";="(1.53)";="(-1.56)";="(-1.31)";="(-1.54)";="(1.53)";="(-1.55)";="(-1.31)";="(-1.48)";="(1.47)";="(-1.49)";="(-1.29)"
="NGDP_RPCH";="-0.0381*";="0.0142**";="-0.00982*";="-0.00374**";="-0.0383**";="0.0143**";="-0.00987*";="-0.00375**";="-0.0377*";="0.0140**";="-0.00970*";="-0.00369**";="-0.0313";="0.0115";="-0.00783";="-0.00304*"
="";="(-1.95)";="(2.00)";="(-1.80)";="(-2.08)";="(-1.97)";="(2.02)";="(-1.81)";="(-2.12)";="(-1.92)";="(1.97)";="(-1.77)";="(-2.06)";="(-1.58)";="(1.60)";="(-1.48)";="(-1.65)"
="ExtDebtPercGNI_Var";="-0.00734*";="0.00273*";="-0.00189*";="-0.000720";="-0.00736*";="0.00274*";="-0.00190*";="-0.000721";="-0.00726*";="0.00270*";="-0.00187*";="-0.000712";="-0.00626";="0.00229";="-0.00156";="-0.000607"
="";="(-1.67)";="(1.69)";="(-1.67)";="(-1.44)";="(-1.68)";="(1.70)";="(-1.68)";="(-1.44)";="(-1.67)";="(1.69)";="(-1.67)";="(-1.44)";="(-1.47)";="(1.47)";="(-1.46)";="(-1.29)"
="GGSB_NPGDP";="-0.0126";="0.00469";="-0.00324";="-0.00124";="-0.0132";="0.00491";="-0.00340";="-0.00129";="-0.0126";="0.00468";="-0.00324";="-0.00123";="-0.00748";="0.00274";="-0.00187";="-0.000725"
="";="(-0.47)";="(0.47)";="(-0.47)";="(-0.47)";="(-0.47)";="(0.48)";="(-0.47)";="(-0.47)";="(-0.44)";="(0.44)";="(-0.44)";="(-0.44)";="(-0.26)";="(0.26)";="(-0.26)";="(-0.26)"
="PCPIPCH";="-0.000253";="0.0000940";="-0.0000650";="-0.0000248";="-0.000254";="0.0000947";="-0.0000656";="-0.0000249";="-0.000261";="0.0000973";="-0.0000673";="-0.0000256";="-0.000363";="0.000133";="-0.0000906";="-0.0000352"
="";="(-0.56)";="(0.56)";="(-0.56)";="(-0.56)";="(-0.57)";="(0.57)";="(-0.56)";="(-0.57)";="(-0.59)";="(0.59)";="(-0.58)";="(-0.58)";="(-0.77)";="(0.77)";="(-0.75)";="(-0.75)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.0651";="0.0243";="-0.0168";="-0.00640";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(-0.32)";="(0.31)";="(-0.32)";="(-0.31)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="";="";="0";="0";="0";="0";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";=""
="DefaultLast2Years=1";="";="";="";="";="-0.0250";="0.00931";="-0.00644";="-0.00246";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(-0.12)";="(0.12)";="(-0.12)";="(-0.12)";="";="";="";="";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="";="";="";="";="0";="0";="0";="0";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";=""
="DefaultLast5Years=1";="";="";="";="";="";="";="";="";="-0.0526";="0.0197";="-0.0135";="-0.00524";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(-0.29)";="(0.29)";="(-0.29)";="(-0.28)";="";="";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="";="";="";="";="";="";="0";="0";="0";="0"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="";="";="";="";="";="";="-0.491*";="0.188*";="-0.117*";="-0.0587"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(-1.73)";="(1.72)";="(-1.89)";="(-1.38)"

="cut1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.0409";="";="";="";="0.0621";="";="";="";="0.0403";="";="";="";="-0.314";="";="";=""
="";="(0.18)";="";="";="";="(0.25)";="";="";="";="(0.16)";="";="";="";="(-1.09)";="";="";=""

="cut2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.404***";="";="";="";="1.425***";="";="";="";="1.402***";="";="";="";="1.044***";="";="";=""
="";="(5.22)";="";="";="";="(4.88)";="";="";="";="(4.77)";="";="";="";="(3.13)";="";="";=""

="cut3";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.407***";="";="";="";="2.429***";="";="";="";="2.405***";="";="";="";="2.034***";="";="";=""
="";="(6.01)";="";="";="";="(5.69)";="";="";="";="(5.49)";="";="";="";="(4.26)";="";="";=""

="cut4";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.895***";="";="";="";="2.918***";="";="";="";="2.893***";="";="";="";="2.519***";="";="";=""
="";="(7.41)";="";="";="";="(6.88)";="";="";="";="(6.53)";="";="";="";="(5.07)";="";="";=""

="cut5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="3.273***";="";="";="";="3.294***";="";="";="";="3.270***";="";="";="";="2.899***";="";="";=""
="";="(9.28)";="";="";="";="(8.51)";="";="";="";="(8.03)";="";="";="";="(6.28)";="";="";=""

="sigma2_u";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.542**";="";="";="";="0.543**";="";="";="";="0.537**";="";="";="";="0.449**";="";="";=""
="";="(2.25)";="";="";="";="(2.23)";="";="";="";="(2.21)";="";="";="";="(2.13)";="";="";=""

="Observations";="271";="271";="271";="271";="271";="271";="271";="271";="271";="271";="271";="271";="271";="271";="271";="271"
="Pseudo R-squared";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
