
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="grossdebtDefault1";="MERat0_grossdebt_Def1";="MERat1_grossdebt_Def1";="MERat2_grossdebt_Def1";="grossdebtDefault2";="MERat0_grossdebt_Def2";="MERat1_grossdebt_Def2";="MERat2_grossdebt_Def2";="grossdebtDefault5";="MERat0_grossdebt_Def5";="MERat1_grossdebt_Def5";="MERat2_grossdebt_Def5";="grossdebtDefault10";="MERat0_grossdebt_Def10";="MERat1_grossdebt_Def10";="MERat2_grossdebt_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.0125";="0.00469";="-0.00344";="-0.000708";="-0.0125";="0.00470";="-0.00345";="-0.000711";="-0.0125";="0.00467";="-0.00343";="-0.000706";="-0.0125";="0.00470";="-0.00344";="-0.000712"
="";="(-1.43)";="(1.46)";="(-1.45)";="(-1.34)";="(-1.44)";="(1.47)";="(-1.46)";="(-1.36)";="(-1.41)";="(1.43)";="(-1.42)";="(-1.33)";="(-1.43)";="(1.45)";="(-1.44)";="(-1.34)"
="NGDP_RPCH";="0.0126";="-0.00471";="0.00346";="0.000711";="0.0134";="-0.00504";="0.00370";="0.000762";="0.0114";="-0.00426";="0.00312";="0.000643";="0.00941";="-0.00353";="0.00258";="0.000534"
="";="(0.63)";="(-0.63)";="(0.63)";="(0.63)";="(0.65)";="(-0.65)";="(0.65)";="(0.66)";="(0.54)";="(-0.54)";="(0.54)";="(0.55)";="(0.47)";="(-0.47)";="(0.47)";="(0.47)"
="ExtDebtPercGNI_Var";="0.000287";="-0.000108";="0.0000791";="0.0000163";="0.000289";="-0.000109";="0.0000796";="0.0000164";="0.000231";="-0.0000867";="0.0000636";="0.0000131";="0.0000477";="-0.0000179";="0.0000131";="0.00000271"
="";="(0.09)";="(-0.09)";="(0.09)";="(0.09)";="(0.09)";="(-0.09)";="(0.09)";="(0.09)";="(0.07)";="(-0.07)";="(0.07)";="(0.07)";="(0.01)";="(-0.01)";="(0.01)";="(0.01)"
="GGXWDG_NGDP_Var";="0.00405";="-0.00152";="0.00111";="0.000229";="0.00401";="-0.00151";="0.00110";="0.000228";="0.00407";="-0.00152";="0.00112";="0.000230";="0.00408";="-0.00153";="0.00112";="0.000232"
="";="(0.95)";="(-0.95)";="(0.91)";="(1.04)";="(0.96)";="(-0.96)";="(0.92)";="(1.04)";="(0.94)";="(-0.94)";="(0.90)";="(1.03)";="(0.93)";="(-0.93)";="(0.90)";="(1.01)"
