
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="structbalDefault1";="MERat0_structbal_Def1";="MERat1_structbal_Def1";="MERat2_structbal_Def1";="structbalDefault2";="MERat0_structbal_Def2";="MERat1_structbal_Def2";="MERat2_structbal_Def2";="structbalDefault5";="MERat0_structbal_Def5";="MERat1_structbal_Def5";="MERat2_structbal_Def5";="structbalDefault10";="MERat0_structbal_Def10";="MERat1_structbal_Def10";="MERat2_structbal_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.0199**";="0.00717**";="-0.00500**";="-0.00134**";="-0.0199**";="0.00717**";="-0.00503**";="-0.00133*";="-0.0199**";="0.00714**";="-0.00502**";="-0.00132*";="-0.0201**";="0.00724**";="-0.00507**";="-0.00134**"
="";="(-2.45)";="(2.53)";="(-2.46)";="(-1.97)";="(-2.43)";="(2.50)";="(-2.44)";="(-1.95)";="(-2.42)";="(2.48)";="(-2.42)";="(-1.94)";="(-2.48)";="(2.55)";="(-2.49)";="(-1.97)"
="NGDP_RPCH";="0.00366";="-0.00132";="0.000920";="0.000246";="0.00190";="-0.000684";="0.000480";="0.000127";="-0.0000483";="0.0000173";="-0.0000122";="-0.00000321";="0.00117";="-0.000422";="0.000296";="0.0000783"
="";="(0.16)";="(-0.16)";="(0.16)";="(0.16)";="(0.08)";="(-0.08)";="(0.08)";="(0.08)";="(-0.00)";="(0.00)";="(-0.00)";="(-0.00)";="(0.05)";="(-0.05)";="(0.05)";="(0.05)"
="ExtDebtPercGNI_Var";="-0.00735**";="0.00264**";="-0.00184**";="-0.000493*";="-0.00737**";="0.00265**";="-0.00186**";="-0.000491*";="-0.00757**";="0.00272**";="-0.00191**";="-0.000502*";="-0.00759**";="0.00273**";="-0.00191**";="-0.000506*"
="";="(-2.15)";="(2.16)";="(-2.25)";="(-1.81)";="(-2.16)";="(2.17)";="(-2.23)";="(-1.82)";="(-2.11)";="(2.13)";="(-2.18)";="(-1.83)";="(-2.20)";="(2.20)";="(-2.28)";="(-1.82)"
="GGSB_NPGDP";="-0.0129";="0.00463";="-0.00323";="-0.000863";="-0.0149";="0.00535";="-0.00376";="-0.000992";="-0.0167";="0.00601";="-0.00423";="-0.00111";="-0.0148";="0.00534";="-0.00374";="-0.000990"
="";="(-0.41)";="(0.42)";="(-0.41)";="(-0.44)";="(-0.48)";="(0.49)";="(-0.47)";="(-0.51)";="(-0.54)";="(0.55)";="(-0.53)";="(-0.59)";="(-0.49)";="(0.50)";="(-0.48)";="(-0.52)"
="PCPIPCH";="-0.000286";="0.000103";="-0.0000718";="-0.0000192";="-0.000286";="0.000103";="-0.0000723";="-0.0000191";="-0.000271";="0.0000973";="-0.0000684";="-0.0000180";="-0.000284";="0.000102";="-0.0000717";="-0.0000190"
="";="(-0.53)";="(0.53)";="(-0.53)";="(-0.54)";="(-0.53)";="(0.53)";="(-0.53)";="(-0.53)";="(-0.50)";="(0.49)";="(-0.49)";="(-0.50)";="(-0.52)";="(0.52)";="(-0.52)";="(-0.53)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.0931";="0.0336";="-0.0235";="-0.00628";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(-0.44)";="(0.44)";="(-0.45)";="(-0.43)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="";="";="0";="0";="0";="0";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";=""
="DefaultLast2Years=1";="";="";="";="";="0.0324";="-0.0116";="0.00817";="0.00215";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(0.16)";="(-0.16)";="(0.16)";="(0.17)";="";="";="";="";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="";="";="";="";="0";="0";="0";="0";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";=""
="DefaultLast5Years=1";="";="";="";="";="";="";="";="";="0.129";="-0.0456";="0.0325";="0.00823";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(0.43)";="(-0.43)";="(0.43)";="(0.45)";="";="";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="";="";="";="";="";="";="0";="0";="0";="0"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="";="";="";="";="";="";="0.0966";="-0.0343";="0.0244";="0.00619"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(0.33)";="(-0.34)";="(0.33)";="(0.34)"

="cut1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.296";="";="";="";="0.371";="";="";="";="0.448";="";="";="";="0.426";="";="";=""
="";="(1.02)";="";="";="";="(1.27)";="";="";="";="(1.30)";="";="";="";="(1.25)";="";="";=""

="cut2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.551***";="";="";="";="1.629***";="";="";="";="1.708***";="";="";="";="1.685***";="";="";=""
="";="(4.29)";="";="";="";="(4.40)";="";="";="";="(4.52)";="";="";="";="(4.46)";="";="";=""

="cut3";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.091***";="";="";="";="2.172***";="";="";="";="2.253***";="";="";="";="2.227***";="";="";=""
="";="(4.88)";="";="";="";="(5.14)";="";="";="";="(5.76)";="";="";="";="(5.07)";="";="";=""

="cut4";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.207***";="";="";="";="2.288***";="";="";="";="2.370***";="";="";="";="2.343***";="";="";=""
="";="(4.98)";="";="";="";="(5.26)";="";="";="";="(6.03)";="";="";="";="(5.23)";="";="";=""

="cut5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.275***";="";="";="";="2.356***";="";="";="";="2.438***";="";="";="";="2.411***";="";="";=""
="";="(4.94)";="";="";="";="(5.23)";="";="";="";="(6.04)";="";="";="";="(5.21)";="";="";=""

="cut6";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.550***";="";="";="";="2.630***";="";="";="";="2.715***";="";="";="";="2.685***";="";="";=""
="";="(4.64)";="";="";="";="(5.09)";="";="";="";="(6.44)";="";="";="";="(4.98)";="";="";=""

="cut7";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.682***";="";="";="";="2.762***";="";="";="";="2.849***";="";="";="";="2.817***";="";="";=""
="";="(4.25)";="";="";="";="(4.66)";="";="";="";="(5.98)";="";="";="";="(4.61)";="";="";=""

="sigma2_u";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.464**";="";="";="";="0.485**";="";="";="";="0.502**";="";="";="";="0.484**";="";="";=""
="";="(2.04)";="";="";="";="(2.11)";="";="";="";="(2.11)";="";="";="";="(2.19)";="";="";=""

="Observations";="233";="233";="233";="233";="233";="233";="233";="233";="233";="233";="233";="233";="233";="233";="233";="233"
="Pseudo R-squared";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
