="";="foodw_mfbudgetbal";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:budgetbal_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="sigma2_u:_cons"
="budgetbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0000191";="-.00762";="-.0001753";="8.70e-08";="-.0111216";="0";="-.1023747";="";="";="";="";="";="";="-.2335063";="1.277864";="2.135236";="2.791301";=".4000643"
="t";=".0019137";="-.2535431";="-.0413303";=".0189452";="-1.426877";=".";="-.3902749";="";="";="";="";="";="";="-1.084363";="5.030187";="9.021071";="7.119199";="1.996503"
="p";=".9984731";=".7998485";=".9670326";=".9848848";=".1536155";=".";=".6963333";="";="";="";="";="";="";=".2782038";="4.90e-07";="0";="1.09e-12";=".0458792"
="budgetbal_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-7.49e-06";=".0029853";=".0000687";="-3.41e-08";=".0043572";="0";=".0401041";="";="";="";="";="";="";="";="";="";="";=""
="t";="-.0019137";=".2540833";=".0413245";="-.0189455";="1.454899";=".";=".3901257";="";="";="";="";="";="";="";="";="";="";=""
="p";=".9984731";=".7994312";=".9670372";=".9848846";=".1456971";=".";=".6964436";="";="";="";="";="";="";="";="";="";="";=""
="budgetbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="4.88e-06";="-.0019479";="-.0000448";="2.22e-08";="-.002843";="0";="-.0260206";="";="";="";="";="";="";="";="";="";="";=""
="t";=".0019139";="-.2571317";="-.0413133";=".0189459";="-1.439465";=".";="-.3916452";="";="";="";="";="";="";="";="";="";="";=""
="p";=".9984729";=".7970771";=".9670462";=".9848843";=".1500188";=".";=".6953204";="";="";="";="";="";="";="";="";="";="";=""
="budgetbal_ME2_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="2.08e-06";="-.0008279";="-.000019";="9.46e-09";="-.0012083";="0";="-.0112278";="";="";="";="";="";="";="";="";="";="";=""
