="";="foodw_mfnetdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdn_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="sigma2_u:_cons"
="netdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0011805";="-.0097015";="-.0003136";="-.0028807";="-.0109641";="0";="-.1040919";="";="";="";="";="";="";="-.2462851";="1.264093";="2.120946";="2.78042";=".3886341"
="t";="-.1110543";="-.3285925";="-.0735976";="-1.056464";="-1.409407";=".";="-.4018621";="";="";="";="";="";="";="-1.148221";="5.056057";="8.998379";="7.047371";="1.972454"
="p";=".9115733";=".7424637";=".9413306";=".2907564";=".1587149";=".";=".6877855";="";="";="";="";="";="";=".2508775";="4.28e-07";="0";="1.82e-12";=".0485578"
="netdebt_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0004618";=".0037955";=".0001227";=".001127";=".0042895";="0";=".0407188";="";="";="";="";="";="";="";="";="";="";=""
="t";=".1109975";=".3294067";=".0735812";="1.053313";="1.434979";=".";=".4017677";="";="";="";="";="";="";="";="";="";="";=""
="p";=".9116183";=".7418483";=".9413437";=".2921974";=".151293";=".";=".687855";="";="";="";="";="";="";="";="";="";="";=""
="netdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0003008";="-.002472";="-.0000799";="-.000734";="-.0027938";="0";="-.0263677";="";="";="";="";="";="";="";="";="";="";=""
="t";="-.1104232";="-.3342107";="-.073542";="-.9951931";="-1.421077";=".";="-.4032049";="";="";="";="";="";="";="";="";="";="";=""
="p";=".9120738";=".7382206";=".9413748";=".3196424";=".1552943";=".";=".6867975";="";="";="";="";="";="";="";="";="";="";=""
="netdebt_ME2_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0001283";="-.0010543";="-.0000341";="-.0003131";="-.0011915";="0";="-.011419";="";="";="";="";="";="";="";="";="";="";=""
="t";="-.1123849";="-.3173614";="-.0736894";="-1.144275";="-1.298621";=".";="-.3959251";="";="";="";="";="";="";="";="";="";="";=""
="p";=".9105182";=".7509694";=".9412575";=".2525097";=".194074";=".";=".6921603";="";="";="";="";="";="";="";="";="";="";=""
="netdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0002405";="-.017001";="-.0001233";="-.0027054";="-.0105896";="";="";="0";=".1264759";="";="";="";="";="-.126376";="1.378074";="2.23172";="2.885614";=".3669088"
="t";="-.0227437";="-.5481834";="-.029053";="-.9768172";="-1.332428";="";="";=".";=".4238053";="";="";="";="";="-.4940516";="4.682702";="7.835883";="6.737484";="1.865421"
="p";=".9818547";=".583566";=".9768223";=".3286596";=".1827197";="";="";=".";=".6717078";="";="";="";="";=".6212697";="2.83e-06";="4.66e-15";="1.61e-11";=".0621224"
="netdebt_ME0_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
