="";="fooup_smstructbal";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggsb_npgdp";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="cut5:_cons";="sigma2_u:_cons"
="structbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0053736";=".0020791";=".0039521";=".0273189";="-.0102279";="0";="-.118159";="";="";="";="";="";="";="-.0305832";="1.378894";="2.190727";="2.75617";="3.047911";=".5195915"
="t";=".6275889";=".0739505";=".8698576";=".6651921";="-.974978";=".";="-.5007835";="";="";="";="";="";="";="-.1095171";="5.114119";="6.028072";="6.320843";="6.216273";="2.753294"
="p";=".5302733";=".9410498";=".3843782";=".5059276";=".3295712";=".";=".6165235";="";="";="";="";="";="";=".9127924";="3.15e-07";="1.66e-09";="2.60e-10";="5.09e-10";=".0058999"
="structbal_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0020783";="-.0008041";="-.0015285";="-.0105659";=".0039558";="0";=".0457375";="";="";="";="";="";="";="";="";="";="";="";=""
="t";="-.6318741";="-.0739785";="-.8725345";="-.6746356";=".9962029";=".";=".5019903";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".5274692";=".9410275";=".3829168";=".4999073";=".3191516";=".";=".6156744";="";="";="";="";="";="";="";="";="";="";="";=""
="structbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0014372";=".0005561";=".001057";=".0073068";="-.0027356";="0";="-.0314063";="";="";="";="";="";="";="";="";="";="";="";=""
="t";=".6253036";=".0739603";=".8998737";=".6608243";="-.9625032";=".";="-.4941119";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".5317718";=".941042";=".3681875";=".508725";=".3357969";=".";=".6212271";="";="";="";="";="";="";="";="";="";="";="";=""
="structbal_ME2_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0005063";=".0001959";=".0003724";=".002574";="-.0009637";="0";="-.0112915";="";="";="";="";="";="";="";="";="";="";="";=""
="t";=".6270803";=".0739038";=".772324";=".7165389";="-1.039748";=".";="-.5210337";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".5306066";=".9410869";=".4399226";=".4736586";=".298457";=".";=".6023433";="";="";="";="";="";="";="";="";="";="";="";=""
="structbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".006089";="-.0044714";=".0041803";=".022653";="-.0102476";="";="";="0";=".0647672";="";="";="";="";=".0666381";="1.470312";="2.284607";="2.84761";="3.133605";=".4803479"
="t";=".7058364";="-.1531073";=".8672028";=".5502859";="-.9687356";="";="";=".";=".2521181";="";="";="";="";=".2166263";="5.006271";="5.724697";="6.217812";="6.276125";="2.665824"
="p";=".4802899";=".8783137";=".3858309";=".5821233";=".3326771";="";="";=".";=".8009498";="";="";="";="";=".8284996";="5.55e-07";="1.04e-08";="5.04e-10";="3.47e-10";=".00768"
="structbal_ME0_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0023588";=".0017321";="-.0016194";="-.0087753";=".0039697";="";="";="0";="-.0250757";="";="";="";="";="";="";="";="";="";=""
="t";="-.7125389";=".1530447";="-.8715963";="-.5556922";=".9884138";="";="";=".";="-.2524902";="";="";="";="";="";="";="";="";="";=""
="p";=".4761311";=".878363";=".3834287";=".5784213";=".32295";="";="";=".";=".8006622";="";="";="";="";="";="";="";="";="";=""
="structbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0016201";="-.0011897";=".0011122";=".0060272";="-.0027265";="";="";="0";=".0173613";="";="";="";="";="";="";="";="";="";=""
="t";=".7053143";="-.1532192";=".9026466";=".5466367";="-.9562764";="";="";=".";=".2526727";="";="";="";="";="";="";="";="";="";=""
="p";=".4806146";=".8782254";=".3667135";=".5846283";=".3389326";="";="";=".";=".8005211";="";="";="";="";="";="";="";="";="";=""
="structbal_ME2_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0005833";="-.0004284";=".0004005";=".0021702";="-.0009817";="";="";="0";=".0061109";="";="";="";="";="";="";="";="";="";=""
="t";=".7015366";="-.1526462";=".7666773";=".5863953";="-1.030059";="";="";=".";=".2472615";="";="";="";="";="";="";="";="";="";=""
="p";=".4829682";=".8786773";=".4432734";=".5576099";=".3029821";="";="";=".";=".8047058";="";="";="";="";="";="";="";="";="";=""
="structbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0063234";="-.0099014";=".0039906";=".0206465";="-.0102771";="";="";="";="";="0";=".1990406";="";="";=".1637093";="1.566466";="2.378738";="2.937619";="3.218577";=".4629347"
="t";=".7577632";="-.3273361";=".8944659";=".5121798";="-.9614063";="";="";="";="";=".";=".699935";="";="";=".4851002";="4.617974";="5.404139";="6.11937";="6.262741";="2.64631"
="p";=".4485928";=".7434137";=".3710727";=".6085252";=".3363479";="";="";="";="";=".";=".4839679";="";="";=".6276053";="3.88e-06";="6.51e-08";="9.39e-10";="3.78e-10";=".0081375"
="structbal_ME0_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0024458";=".0038297";="-.0015435";="-.0079858";=".003975";="";="";="";="";="0";="-.0764377";="";="";="";="";="";="";="";=""
="t";="-.765167";=".3272133";="-.8992781";="-.5164128";=".9808131";="";="";="";="";=".";="-.7104463";="";="";="";="";="";="";="";=""
="p";=".4441721";=".7435066";=".3685046";=".6055661";=".3266849";="";="";="";="";=".";=".4774274";="";="";="";="";="";="";="";=""
="structbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0016689";="-.0026133";=".0010532";=".0054492";="-.0027124";="";="";="";="";="0";=".054259";="";="";="";="";="";="";="";=""
="t";=".7535898";="-.327377";=".9294511";=".5096105";="-.9507201";="";="";="";="";=".";=".6875593";="";="";="";="";="";="";="";=""
="p";=".4510956";=".7433828";=".3526554";=".6103244";=".3417465";="";="";="";="";=".";=".4917304";="";="";="";="";="";="";="";=""
="structbal_ME2_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0006109";="-.0009566";=".0003855";=".0019947";="-.0009929";="";="";="";="";="0";=".0176967";="";="";="";="";="";="";="";=""
="t";=".7595087";="-.325469";=".7970695";=".5404388";="-1.020948";="";="";="";="";=".";=".706539";="";="";="";="";="";="";="";=""
="p";=".4475483";=".7448262";=".4254107";=".5888945";=".307279";="";="";="";="";=".";=".479853";="";="";="";="";="";="";="";=""
="structbal_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0059417";="-.0103162";=".0037661";=".0235765";="-.0096785";="";="";="";="";="";="";="0";=".2986688";=".2602831";="1.663189";="2.469475";="3.023153";="3.300222";=".4550642"
="t";=".7168291";="-.3608557";=".8487724";=".6002985";="-.8973481";="";="";="";="";="";="";=".";=".667388";=".57515";="3.688188";="4.493281";="5.396619";="5.720665";="2.549582"
="p";=".4734796";=".7182073";=".396008";=".5483073";=".3695332";="";="";="";="";="";="";=".";=".5045243";=".5651899";=".0002259";="7.01e-06";="6.79e-08";="1.06e-08";=".0107852"
="structbal_ME0_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0022973";=".0039886";="-.0014561";="-.0091155";=".003742";="";="";="";="";="";="";="0";="-.1131772";="";="";="";="";="";=""
="t";="-.7223543";=".3605618";="-.8522734";="-.6066164";=".91308";="";="";="";="";="";="";=".";="-.6893911";="";="";="";="";="";=""
="p";=".4700767";=".7184271";=".3940624";=".5441055";=".3612005";="";="";="";="";="";="";=".";=".4905772";="";="";="";="";="";=""
="structbal_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0015632";="-.0027141";=".0009908";=".0062026";="-.0025463";="";="";="";="";="";="";="0";=".0824621";="";="";="";="";="";=""
="t";=".7103186";="-.3607431";=".879735";=".5964487";="-.8860967";="";="";="";="";="";="";=".";=".6570638";="";="";="";="";="";=""
="p";=".4775066";=".7182915";=".3790029";=".5508755";=".3755654";="";="";="";="";="";="";=".";=".5111399";="";="";="";="";="";=""
="structbal_ME2_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0005745";="-.0009974";=".0003641";=".0022794";="-.0009357";="";="";="";="";="";="";="0";=".0246344";="";="";="";="";="";=""
="t";=".7231812";="-.358595";=".7625098";=".6378358";="-.9552282";="";="";="";="";="";="";=".";=".7235347";="";="";="";="";="";=""
="p";=".4695686";=".7198981";=".4457558";=".5235806";=".3394623";="";="";="";="";="";="";=".";=".4693515";="";="";="";="";="";=""
=""
