
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="budgetbalDefault1";="MERat0_budgetbal_Def1";="MERat1_budgetbal_Def1";="MERat2_budgetbal_Def1";="budgetbalDefault2";="MERat0_budgetbal_Def2";="MERat1_budgetbal_Def2";="MERat2_budgetbal_Def2";="budgetbalDefault5";="MERat0_budgetbal_Def5";="MERat1_budgetbal_Def5";="MERat2_budgetbal_Def5";="budgetbalDefault10";="MERat0_budgetbal_Def10";="MERat1_budgetbal_Def10";="MERat2_budgetbal_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.00347";="-0.00130";="0.00108";="0.000191";="0.00376";="-0.00141";="0.00118";="0.000206";="0.00233";="-0.000863";="0.000715";="0.000131";="0.00376";="-0.00140";="0.00117";="0.000207"
="";="(0.44)";="(-0.44)";="(0.43)";="(0.44)";="(0.46)";="(-0.46)";="(0.45)";="(0.47)";="(0.30)";="(-0.30)";="(0.29)";="(0.30)";="(0.50)";="(-0.50)";="(0.49)";="(0.50)"
="NGDP_RPCH";="-0.0188";="0.00703";="-0.00587";="-0.00103";="-0.0205";="0.00769";="-0.00642";="-0.00113";="-0.0125";="0.00464";="-0.00385";="-0.000702";="-0.0193";="0.00722";="-0.00602";="-0.00107"
="";="(-0.55)";="(0.55)";="(-0.53)";="(-0.58)";="(-0.59)";="(0.59)";="(-0.57)";="(-0.62)";="(-0.36)";="(0.36)";="(-0.35)";="(-0.37)";="(-0.55)";="(0.55)";="(-0.54)";="(-0.58)"
="ExtDebtPercGNI_Var";="0.00479";="-0.00179";="0.00150";="0.000264";="0.00479";="-0.00179";="0.00150";="0.000263";="0.00458";="-0.00170";="0.00141";="0.000257";="0.00485";="-0.00182";="0.00151";="0.000268"
="";="(1.05)";="(-1.06)";="(1.04)";="(0.92)";="(1.04)";="(-1.04)";="(1.02)";="(0.91)";="(1.01)";="(-1.02)";="(1.00)";="(0.90)";="(1.05)";="(-1.05)";="(1.03)";="(0.92)"
="BudgetBal_NGDP_Var";="0.000274";="-0.000103";="0.0000857";="0.0000151";="0.000278";="-0.000104";="0.0000870";="0.0000153";="0.000265";="-0.0000983";="0.0000815";="0.0000149";="0.000274";="-0.000103";="0.0000856";="0.0000152"
="";="(1.33)";="(-1.33)";="(1.38)";="(0.92)";="(1.32)";="(-1.32)";="(1.38)";="(0.91)";="(1.30)";="(-1.31)";="(1.37)";="(0.93)";="(1.32)";="(-1.32)";="(1.38)";="(0.92)"
="PCPIPCH";="-0.000868";="0.000325";="-0.000271";="-0.0000478";="-0.000873";="0.000327";="-0.000273";="-0.0000479";="-0.000897";="0.000333";="-0.000275";="-0.0000503";="-0.000880";="0.000329";="-0.000274";="-0.0000486"
="";="(-0.42)";="(0.42)";="(-0.42)";="(-0.43)";="(-0.43)";="(0.43)";="(-0.42)";="(-0.44)";="(-0.37)";="(0.37)";="(-0.37)";="(-0.38)";="(-0.40)";="(0.40)";="(-0.39)";="(-0.40)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.0786";="0.0295";="-0.0246";="-0.00432";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(-0.37)";="(0.37)";="(-0.38)";="(-0.35)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="";="";="0";="0";="0";="0";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";=""
="DefaultLast2Years=1";="";="";="";="";="-0.0202";="0.00757";="-0.00632";="-0.00111";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(-0.08)";="(0.08)";="(-0.08)";="(-0.08)";="";="";="";="";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="";="";="";="";="0";="0";="0";="0";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";=""
="DefaultLast5Years=1";="";="";="";="";="";="";="";="";="-0.341";="0.130";="-0.106";="-0.0213";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(-1.24)";="(1.27)";="(-1.31)";="(-0.93)";="";="";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="";="";="";="";="";="";="0";="0";="0";="0"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="";="";="";="";="";="";="-0.147";="0.0557";="-0.0456";="-0.00888"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(-0.33)";="(0.33)";="(-0.34)";="(-0.30)"

="cut1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.182";="";="";="";="0.205";="";="";="";="-0.00368";="";="";="";="0.0965";="";="";=""
="";="(0.79)";="";="";="";="(0.86)";="";="";="";="(-0.02)";="";="";="";="(0.26)";="";="";=""

="cut2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.833***";="";="";="";="1.857***";="";="";="";="1.645***";="";="";="";="1.743***";="";="";=""
="";="(4.97)";="";="";="";="(4.62)";="";="";="";="(4.38)";="";="";="";="(3.55)";="";="";=""

="cut3";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.767***";="";="";="";="2.792***";="";="";="";="2.574***";="";="";="";="2.675***";="";="";=""
="";="(4.43)";="";="";="";="(4.27)";="";="";="";="(4.01)";="";="";="";="(3.58)";="";="";=""

="cut4";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.878***";="";="";="";="2.904***";="";="";="";="2.684***";="";="";="";="2.787***";="";="";=""
="";="(4.27)";="";="";="";="(4.13)";="";="";="";="(3.89)";="";="";="";="(3.54)";="";="";=""

="cut5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
