="";="fooup_mfgrossdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdg_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="cut5:_cons";="cut6:_cons";="sigma2_u:_cons"
="grossdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0070904";="-.0121769";=".0055114";=".0036568";="-.0007262";="0";="-.0835229";="";="";="";="";="";="";=".2415268";="1.898228";="2.830274";="2.939501";="3.074736";="3.518173";="1.162841"
="t";=".7710913";="-.3459022";="1.215059";=".8513631";="-.5704254";=".";="-.3839111";="";="";="";="";="";="";=".9919811";="4.865645";="4.459656";="4.299344";="4.642225";="5.835887";="2.24389"
="p";=".4406528";=".7294162";=".2243437";=".3945677";=".5683892";=".";=".7010443";="";="";="";="";="";="";=".3212067";="1.14e-06";="8.21e-06";=".0000171";="3.45e-06";="5.35e-09";=".0248395"
="grossdebt_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.002678";=".0045991";="-.0020816";="-.0013811";=".0002743";="0";=".0315635";="";="";="";="";="";="";="";="";="";="";="";="";=""
="t";="-.7674311";=".3460153";="-1.224232";="-.8545706";=".5711295";=".";=".3856515";="";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".4428253";=".7293312";=".2208648";=".3927889";=".5679119";=".";=".6997548";="";="";="";="";="";="";="";="";="";="";="";="";=""
="grossdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0022407";="-.0038481";=".0017417";=".0011556";="-.0002295";="0";="-.0264277";="";="";="";="";="";="";="";="";="";="";="";="";=""
="t";=".752755";="-.3400542";="1.198645";=".8326574";="-.5605746";=".";="-.3895089";="";="";="";="";="";="";="";="";="";="";="";="";=""
