
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="netdebtDefault1";="MERat0_netdebt_Def1";="MERat1_netdebt_Def1";="MERat2_netdebt_Def1";="netdebtDefault2";="MERat0_netdebt_Def2";="MERat1_netdebt_Def2";="MERat2_netdebt_Def2";="netdebtDefault5";="MERat0_netdebt_Def5";="MERat1_netdebt_Def5";="MERat2_netdebt_Def5";="netdebtDefault10";="MERat0_netdebt_Def10";="MERat1_netdebt_Def10";="MERat2_netdebt_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.00406";="-0.00153";="0.00128";="0.000223";="0.00438";="-0.00165";="0.00139";="0.000240";="0.00285";="-0.00106";="0.000883";="0.000159";="0.00432";="-0.00163";="0.00136";="0.000238"
="";="(0.51)";="(-0.51)";="(0.50)";="(0.51)";="(0.54)";="(-0.54)";="(0.53)";="(0.53)";="(0.36)";="(-0.36)";="(0.36)";="(0.37)";="(0.57)";="(-0.57)";="(0.56)";="(0.56)"
="NGDP_RPCH";="-0.0174";="0.00659";="-0.00551";="-0.000959";="-0.0194";="0.00733";="-0.00614";="-0.00106";="-0.0108";="0.00403";="-0.00334";="-0.000603";="-0.0177";="0.00669";="-0.00559";="-0.000978"
="";="(-0.51)";="(0.51)";="(-0.49)";="(-0.54)";="(-0.56)";="(0.56)";="(-0.54)";="(-0.60)";="(-0.31)";="(0.31)";="(-0.30)";="(-0.32)";="(-0.50)";="(0.50)";="(-0.49)";="(-0.53)"
="ExtDebtPercGNI_Var";="0.00504";="-0.00191";="0.00159";="0.000278";="0.00506";="-0.00191";="0.00160";="0.000277";="0.00482";="-0.00180";="0.00149";="0.000269";="0.00511";="-0.00193";="0.00161";="0.000282"
="";="(1.09)";="(-1.10)";="(1.07)";="(0.94)";="(1.08)";="(-1.08)";="(1.06)";="(0.93)";="(1.05)";="(-1.05)";="(1.03)";="(0.92)";="(1.09)";="(-1.09)";="(1.07)";="(0.94)"
="GGXWDN_NGDP_Var";="-0.000289";="0.000109";="-0.0000914";="-0.0000159";="-0.000321";="0.000121";="-0.000102";="-0.0000176";="-0.000138";="0.0000515";="-0.0000428";="-0.00000772";="-0.000195";="0.0000736";="-0.0000615";="-0.0000108"
="";="(-0.04)";="(0.04)";="(-0.04)";="(-0.04)";="(-0.05)";="(0.05)";="(-0.05)";="(-0.05)";="(-0.02)";="(0.02)";="(-0.02)";="(-0.02)";="(-0.03)";="(0.03)";="(-0.03)";="(-0.03)"
="PCPIPCH";="-0.000805";="0.000304";="-0.000254";="-0.0000443";="-0.000808";="0.000305";="-0.000256";="-0.0000442";="-0.000829";="0.000309";="-0.000257";="-0.0000464";="-0.000815";="0.000307";="-0.000257";="-0.0000449"
="";="(-0.47)";="(0.47)";="(-0.47)";="(-0.48)";="(-0.48)";="(0.48)";="(-0.47)";="(-0.49)";="(-0.42)";="(0.42)";="(-0.42)";="(-0.43)";="(-0.45)";="(0.45)";="(-0.44)";="(-0.45)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.0756";="0.0286";="-0.0239";="-0.00415";="";="";="";="";="";="";="";="";="";="";="";=""
