="";="fooup_mfstructbal";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggsb_npgdp";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="cut5:_cons";="sigma2_u:_cons"
="structbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0068337";="-.0172751";=".0081883";="-.0260084";="-.0009275";="0";="-.4935772";="";="";="";="";="";="";=".2856872";="1.674971";="2.631191";="2.771511";="3.227042";=".9874975"
="t";=".9466913";="-.4799858";="1.687582";="-.4908754";="-.2314527";=".";="-1.922579";="";="";="";="";="";="";=".9239392";="3.269675";="3.043685";="3.322827";="4.311453";="1.953948"
="p";=".3437961";=".6312375";=".0914915";=".6235146";=".8169631";=".";=".054533";="";="";="";="";="";="";=".355518";=".0010767";=".002337";=".0008911";=".0000162";=".0507074"
="structbal_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0022762";=".0057541";="-.0027274";=".008663";=".0003089";="0";=".1686029";="";="";="";="";="";="";="";="";="";="";="";=""
="t";="-.9528992";=".4885594";="-1.689274";=".5075061";=".2303498";=".";="1.948943";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".3406411";=".6251537";=".091167";=".6117997";=".81782";=".";=".0513022";="";="";="";="";="";="";="";="";="";="";="";=""
="structbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0017446";="-.0044102";=".0020904";="-.0066398";="-.0002368";="0";="-.132356";="";="";="";="";="";="";="";="";="";="";="";=""
="t";=".8914491";="-.4702896";="1.523786";="-.483597";="-.2290064";=".";="-1.85348";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".3726883";=".6381481";=".1275622";=".6286719";=".8188639";=".";=".0638135";="";="";="";="";="";="";="";="";="";="";="";=""
="structbal_ME2_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0004585";="-.0011591";=".0005494";="-.001745";="-.0000622";="0";="-.031732";="";="";="";="";="";="";="";="";="";="";="";=""
="t";=".9325627";="-.5121963";="1.367989";="-.553527";="-.231842";=".";="-1.277194";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".3510458";=".6085136";=".1713156";=".5799026";=".8166608";=".";=".2015338";="";="";="";="";="";="";="";="";="";="";="";=""
="structbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0071502";="-.0193606";=".0079157";="-.0247088";="-.0009628";="";="";="0";="-.4037831";="";="";="";="";=".2931523";="1.682003";="2.641634";="2.782978";="3.241352";="1.015825"
="t";=".9761198";="-.5168512";="1.545159";="-.457719";="-.2266971";="";="";=".";="-1.42729";="";="";="";="";=".9016628";="3.047739";="2.921708";="3.186268";="4.122113";="1.844802"
="p";=".3290051";=".60526";=".1223079";=".6471544";=".8206593";="";="";=".";=".1534963";="";="";="";="";=".367236";=".0023057";=".0034812";=".0014412";=".0000375";=".0650664"
="structbal_ME0_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0024097";=".0065246";="-.0026676";=".008327";=".0003245";="";="";="0";=".1401574";="";="";="";="";="";="";="";="";="";=""
="t";="-.9744828";=".5241402";="-1.537918";=".471119";=".2256636";="";="";=".";="1.425055";="";="";="";="";="";="";="";="";="";=""
="p";=".3298169";=".600181";=".1240686";=".6375558";=".8214631";="";="";=".";=".1541413";="";="";="";="";="";="";="";="";="";=""
="structbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0018602";="-.0050367";=".0020593";="-.0064281";="-.0002505";="";="";="0";="-.1093362";="";="";="";="";="";="";="";="";="";=""
="t";=".9059767";="-.5012592";="1.398042";="-.4492865";="-.2244936";="";="";=".";="-1.463534";="";="";="";="";="";="";="";="";="";=""
="p";=".3649482";=".6161887";=".1621003";=".653225";=".8223733";="";="";=".";=".1433212";="";="";="";="";="";="";="";="";="";=""
="structbal_ME2_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0004768";="-.001291";=".0005278";="-.0016477";="-.0000642";="";="";="0";="-.0269997";="";="";="";="";="";="";="";="";="";=""
="t";=".9455598";="-.5543863";="1.282383";="-.5179652";="-.226764";="";="";=".";="-.9984546";="";="";="";="";="";="";="";="";="";=""
="p";=".3443732";=".5793145";=".1997083";=".6044826";=".8206073";="";="";=".";=".318059";="";="";="";="";="";="";="";="";="";=""
="structbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0046001";="-.0078083";=".0081626";="-.0157857";="-.0012592";="";="";="";="";="0";="-.7567832";="";="";=".0272829";="1.445697";="2.407825";="2.548682";="3.007901";="1.027893"
="t";=".6807142";="-.2060118";="1.617864";="-.2812413";="-.1598968";="";="";="";="";=".";="-2.90956";="";="";=".08111";="2.749249";="2.678007";="2.93643";="3.862821";="1.809631"
="p";=".4960524";=".8367817";=".105692";=".7785253";=".8729624";="";="";="";="";=".";=".0036194";="";="";=".9353545";=".0059732";=".0074062";=".0033201";=".0001121";=".070353"
="structbal_ME0_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0014791";=".0025106";="-.0026245";=".0050755";=".0004049";="";="";="";="";="0";=".2689436";="";="";="";="";="";="";="";=""
="t";="-.686011";=".2073767";="-1.615236";=".2864287";=".1592055";="";="";="";="";=".";="3.073847";="";="";="";="";="";="";="";=""
="p";=".4927062";=".8357157";=".1062595";=".7745498";=".873507";="";="";="";="";=".";=".0021132";="";="";="";="";="";="";="";=""
="structbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0011317";="-.001921";=".0020082";="-.0038836";="-.0003098";="";="";="";="";="0";="-.2041789";="";="";="";="";="";="";="";=""
="t";=".6531265";="-.204161";="1.458637";="-.279719";="-.1582909";="";="";="";="";=".";="-2.618519";="";="";="";="";="";="";="";=""
="p";=".5136747";=".8382277";=".1446652";=".7796931";=".8742275";="";="";="";="";=".";=".0088312";="";="";="";="";="";="";="";=""
="structbal_ME2_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0002963";="-.0005029";=".0005257";="-.0010167";="-.0000811";="";="";="";="";="0";="-.0560691";="";="";="";="";="";="";="";=""
="t";=".6823739";="-.2121452";="1.351157";="-.2996245";="-.161133";="";="";="";="";=".";="-1.598549";="";="";="";="";="";="";="";=""
="p";=".4950025";=".8319937";=".1766452";=".7644636";=".8719887";="";="";="";="";=".";=".1099208";="";="";="";="";="";="";="";=""
="structbal_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0084733";="-.0261727";=".0083537";="-.0272638";="-.000754";="";="";="";="";="";="";="0";="-.2012878";=".3528472";="1.733831";="2.692534";="2.835872";="3.297212";="1.058102"
="t";="1.251611";="-.676115";="1.654501";="-.5137552";="-.3560165";="";="";="";="";="";="";=".";="-.4198927";=".7578662";="2.526704";="2.544423";="2.762399";="3.511087";="1.616836"
="p";=".2107115";=".4989676";=".0980258";=".6074231";=".7218282";="";="";="";="";="";="";=".";=".6745639";=".4485311";=".0115139";=".0109459";=".0057378";=".0004463";=".1059137"
="structbal_ME0_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.002895";=".0089422";="-.0028541";=".0093149";=".0002576";="";="";="";="";="";="";="0";=".0709399";="";="";="";="";="";=""
="t";="-1.241762";=".6843226";="-1.650908";=".5280561";=".3542342";="";="";="";="";="";="";=".";=".4110071";="";="";="";="";="";=""
="p";=".2143243";=".4937715";=".0987573";=".5974604";=".7231634";="";="";="";="";="";="";=".";=".6810673";="";="";="";="";="";=""
="structbal_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0022699";="-.0070113";=".0022378";="-.0073036";="-.000202";="";="";="";="";="";="";="0";="-.0543845";="";="";="";="";="";=""
="t";="1.14604";="-.6513931";="1.505614";="-.4983946";="-.3535314";="";="";="";="";="";="";=".";="-.4239825";="";="";="";="";="";=""
="p";=".2517784";=".5147927";=".1321664";=".6182059";=".7236901";="";="";="";="";="";="";=".";=".6715786";="";="";="";="";="";=""
="structbal_ME2_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0005476";="-.0016913";=".0005398";="-.0017618";="-.0000487";="";="";="";="";="";="";="0";="-.0144006";="";="";="";="";="";=""
="t";="1.116185";="-.7107895";="1.304523";="-.6064231";="-.3481601";="";="";="";="";="";="";=".";="-.3732189";="";="";="";="";="";=""
="p";=".2643428";=".4772147";=".1920555";=".5442339";=".72772";="";="";="";="";="";="";=".";=".7089855";="";="";="";="";="";=""
=""
