
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="structbalDefault1";="MERat0_structbal_Def1";="MERat1_structbal_Def1";="MERat2_structbal_Def1";="structbalDefault2";="MERat0_structbal_Def2";="MERat1_structbal_Def2";="MERat2_structbal_Def2";="structbalDefault5";="MERat0_structbal_Def5";="MERat1_structbal_Def5";="MERat2_structbal_Def5";="structbalDefault10";="MERat0_structbal_Def10";="MERat1_structbal_Def10";="MERat2_structbal_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.00683";="-0.00228";="0.00174";="0.000459";="0.00715";="-0.00241";="0.00186";="0.000477";="0.00460";="-0.00148";="0.00113";="0.000296";="0.00847";="-0.00289";="0.00227";="0.000548"
="";="(0.95)";="(-0.95)";="(0.89)";="(0.93)";="(0.98)";="(-0.97)";="(0.91)";="(0.95)";="(0.68)";="(-0.69)";="(0.65)";="(0.68)";="(1.25)";="(-1.24)";="(1.15)";="(1.12)"
="NGDP_RPCH";="-0.0173";="0.00575";="-0.00441";="-0.00116";="-0.0194";="0.00652";="-0.00504";="-0.00129";="-0.00781";="0.00251";="-0.00192";="-0.000503";="-0.0262";="0.00894";="-0.00701";="-0.00169"
="";="(-0.48)";="(0.49)";="(-0.47)";="(-0.51)";="(-0.52)";="(0.52)";="(-0.50)";="(-0.55)";="(-0.21)";="(0.21)";="(-0.20)";="(-0.21)";="(-0.68)";="(0.68)";="(-0.65)";="(-0.71)"
="ExtDebtPercGNI_Var";="0.00819*";="-0.00273*";="0.00209";="0.000549";="0.00792";="-0.00267";="0.00206";="0.000528";="0.00816";="-0.00262";="0.00201";="0.000526";="0.00835*";="-0.00285*";="0.00224";="0.000540"
="";="(1.69)";="(-1.69)";="(1.52)";="(1.37)";="(1.55)";="(-1.54)";="(1.40)";="(1.28)";="(1.62)";="(-1.62)";="(1.46)";="(1.35)";="(1.65)";="(-1.65)";="(1.51)";="(1.30)"
="GGSB_NPGDP";="-0.0260";="0.00866";="-0.00664";="-0.00175";="-0.0247";="0.00833";="-0.00643";="-0.00165";="-0.0158";="0.00508";="-0.00388";="-0.00102";="-0.0273";="0.00931";="-0.00730";="-0.00176"
="";="(-0.49)";="(0.51)";="(-0.48)";="(-0.55)";="(-0.46)";="(0.47)";="(-0.45)";="(-0.52)";="(-0.28)";="(0.29)";="(-0.28)";="(-0.30)";="(-0.51)";="(0.53)";="(-0.50)";="(-0.61)"
="PCPIPCH";="-0.000928";="0.000309";="-0.000237";="-0.0000622";="-0.000963";="0.000324";="-0.000250";="-0.0000642";="-0.00126";="0.000405";="-0.000310";="-0.0000811";="-0.000754";="0.000258";="-0.000202";="-0.0000487"
="";="(-0.23)";="(0.23)";="(-0.23)";="(-0.23)";="(-0.23)";="(0.23)";="(-0.22)";="(-0.23)";="(-0.16)";="(0.16)";="(-0.16)";="(-0.16)";="(-0.36)";="(0.35)";="(-0.35)";="(-0.35)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.494*";="0.169*";="-0.132*";="-0.0317";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(-1.92)";="(1.95)";="(-1.85)";="(-1.28)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="";="";="0";="0";="0";="0";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";=""
="DefaultLast2Years=1";="";="";="";="";="-0.404";="0.140";="-0.109";="-0.0270";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(-1.43)";="(1.43)";="(-1.46)";="(-1.00)";="";="";="";="";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="";="";="";="";="0";="0";="0";="0";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";=""
="DefaultLast5Years=1";="";="";="";="";="";="";="";="";="-0.757***";="0.269***";="-0.204***";="-0.0561";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(-2.91)";="(3.07)";="(-2.62)";="(-1.60)";="";="";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="";="";="";="";="";="";="0";="0";="0";="0"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="";="";="";="";="";="";="-0.201";="0.0709";="-0.0544";="-0.0144"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(-0.42)";="(0.41)";="(-0.42)";="(-0.37)"

="cut1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.286";="";="";="";="0.293";="";="";="";="0.0273";="";="";="";="0.353";="";="";=""
="";="(0.92)";="";="";="";="(0.90)";="";="";="";="(0.08)";="";="";="";="(0.76)";="";="";=""

="cut2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.675***";="";="";="";="1.682***";="";="";="";="1.446***";="";="";="";="1.734**";="";="";=""
="";="(3.27)";="";="";="";="(3.05)";="";="";="";="(2.75)";="";="";="";="(2.53)";="";="";=""

="cut3";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.631***";="";="";="";="2.642***";="";="";="";="2.408***";="";="";="";="2.693**";="";="";=""
="";="(3.04)";="";="";="";="(2.92)";="";="";="";="(2.68)";="";="";="";="(2.54)";="";="";=""

="cut4";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.772***";="";="";="";="2.783***";="";="";="";="2.549***";="";="";="";="2.836***";="";="";=""
="";="(3.32)";="";="";="";="(3.19)";="";="";="";="(2.94)";="";="";="";="(2.76)";="";="";=""

="cut5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="3.227***";="";="";="";="3.241***";="";="";="";="3.008***";="";="";="";="3.297***";="";="";=""
="";="(4.31)";="";="";="";="(4.12)";="";="";="";="(3.86)";="";="";="";="(3.51)";="";="";=""

="sigma2_u";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.987*";="";="";="";="1.016*";="";="";="";="1.028*";="";="";="";="1.058";="";="";=""
="";="(1.95)";="";="";="";="(1.84)";="";="";="";="(1.81)";="";="";="";="(1.62)";="";="";=""

="Observations";="170";="170";="170";="170";="170";="170";="170";="170";="170";="170";="170";="170";="170";="170";="170";="170"
="Pseudo R-squared";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
