
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="budgetbalDefault1";="MERat0_budgetbal_Def1";="MERat1_budgetbal_Def1";="MERat2_budgetbal_Def1";="budgetbalDefault2";="MERat0_budgetbal_Def2";="MERat1_budgetbal_Def2";="MERat2_budgetbal_Def2";="budgetbalDefault5";="MERat0_budgetbal_Def5";="MERat1_budgetbal_Def5";="MERat2_budgetbal_Def5";="budgetbalDefault10";="MERat0_budgetbal_Def10";="MERat1_budgetbal_Def10";="MERat2_budgetbal_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00126";="0.000358";="-0.000337";="-0.0000160";="-0.00129";="0.000364";="-0.000342";="-0.0000170";="-0.000837";="0.000235";="-0.000221";="-0.0000111";="0.000444";="-0.000126";="0.000117";="0.00000629"
="";="(-0.16)";="(0.16)";="(-0.16)";="(-0.15)";="(-0.16)";="(0.16)";="(-0.16)";="(-0.16)";="(-0.11)";="(0.11)";="(-0.11)";="(-0.11)";="(0.06)";="(-0.06)";="(0.06)";="(0.06)"
="NGDP_RPCH";="-0.00253";="0.000720";="-0.000679";="-0.0000323";="-0.00246";="0.000695";="-0.000653";="-0.0000325";="-0.00267";="0.000749";="-0.000703";="-0.0000355";="-0.00457";="0.00129";="-0.00121";="-0.0000647"
="";="(-0.27)";="(0.27)";="(-0.27)";="(-0.27)";="(-0.27)";="(0.26)";="(-0.26)";="(-0.27)";="(-0.29)";="(0.29)";="(-0.29)";="(-0.29)";="(-0.53)";="(0.52)";="(-0.52)";="(-0.51)"
="ExtDebtPercGNI_Var";="0.00185";="-0.000525";="0.000495";="0.0000235";="0.00147";="-0.000414";="0.000389";="0.0000194";="0.00122";="-0.000342";="0.000321";="0.0000162";="0.00157";="-0.000444";="0.000415";="0.0000222"
="";="(0.46)";="(-0.46)";="(0.46)";="(0.46)";="(0.37)";="(-0.37)";="(0.37)";="(0.37)";="(0.31)";="(-0.30)";="(0.30)";="(0.31)";="(0.39)";="(-0.39)";="(0.38)";="(0.40)"
="BudgetBal_NGDP_Var";="-0.0000675**";="0.0000192**";="-0.0000181**";="-0.000000860";="-0.0000661**";="0.0000186**";="-0.0000175**";="-0.000000873";="-0.0000872***";="0.0000245**";="-0.0000230**";="-0.00000116";="-0.0000750***";="0.0000212**";="-0.0000198**";="-0.00000106"
="";="(-2.50)";="(2.28)";="(-2.27)";="(-1.23)";="(-2.40)";="(2.20)";="(-2.19)";="(-1.25)";="(-2.61)";="(2.47)";="(-2.48)";="(-1.21)";="(-2.85)";="(2.54)";="(-2.49)";="(-1.29)"
="PCPIPCH";="-0.000623";="0.000177";="-0.000167";="-0.00000793";="-0.000634";="0.000179";="-0.000168";="-0.00000837";="-0.000629";="0.000177";="-0.000166";="-0.00000838";="-0.000617";="0.000175";="-0.000163";="-0.00000874"
="";="(-1.45)";="(1.40)";="(-1.40)";="(-0.99)";="(-1.48)";="(1.43)";="(-1.43)";="(-1.02)";="(-1.47)";="(1.42)";="(-1.41)";="(-1.02)";="(-1.34)";="(1.30)";="(-1.29)";="(-0.97)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.290";="0.0853";="-0.0804";="-0.00390";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(-0.91)";="(0.88)";="(-0.88)";="(-0.75)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="";="";="0";="0";="0";="0";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";=""
="DefaultLast2Years=1";="";="";="";="";="-0.430";="0.130";="-0.122";="-0.00643";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(-1.32)";="(1.25)";="(-1.24)";="(-0.91)";="";="";="";="";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="";="";="";="";="0";="0";="0";="0";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";=""
="DefaultLast5Years=1";="";="";="";="";="";="";="";="";="-0.537";="0.171";="-0.158";="-0.00965";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(-1.49)";="(1.35)";="(-1.37)";="(-0.84)";="";="";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="";="";="";="";="";="";="0";="0";="0";="0"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="";="";="";="";="";="";="-0.797";="0.278";="-0.248";="-0.0222"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(-1.48)";="(1.32)";="(-1.46)";="(-0.68)"

="cut1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.609**";="";="";="";="0.496";="";="";="";="0.371";="";="";="";="0.0521";="";="";=""
="";="(2.05)";="";="";="";="(1.61)";="";="";="";="(1.03)";="";="";="";="(0.10)";="";="";=""

="cut2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.362***";="";="";="";="2.253***";="";="";="";="2.131***";="";="";="";="1.810***";="";="";=""
="";="(6.67)";="";="";="";="(6.47)";="";="";="";="(5.13)";="";="";="";="(2.88)";="";="";=""

="cut3";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.924***";="";="";="";="2.816***";="";="";="";="2.697***";="";="";="";="2.386***";="";="";=""
="";="(6.60)";="";="";="";="(6.78)";="";="";="";="(5.56)";="";="";="";="(3.51)";="";="";=""

="cut4";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="3.956***";="";="";="";="3.841***";="";="";="";="3.725***";="";="";="";="3.417***";="";="";=""
="";="(3.90)";="";="";="";="(3.95)";="";="";="";="(3.66)";="";="";="";="(3.08)";="";="";=""

