
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="grossdebtDefault1";="MERat0_grossdebt_Def1";="MERat1_grossdebt_Def1";="MERat2_grossdebt_Def1";="grossdebtDefault2";="MERat0_grossdebt_Def2";="MERat1_grossdebt_Def2";="MERat2_grossdebt_Def2";="grossdebtDefault5";="MERat0_grossdebt_Def5";="MERat1_grossdebt_Def5";="MERat2_grossdebt_Def5";="grossdebtDefault10";="MERat0_grossdebt_Def10";="MERat1_grossdebt_Def10";="MERat2_grossdebt_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.000766";="0.000219";="-0.000206";="-0.00000995";="-0.000807";="0.000229";="-0.000215";="-0.0000109";="-0.000226";="0.0000641";="-0.0000602";="-0.00000305";="0.000992";="-0.000282";="0.000263";="0.0000144"
="";="(-0.10)";="(0.10)";="(-0.10)";="(-0.09)";="(-0.10)";="(0.10)";="(-0.10)";="(-0.10)";="(-0.03)";="(0.03)";="(-0.03)";="(-0.03)";="(0.14)";="(-0.14)";="(0.14)";="(0.14)"
="NGDP_RPCH";="-0.00165";="0.000471";="-0.000444";="-0.0000214";="-0.00161";="0.000458";="-0.000430";="-0.0000217";="-0.00200";="0.000567";="-0.000532";="-0.0000270";="-0.00355";="0.00101";="-0.000941";="-0.0000514"
="";="(-0.16)";="(0.16)";="(-0.16)";="(-0.16)";="(-0.15)";="(0.15)";="(-0.15)";="(-0.15)";="(-0.19)";="(0.19)";="(-0.19)";="(-0.20)";="(-0.35)";="(0.35)";="(-0.35)";="(-0.35)"
="ExtDebtPercGNI_Var";="0.00172";="-0.000493";="0.000464";="0.0000224";="0.00135";="-0.000382";="0.000359";="0.0000181";="0.00114";="-0.000323";="0.000303";="0.0000153";="0.00146";="-0.000415";="0.000387";="0.0000211"
="";="(0.44)";="(-0.43)";="(0.43)";="(0.43)";="(0.34)";="(-0.34)";="(0.34)";="(0.35)";="(0.29)";="(-0.29)";="(0.28)";="(0.29)";="(0.37)";="(-0.36)";="(0.36)";="(0.37)"
="GGXWDG_NGDP_Var";="0.000400";="-0.000114";="0.000108";="0.00000519";="0.000389";="-0.000110";="0.000104";="0.00000523";="0.000419";="-0.000119";="0.000111";="0.00000564";="0.000463";="-0.000132";="0.000123";="0.00000671"
="";="(0.59)";="(-0.58)";="(0.58)";="(0.52)";="(0.58)";="(-0.57)";="(0.57)";="(0.51)";="(0.62)";="(-0.61)";="(0.62)";="(0.53)";="(0.66)";="(-0.65)";="(0.65)";="(0.56)"
