
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="netdebtDefault1";="MERat0_netdebt_Def1";="MERat1_netdebt_Def1";="MERat2_netdebt_Def1";="netdebtDefault2";="MERat0_netdebt_Def2";="MERat1_netdebt_Def2";="MERat2_netdebt_Def2";="netdebtDefault5";="MERat0_netdebt_Def5";="MERat1_netdebt_Def5";="MERat2_netdebt_Def5";="netdebtDefault10";="MERat0_netdebt_Def10";="MERat1_netdebt_Def10";="MERat2_netdebt_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.00194";="-0.000554";="0.000523";="0.0000248";="0.00177";="-0.000502";="0.000472";="0.0000234";="0.00222";="-0.000629";="0.000591";="0.0000293";="0.00383";="-0.00109";="0.00102";="0.0000543"
="";="(0.24)";="(-0.24)";="(0.24)";="(0.24)";="(0.22)";="(-0.22)";="(0.22)";="(0.22)";="(0.28)";="(-0.28)";="(0.28)";="(0.28)";="(0.52)";="(-0.52)";="(0.52)";="(0.49)"
="NGDP_RPCH";="-0.0106";="0.00302";="-0.00285";="-0.000135";="-0.0102";="0.00290";="-0.00272";="-0.000135";="-0.0104";="0.00295";="-0.00277";="-0.000137";="-0.0131";="0.00372";="-0.00348";="-0.000186"
="";="(-1.04)";="(1.01)";="(-1.01)";="(-0.78)";="(-0.99)";="(0.95)";="(-0.96)";="(-0.78)";="(-1.01)";="(0.98)";="(-0.99)";="(-0.80)";="(-1.30)";="(1.26)";="(-1.27)";="(-0.92)"
="ExtDebtPercGNI_Var";="0.00161";="-0.000459";="0.000433";="0.0000205";="0.00124";="-0.000352";="0.000331";="0.0000164";="0.00105";="-0.000298";="0.000281";="0.0000139";="0.00131";="-0.000372";="0.000348";="0.0000186"
="";="(0.39)";="(-0.39)";="(0.39)";="(0.39)";="(0.31)";="(-0.31)";="(0.30)";="(0.31)";="(0.26)";="(-0.26)";="(0.26)";="(0.26)";="(0.32)";="(-0.31)";="(0.31)";="(0.32)"
="GGXWDN_NGDP_Var";="0.00675*";="-0.00193*";="0.00182*";="0.0000860";="0.00649*";="-0.00184*";="0.00173*";="0.0000857";="0.00622*";="-0.00176*";="0.00166*";="0.0000819";="0.00712*";="-0.00202*";="0.00189*";="0.000101"
="";="(1.78)";="(-1.70)";="(1.76)";="(0.91)";="(1.76)";="(-1.67)";="(1.73)";="(0.93)";="(1.76)";="(-1.69)";="(1.74)";="(0.94)";="(1.84)";="(-1.78)";="(1.84)";="(0.95)"
="PCPIPCH";="-0.000644";="0.000184";="-0.000173";="-0.00000821";="-0.000655";="0.000186";="-0.000175";="-0.00000865";="-0.000653";="0.000185";="-0.000174";="-0.00000861";="-0.000644";="0.000183";="-0.000171";="-0.00000912"
="";="(-1.45)";="(1.40)";="(-1.40)";="(-0.99)";="(-1.47)";="(1.43)";="(-1.43)";="(-1.01)";="(-1.47)";="(1.42)";="(-1.42)";="(-1.01)";="(-1.33)";="(1.29)";="(-1.28)";="(-0.96)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.293";="0.0864";="-0.0814";="-0.00396";="";="";="";="";="";="";="";="";="";="";="";=""
