="";="fooup_sfstructbal";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggsb_npgdp";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="sigma2_u:_cons"
="structbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.004264";="-.0314919";="-.003871";=".0023739";="-.0009883";="0";="-.326953";="";="";="";="";="";="";=".4335556";="1.807826";="2.443929";="2.693462";=".5432006"
="t";="-.3822341";="-.8932587";="-.6402408";=".076067";="-.9570856";=".";="-.8698535";="";="";="";="";="";="";="1.196986";="4.746122";="5.382954";="6.268236";="1.279414"
="p";=".7022877";=".3717186";=".5220161";=".9393658";=".3385241";=".";=".3843805";="";="";="";="";="";="";=".231312";="2.07e-06";="7.33e-08";="3.65e-10";=".2007514"
="structbal_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0012399";=".0091575";=".0011256";="-.0006903";=".0002874";="0";=".0967255";="";="";="";="";="";="";="";="";="";="";=""
="t";=".3846298";=".8874371";=".6418977";="-.0758531";=".9444639";=".";=".8541291";="";="";="";="";="";="";="";="";="";="";=""
="p";=".7005117";=".3748436";=".5209396";=".939536";=".3449326";=".";=".3930335";="";="";="";="";="";="";="";="";="";="";=""
="structbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0010534";="-.0077799";="-.0009563";=".0005865";="-.0002442";="0";="-.0824646";="";="";="";="";="";="";="";="";="";="";=""
="t";="-.3843525";="-.9021798";="-.6541324";=".075935";="-.9378731";=".";="-.8358729";="";="";="";="";="";="";="";="";="";="";=""
="p";=".7007172";=".3669614";=".5130265";=".9394708";=".3483096";=".";=".4032264";="";="";="";="";="";="";="";="";="";="";=""
="structbal_ME2_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0001439";="-.0010629";="-.0001307";=".0000801";="-.0000334";="0";="-.0110747";="";="";="";="";="";="";="";="";="";="";=""
="t";="-.3627914";="-.7515402";="-.5626349";=".0749067";="-.8376429";=".";="-.7463888";="";="";="";="";="";="";="";="";="";="";=""
="p";=".7167607";=".4523276";=".5736835";=".9402889";=".4022313";=".";=".4554326";="";="";="";="";="";="";="";="";="";="";=""
="structbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0047286";="-.0278504";="-.0047286";=".0072966";="-.0010765";="";="";="0";="-.5085013";="";="";="";="";=".3032694";="1.683137";="2.315403";="2.559267";=".4958931"
="t";="-.4291128";="-.7993651";="-.8294812";=".2338437";="-.7690815";="";="";=".";="-1.417491";="";="";="";="";=".8446236";="4.622938";="5.357533";="6.295024";="1.2616"
="p";=".6678412";=".4240787";=".4068322";=".8151063";=".4418449";="";="";=".";=".1563394";="";="";="";="";=".398321";="3.78e-06";="8.44e-08";="3.07e-10";=".2070927"
="structbal_ME0_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0013591";=".0080048";=".0013591";="-.0020972";=".0003094";="";="";="0";=".1538962";="";="";="";="";="";="";="";="";=""
="t";=".4324883";=".7933283";=".8323093";="-.2320779";=".7623681";="";="";=".";="1.373398";="";="";="";="";="";="";="";="";=""
="p";=".6653866";=".4275866";=".4052344";=".8164775";=".4458404";="";="";=".";=".1696287";="";="";="";="";="";="";="";="";=""
="structbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0011454";="-.0067459";="-.0011453";=".0017674";="-.0002608";="";="";="0";="-.1298742";="";="";="";="";="";="";="";="";=""
="t";="-.4326392";="-.8035091";="-.8528141";=".2329201";="-.7580086";="";="";=".";="-1.317425";="";="";="";="";="";="";="";="";=""
="p";=".6652769";=".4216805";=".3937624";=".8158234";=".4484458";="";="";=".";=".1876963";="";="";="";="";="";="";="";="";=""
="structbal_ME2_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0001624";="-.0009563";="-.0001624";=".0002505";="-.000037";="";="";="0";="-.0184095";="";="";="";="";="";="";="";="";=""
="t";="-.4018925";="-.6989178";="-.694327";=".2223892";="-.6997687";="";="";=".";="-1.042468";="";="";="";="";="";="";="";="";=""
="p";=".6877631";=".4846034";=".4874772";=".8240109";=".4840718";="";="";=".";=".2971949";="";="";="";="";="";="";="";="";=""
="structbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0053789";="-.0204713";="-.0041976";=".0173416";="-.0011538";="";="";="";="";="0";="-.6551266";="";="";=".1302848";="1.522166";="2.159957";="2.40194";=".4458709"
="t";="-.5047717";="-.574498";="-.7227761";=".5271983";="-.6546973";="";="";="";="";=".";="-1.869852";="";="";=".3402775";="3.867387";="4.655263";="5.42394";="1.247121"
="p";=".6137192";=".5656309";=".4698175";=".5980559";=".5126626";="";="";="";="";=".";=".0615043";="";="";=".7336475";=".00011";="3.24e-06";="5.83e-08";=".212353"
="structbal_ME0_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0015224";=".005794";=".001188";="-.0049082";=".0003266";="";="";="";="";="0";=".2098056";="";="";="";="";="";="";=""
="t";=".5075527";=".5739249";=".7230082";="-.5201017";=".6492688";="";="";="";="";=".";="1.720753";="";="";="";="";="";="";=""
="p";=".6117671";=".5660186";=".4696749";=".6029927";=".5161646";="";="";="";="";=".";=".0852957";="";="";="";="";="";="";=""
="structbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0012823";="-.0048802";="-.0010007";=".0041341";="-.0002751";="";="";="";="";="0";="-.1727807";="";="";="";="";="";="";=""
="t";="-.5084005";="-.5751623";="-.7390358";=".5228021";="-.6467908";="";="";="";="";=".";="-1.723886";="";="";="";="";="";="";=""
="p";=".6111725";=".5651815";=".4598852";=".601112";=".5177674";="";="";="";="";=".";=".0847284";="";="";="";="";="";="";=""
="structbal_ME2_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0001813";="-.0006901";="-.0001415";=".0005846";="-.0000389";="";="";="";="";="0";="-.0279215";="";="";="";="";="";="";=""
="t";="-.4640523";="-.5397567";="-.6254678";=".4698096";="-.6045864";="";="";="";="";=".";="-1.090237";="";="";="";="";="";="";=""
="p";=".6426102";=".5893648";=".5316641";=".6384911";=".5454538";="";="";="";="";=".";=".2756088";="";="";="";="";="";="";=""
="structbal_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0031024";="-.0322302";="-.0041706";=".0010899";="-.0010692";="";="";="";="";="";="";="0";="-.7034576";="-.0048534";="1.384102";="2.048909";="2.299649";=".4027256"
="t";="-.3028804";="-.9153583";="-.7069745";=".0360453";="-.6786795";="";="";="";="";="";="";=".";="-1.557175";="-.0107672";="2.646674";="3.435694";="3.988381";="1.256558"
="p";=".761981";=".3600036";=".4795823";=".9712463";=".497341";="";="";="";="";="";="";=".";=".1194289";=".9914092";=".0081288";=".000591";=".0000665";=".2089136"
="structbal_ME0_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0008878";=".0092233";=".0011935";="-.0003119";=".000306";="";="";="";="";="";="";="0";=".240839";="";="";="";="";=""
="t";=".3039";=".9171833";=".7162444";="-.0360107";=".6724341";="";="";="";="";="";="";=".";="1.411494";="";="";="";="";=""
="p";=".7612041";=".3590466";=".4738404";=".9712738";=".5013074";="";="";="";="";="";="";=".";=".1580989";="";="";="";="";=""
="structbal_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0007493";="-.007784";="-.0010072";=".0002632";="-.0002582";="";="";="";="";="";="";="0";="-.1900244";="";="";="";="";=""
="t";="-.303898";="-.9138773";="-.7329634";=".0360219";="-.671145";="";="";="";="";="";="";=".";="-1.619974";="";="";="";="";=""
="p";=".7612056";=".3607813";=".4635808";=".9712649";=".5021281";="";="";="";="";="";="";=".";=".1052379";="";="";="";="";=""
="structbal_ME2_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0001065";="-.0011065";="-.0001432";=".0000374";="-.0000367";="";="";="";="";="";="";="0";="-.0380829";="";="";="";="";=""
="t";="-.2920597";="-.8211702";="-.6199724";=".0358767";="-.6267334";="";="";="";="";="";="";=".";="-.8410081";="";="";="";="";=""
="p";=".770241";=".4115493";=".535276";=".9713807";=".530834";="";="";="";="";="";="";=".";=".4003434";="";="";="";="";=""
=""
