
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="structbalDefault1";="MERat0_structbal_Def1";="MERat1_structbal_Def1";="MERat2_structbal_Def1";="structbalDefault2";="MERat0_structbal_Def2";="MERat1_structbal_Def2";="MERat2_structbal_Def2";="structbalDefault5";="MERat0_structbal_Def5";="MERat1_structbal_Def5";="MERat2_structbal_Def5";="structbalDefault10";="MERat0_structbal_Def10";="MERat1_structbal_Def10";="MERat2_structbal_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00426";="0.00124";="-0.00105";="-0.000144";="-0.00473";="0.00136";="-0.00115";="-0.000162";="-0.00538";="0.00152";="-0.00128";="-0.000181";="-0.00310";="0.000888";="-0.000749";="-0.000107"
="";="(-0.38)";="(0.38)";="(-0.38)";="(-0.36)";="(-0.43)";="(0.43)";="(-0.43)";="(-0.40)";="(-0.50)";="(0.51)";="(-0.51)";="(-0.46)";="(-0.30)";="(0.30)";="(-0.30)";="(-0.29)"
="NGDP_RPCH";="-0.0315";="0.00916";="-0.00778";="-0.00106";="-0.0279";="0.00800";="-0.00675";="-0.000956";="-0.0205";="0.00579";="-0.00488";="-0.000690";="-0.0322";="0.00922";="-0.00778";="-0.00111"
="";="(-0.89)";="(0.89)";="(-0.90)";="(-0.75)";="(-0.80)";="(0.79)";="(-0.80)";="(-0.70)";="(-0.57)";="(0.57)";="(-0.58)";="(-0.54)";="(-0.92)";="(0.92)";="(-0.91)";="(-0.82)"
="ExtDebtPercGNI_Var";="-0.00387";="0.00113";="-0.000956";="-0.000131";="-0.00473";="0.00136";="-0.00115";="-0.000162";="-0.00420";="0.00119";="-0.00100";="-0.000141";="-0.00417";="0.00119";="-0.00101";="-0.000143"
="";="(-0.64)";="(0.64)";="(-0.65)";="(-0.56)";="(-0.83)";="(0.83)";="(-0.85)";="(-0.69)";="(-0.72)";="(0.72)";="(-0.74)";="(-0.63)";="(-0.71)";="(0.72)";="(-0.73)";="(-0.62)"
="GGSB_NPGDP";="0.00237";="-0.000690";="0.000586";="0.0000801";="0.00730";="-0.00210";="0.00177";="0.000251";="0.0173";="-0.00491";="0.00413";="0.000585";="0.00109";="-0.000312";="0.000263";="0.0000374"
="";="(0.08)";="(-0.08)";="(0.08)";="(0.07)";="(0.23)";="(-0.23)";="(0.23)";="(0.22)";="(0.53)";="(-0.52)";="(0.52)";="(0.47)";="(0.04)";="(-0.04)";="(0.04)";="(0.04)"
="PCPIPCH";="-0.000988";="0.000287";="-0.000244";="-0.0000334";="-0.00108";="0.000309";="-0.000261";="-0.0000370";="-0.00115";="0.000327";="-0.000275";="-0.0000389";="-0.00107";="0.000306";="-0.000258";="-0.0000367"
="";="(-0.96)";="(0.94)";="(-0.94)";="(-0.84)";="(-0.77)";="(0.76)";="(-0.76)";="(-0.70)";="(-0.65)";="(0.65)";="(-0.65)";="(-0.60)";="(-0.68)";="(0.67)";="(-0.67)";="(-0.63)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.327";="0.0967";="-0.0825";="-0.0111";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(-0.87)";="(0.85)";="(-0.84)";="(-0.75)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="";="";="0";="0";="0";="0";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";=""
="DefaultLast2Years=1";="";="";="";="";="-0.509";="0.154";="-0.130";="-0.0184";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(-1.42)";="(1.37)";="(-1.32)";="(-1.04)";="";="";="";="";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="";="";="";="";="0";="0";="0";="0";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";=""
="DefaultLast5Years=1";="";="";="";="";="";="";="";="";="-0.655*";="0.210*";="-0.173*";="-0.0279";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(-1.87)";="(1.72)";="(-1.72)";="(-1.09)";="";="";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="";="";="";="";="";="";="0";="0";="0";="0"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="";="";="";="";="";="";="-0.703";="0.241";="-0.190";="-0.0381"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(-1.56)";="(1.41)";="(-1.62)";="(-0.84)"

="cut1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.434";="";="";="";="0.303";="";="";="";="0.130";="";="";="";="-0.00485";="";="";=""
="";="(1.20)";="";="";="";="(0.84)";="";="";="";="(0.34)";="";="";="";="(-0.01)";="";="";=""

="cut2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.808***";="";="";="";="1.683***";="";="";="";="1.522***";="";="";="";="1.384***";="";="";=""
="";="(4.75)";="";="";="";="(4.62)";="";="";="";="(3.87)";="";="";="";="(2.65)";="";="";=""

="cut3";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.444***";="";="";="";="2.315***";="";="";="";="2.160***";="";="";="";="2.049***";="";="";=""
="";="(5.38)";="";="";="";="(5.36)";="";="";="";="(4.66)";="";="";="";="(3.44)";="";="";=""

="cut4";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.693***";="";="";="";="2.559***";="";="";="";="2.402***";="";="";="";="2.300***";="";="";=""
="";="(6.27)";="";="";="";="(6.30)";="";="";="";="(5.42)";="";="";="";="(3.99)";="";="";=""

="sigma2_u";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.543";="";="";="";="0.496";="";="";="";="0.446";="";="";="";="0.403";="";="";=""
="";="(1.28)";="";="";="";="(1.26)";="";="";="";="(1.25)";="";="";="";="(1.26)";="";="";=""

="Observations";="212";="212";="212";="212";="212";="212";="212";="212";="212";="212";="212";="212";="212";="212";="212";="212"
="Pseudo R-squared";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
