="";="fooup_smbudgetbal";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:budgetbal_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="cut5:_cons";="sigma2_u:_cons"
="budgetbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0015064";=".0017136";=".0033274";="4.48e-06";="-.0111003";="0";=".1329547";="";="";="";="";="";="";=".2812198";="1.687721";="2.507032";="3.221135";="3.494014";=".6239833"
="t";=".1783322";=".0620007";=".9332171";=".6264013";="-1.11557";=".";=".7025845";="";="";="";="";="";="";="1.288682";="6.355356";="7.552117";="8.807285";="8.256469";="2.971562"
="p";=".8584621";=".9505623";=".3507079";=".5310518";=".2646063";=".";=".4823147";="";="";="";="";="";="";=".1975087";="2.08e-10";="4.29e-14";="0";="2.22e-16";=".0029629"
="budgetbal_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0005686";="-.0006468";="-.0012559";="-1.69e-06";=".0041897";="0";="-.0500682";="";="";="";="";="";="";="";="";="";="";="";=""
="t";="-.1785487";="-.0620227";="-.9383812";="-.6285012";="1.128053";=".";="-.7019164";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".8582921";=".9505447";=".3480485";=".5296757";=".2592975";=".";=".4827313";="";="";="";="";="";="";="";="";="";="";="";=""
="budgetbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0004234";=".0004817";=".0009353";="1.26e-06";="-.0031202";="0";=".0375538";="";="";="";="";="";="";="";="";="";="";="";=""
="t";=".1788155";=".061889";=".9386652";=".6280696";="-1.114297";=".";=".7147724";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".8580826";=".9506512";=".3479027";=".5299583";=".2651518";=".";=".4747497";="";="";="";="";="";="";="";="";="";="";="";=""
="budgetbal_ME2_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0001185";=".0001347";=".0002617";="3.52e-07";="-.0008729";="0";=".010247";="";="";="";="";="";="";="";="";="";="";="";=""
="t";=".1767862";=".0624544";=".8749419";=".6124982";="-1.091237";=".";=".638824";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".8596763";=".950201";=".3816055";=".5402082";=".2751687";=".";=".5229375";="";="";="";="";="";="";="";="";="";="";="";=""
="budgetbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0014714";=".0017497";=".0035041";="2.85e-06";="-.0110178";="";="";="0";=".1323509";="";="";="";="";=".2959813";="1.703096";="2.521868";="3.234795";="3.507094";=".6344434"
="t";=".172718";=".061477";=".964194";=".4101432";="-1.110896";="";="";=".";=".6758124";="";="";="";="";="1.30068";="6.448975";="7.447532";="8.895012";="8.460162";="2.993584"
="p";=".8628731";=".9509793";=".3349487";=".6817009";=".2666132";="";="";=".";=".4991598";="";="";="";="";=".193368";="1.13e-10";="9.50e-14";="0";="0";=".0027572"
="budgetbal_ME0_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.000555";="-.00066";="-.0013218";="-1.08e-06";=".0041563";="";="";="0";="-.0496194";="";="";="";="";="";="";="";="";="";=""
="t";="-.1729397";="-.0614945";="-.9704537";="-.4098314";="1.123409";="";="";=".";="-.6797586";="";="";="";="";="";="";="";="";="";=""
="p";=".8626988";=".9509654";=".3318204";=".6819296";=".2612638";="";="";=".";=".4966573";="";="";="";="";="";="";="";="";="";=""
="budgetbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".000414";=".0004923";=".0009859";="8.02e-07";="-.0031";="";="";="0";=".0374855";="";="";="";="";="";="";="";="";="";=""
="t";=".1732155";=".0613597";=".9736507";=".4097411";="-1.109732";="";="";=".";=".6888724";="";="";="";="";="";="";="";="";="";=""
="p";=".862482";=".9510727";=".33023";=".6819959";=".2671147";="";="";=".";=".4909036";="";="";="";="";="";="";="";="";="";=""
="budgetbal_ME2_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0001152";=".0001369";=".0002743";="2.23e-07";="-.0008624";="";="";="0";=".0099606";="";="";="";="";="";="";="";="";="";=""
="t";=".1712362";=".0619319";=".8935623";=".4046122";="-1.087945";="";="";=".";=".624292";="";="";="";="";="";="";="";="";="";=""
="p";=".8640381";=".9506171";=".3715561";=".6857626";=".2766196";="";="";=".";=".5324358";="";="";="";="";="";="";="";="";="";=""
="budgetbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0013052";=".0005311";=".0032311";="3.22e-06";="-.0111167";="";="";="";="";="0";=".1526936";="";="";=".3207098";="1.727273";="2.544194";="3.255826";="3.527218";=".6334187"
="t";=".1548706";=".0181234";=".9133107";=".4908343";="-1.11092";="";="";="";="";=".";=".6773147";="";="";="1.311667";="6.069162";="7.179771";="8.747132";="8.516901";="3.004588"
="p";=".8769234";=".9855404";=".3610792";=".6235437";=".2666027";="";="";="";="";=".";=".4982063";="";="";=".1896327";="1.29e-09";="6.98e-13";="0";="0";=".0026594"
="budgetbal_ME0_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0004928";="-.0002005";="-.0012199";="-1.22e-06";=".0041971";="";="";="";="";="0";="-.0568713";="";="";="";="";="";="";="";=""
="t";="-.1550338";="-.0181248";="-.9186916";="-.4905162";="1.123513";="";="";="";="";=".";="-.6878269";="";="";="";="";="";="";="";=""
="p";=".8767947";=".9855393";=".3582569";=".6237687";=".2612196";="";="";="";="";=".";=".4915618";="";="";="";="";="";="";="";=""
="budgetbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".000367";=".0001493";=".0009084";="9.06e-07";="-.0031255";="";="";="";="";="0";=".0433382";="";="";="";="";="";="";="";=""
="t";=".1552158";=".0181132";=".9180625";=".489915";="-1.111164";="";="";="";="";=".";=".6837539";="";="";="";="";="";="";="";=""
="p";=".8766512";=".9855486";=".3585861";=".6241941";=".2664978";="";="";="";="";=".";=".4941306";="";="";="";="";="";="";="";=""
="budgetbal_ME2_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0001026";=".0000417";=".0002539";="2.53e-07";="-.0008735";="";="";="";="";="0";=".0111361";="";="";="";="";="";="";="";=""
="t";=".1537978";=".0181631";=".8620079";=".4836524";="-1.085263";="";="";="";="";=".";=".6642834";="";="";="";="";="";="";="";=""
="p";=".8777691";=".9855087";=".3886832";=".6286326";=".2778054";="";="";="";="";=".";=".5065089";="";="";="";="";="";="";="";=""
="budgetbal_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0012031";="-.0002961";=".003212";="3.19e-06";="-.0104951";="";="";="";="";="";="";="0";=".2517477";=".4228918";="1.830236";="2.643989";="3.351229";="3.619249";=".6303665"
="t";=".1428816";="-.0103975";=".9054626";=".4828864";="-1.048378";="";="";="";="";="";="";=".";=".6451236";="1.131155";="4.650234";="5.562813";="7.132089";="7.499191";="3.030748"
="p";=".8863837";=".9917042";=".3652204";=".6291764";=".2944643";="";="";="";="";="";="";=".";=".5188471";=".25799";="3.32e-06";="2.65e-08";="9.89e-13";="6.42e-14";=".0024395"
="budgetbal_ME0_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0004541";=".0001118";="-.0012124";="-1.20e-06";=".0039614";="";="";="";="";="";="";="0";="-.0920048";="";="";="";="";="";=""
="t";="-.1430058";=".0103969";="-.9110464";="-.4792096";="1.059182";="";="";="";="";="";="";=".";="-.669709";="";="";="";="";="";=""
="p";=".8862856";=".9917047";=".3622709";=".6317895";=".289517";="";="";="";="";="";="";=".";=".5030433";="";="";="";="";="";=""
="budgetbal_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0003379";="-.0000832";=".000902";="8.96e-07";="-.0029472";="";="";="";="";="";="";="0";=".0715792";="";="";="";="";="";=""
="t";=".1431231";="-.0104008";=".9101661";=".4818608";="-1.045074";="";="";="";="";="";="";=".";=".6538527";="";="";="";="";="";=""
="p";=".886193";=".9917015";=".3627349";=".6299049";=".2959888";="";="";="";="";="";="";=".";=".5132067";="";="";="";="";="";=""
="budgetbal_ME2_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
