
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="budgetbalDefault1";="MERat0_budgetbal_Def1";="MERat1_budgetbal_Def1";="MERat2_budgetbal_Def1";="budgetbalDefault2";="MERat0_budgetbal_Def2";="MERat1_budgetbal_Def2";="MERat2_budgetbal_Def2";="budgetbalDefault5";="MERat0_budgetbal_Def5";="MERat1_budgetbal_Def5";="MERat2_budgetbal_Def5";="budgetbalDefault10";="MERat0_budgetbal_Def10";="MERat1_budgetbal_Def10";="MERat2_budgetbal_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.00151";="-0.000569";="0.000423";="0.000118";="0.00147";="-0.000555";="0.000414";="0.000115";="0.00131";="-0.000493";="0.000367";="0.000103";="0.00120";="-0.000454";="0.000338";="0.0000946"
="";="(0.18)";="(-0.18)";="(0.18)";="(0.18)";="(0.17)";="(-0.17)";="(0.17)";="(0.17)";="(0.15)";="(-0.16)";="(0.16)";="(0.15)";="(0.14)";="(-0.14)";="(0.14)";="(0.14)"
="NGDP_RPCH";="0.00171";="-0.000647";="0.000482";="0.000135";="0.00175";="-0.000660";="0.000492";="0.000137";="0.000531";="-0.000201";="0.000149";="0.0000417";="-0.000296";="0.000112";="-0.0000832";="-0.0000233"
="";="(0.06)";="(-0.06)";="(0.06)";="(0.06)";="(0.06)";="(-0.06)";="(0.06)";="(0.06)";="(0.02)";="(-0.02)";="(0.02)";="(0.02)";="(-0.01)";="(0.01)";="(-0.01)";="(-0.01)"
="ExtDebtPercGNI_Var";="0.00333";="-0.00126";="0.000935";="0.000262";="0.00350";="-0.00132";="0.000986";="0.000274";="0.00323";="-0.00122";="0.000908";="0.000254";="0.00321";="-0.00121";="0.000902";="0.000252"
="";="(0.93)";="(-0.94)";="(0.94)";="(0.87)";="(0.96)";="(-0.97)";="(0.97)";="(0.89)";="(0.91)";="(-0.92)";="(0.92)";="(0.86)";="(0.91)";="(-0.91)";="(0.91)";="(0.86)"
="BudgetBal_NGDP_Var";="0.00000448";="-0.00000169";="0.00000126";="0.000000352";="0.00000285";="-0.00000108";="0.000000802";="0.000000223";="0.00000322";="-0.00000122";="0.000000906";="0.000000253";="0.00000319";="-0.00000120";="0.000000896";="0.000000251"
="";="(0.63)";="(-0.63)";="(0.63)";="(0.61)";="(0.41)";="(-0.41)";="(0.41)";="(0.40)";="(0.49)";="(-0.49)";="(0.49)";="(0.48)";="(0.48)";="(-0.48)";="(0.48)";="(0.47)"
="PCPIPCH";="-0.0111";="0.00419";="-0.00312";="-0.000873";="-0.0110";="0.00416";="-0.00310";="-0.000862";="-0.0111";="0.00420";="-0.00313";="-0.000874";="-0.0105";="0.00396";="-0.00295";="-0.000825"
="";="(-1.12)";="(1.13)";="(-1.11)";="(-1.09)";="(-1.11)";="(1.12)";="(-1.11)";="(-1.09)";="(-1.11)";="(1.12)";="(-1.11)";="(-1.09)";="(-1.05)";="(1.06)";="(-1.05)";="(-1.04)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="0.133";="-0.0501";="0.0376";="0.0102";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(0.70)";="(-0.70)";="(0.71)";="(0.64)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="";="";="0";="0";="0";="0";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";=""
="DefaultLast2Years=1";="";="";="";="";="0.132";="-0.0496";="0.0375";="0.00996";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(0.68)";="(-0.68)";="(0.69)";="(0.62)";="";="";="";="";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="";="";="";="";="0";="0";="0";="0";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";=""
="DefaultLast5Years=1";="";="";="";="";="";="";="";="";="0.153";="-0.0569";="0.0433";="0.0111";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(0.68)";="(-0.69)";="(0.68)";="(0.66)";="";="";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="";="";="";="";="";="";="0";="0";="0";="0"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="";="";="";="";="";="";="0.252";="-0.0920";="0.0716";="0.0169"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(0.65)";="(-0.67)";="(0.65)";="(0.68)"

="cut1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.281";="";="";="";="0.296";="";="";="";="0.321";="";="";="";="0.423";="";="";=""
="";="(1.29)";="";="";="";="(1.30)";="";="";="";="(1.31)";="";="";="";="(1.13)";="";="";=""

="cut2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.688***";="";="";="";="1.703***";="";="";="";="1.727***";="";="";="";="1.830***";="";="";=""
="";="(6.36)";="";="";="";="(6.45)";="";="";="";="(6.07)";="";="";="";="(4.65)";="";="";=""

="cut3";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.507***";="";="";="";="2.522***";="";="";="";="2.544***";="";="";="";="2.644***";="";="";=""
="";="(7.55)";="";="";="";="(7.45)";="";="";="";="(7.18)";="";="";="";="(5.56)";="";="";=""

="cut4";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="3.221***";="";="";="";="3.235***";="";="";="";="3.256***";="";="";="";="3.351***";="";="";=""
="";="(8.81)";="";="";="";="(8.90)";="";="";="";="(8.75)";="";="";="";="(7.13)";="";="";=""

="cut5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="3.494***";="";="";="";="3.507***";="";="";="";="3.527***";="";="";="";="3.619***";="";="";=""
