
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="grossdebtDefault1";="MERat0_grossdebt_Def1";="MERat1_grossdebt_Def1";="MERat2_grossdebt_Def1";="grossdebtDefault2";="MERat0_grossdebt_Def2";="MERat1_grossdebt_Def2";="MERat2_grossdebt_Def2";="grossdebtDefault5";="MERat0_grossdebt_Def5";="MERat1_grossdebt_Def5";="MERat2_grossdebt_Def5";="grossdebtDefault10";="MERat0_grossdebt_Def10";="MERat1_grossdebt_Def10";="MERat2_grossdebt_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00133";="0.000502";="-0.000373";="-0.000105";="-0.00132";="0.000497";="-0.000370";="-0.000104";="-0.00141";="0.000531";="-0.000395";="-0.000111";="-0.00145";="0.000549";="-0.000408";="-0.000115"
="";="(-0.14)";="(0.14)";="(-0.14)";="(-0.14)";="(-0.13)";="(0.13)";="(-0.13)";="(-0.14)";="(-0.14)";="(0.14)";="(-0.14)";="(-0.14)";="(-0.15)";="(0.15)";="(-0.15)";="(-0.15)"
="NGDP_RPCH";="-0.00660";="0.00249";="-0.00185";="-0.000521";="-0.00633";="0.00238";="-0.00177";="-0.000497";="-0.00672";="0.00253";="-0.00188";="-0.000529";="-0.00738";="0.00278";="-0.00207";="-0.000581"
="";="(-0.23)";="(0.23)";="(-0.23)";="(-0.22)";="(-0.21)";="(0.21)";="(-0.21)";="(-0.21)";="(-0.22)";="(0.22)";="(-0.22)";="(-0.22)";="(-0.25)";="(0.25)";="(-0.25)";="(-0.24)"
="ExtDebtPercGNI_Var";="0.00347";="-0.00131";="0.000971";="0.000274";="0.00362";="-0.00136";="0.00101";="0.000284";="0.00336";="-0.00127";="0.000943";="0.000265";="0.00335";="-0.00126";="0.000938";="0.000264"
="";="(0.97)";="(-0.98)";="(0.98)";="(0.91)";="(1.00)";="(-1.01)";="(1.01)";="(0.92)";="(0.95)";="(-0.96)";="(0.96)";="(0.89)";="(0.95)";="(-0.95)";="(0.95)";="(0.89)"
="GGXWDG_NGDP_Var";="-0.00812";="0.00306";="-0.00227";="-0.000640";="-0.00787";="0.00297";="-0.00221";="-0.000619";="-0.00768";="0.00290";="-0.00215";="-0.000605";="-0.00765";="0.00289";="-0.00214";="-0.000603"
="";="(-0.74)";="(0.74)";="(-0.75)";="(-0.71)";="(-0.72)";="(0.72)";="(-0.73)";="(-0.70)";="(-0.69)";="(0.69)";="(-0.70)";="(-0.68)";="(-0.69)";="(0.69)";="(-0.70)";="(-0.67)"
