
="";="(1)";="(2)";="(3)";="(4)"
="";="budgetbalDefault1";="budgetbalDefault2";="budgetbalDefault5";="budgetbalDefault10"

="Diff_DW_MF";="";="";="";=""
="NGDPDPC_Var";="-0.00317";="-0.00244";="-0.00348";="-0.00424"
="";="(-0.49)";="(-0.37)";="(-0.51)";="(-0.62)"
="NGDP_RPCH";="0.0132";="0.00819";="0.00442";="0.0113"
="";="(0.59)";="(0.36)";="(0.19)";="(0.49)"
="ExtDebtPercGNI_Var";="-0.00316";="-0.00305";="-0.00381";="-0.00405"
="";="(-0.94)";="(-0.89)";="(-1.06)";="(-1.22)"
="BudgetBal_NGDP_Var";="0.0000117";="0.00000685";="0.0000110";="0.00000980"
="";="(0.78)";="(0.46)";="(0.74)";="(0.66)"
="PCPIPCH";="-0.00208";="-0.00186";="-0.00157";="-0.00130"
="";="(-0.38)";="(-0.35)";="(-0.37)";="(-0.57)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.386";="";="";=""
="";="(1.56)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.552**";="";=""
="";="";="(2.28)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.676***";=""
="";="";="";="(3.19)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="0.428"
="";="";="";="";="(1.52)"
="Const";="-0.955***";="-1.009***";="-1.087***";="-1.042***"
="";="(-4.57)";="(-4.81)";="(-5.21)";="(-4.52)"

="lnsig2u";="";="";="";=""
="Const";="0.0895";="0.00286";="-0.104";="0.00359"
="";="(0.26)";="(0.01)";="(-0.31)";="(0.01)"

="Observations";="851";="851";="851";="851"
="r2_mf";="0.0106";="0.0174";="0.0209";="0.00942"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
