
="";="(1)";="(2)";="(3)";="(4)"
="";="grossdebtDefault1";="grossdebtDefault2";="grossdebtDefault5";="grossdebtDefault10"

="Diff_DW_MF";="";="";="";=""
="NGDPDPC_Var";="-0.00621";="-0.00534";="-0.00619";="-0.00705"
="";="(-0.90)";="(-0.76)";="(-0.87)";="(-0.99)"
="NGDP_RPCH";="-0.00454";="-0.00844";="-0.0107";="-0.00442"
="";="(-0.19)";="(-0.35)";="(-0.42)";="(-0.18)"
="ExtDebtPercGNI_Var";="-0.00385";="-0.00371";="-0.00448";="-0.00463"
="";="(-1.06)";="(-1.00)";="(-1.16)";="(-1.30)"
="GGXWDG_NGDP_Var";="-0.0111";="-0.0104";="-0.00976";="-0.0103"
="";="(-1.64)";="(-1.54)";="(-1.44)";="(-1.56)"
="PCPIPCH";="-0.00277";="-0.00251";="-0.00210";="-0.00183"
="";="(-0.56)";="(-0.49)";="(-0.42)";="(-0.38)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.360";="";="";=""
="";="(1.45)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.530**";="";=""
="";="";="(2.13)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.643***";=""
="";="";="";="(2.96)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="0.372"
="";="";="";="";="(1.27)"
="Const";="-0.848***";="-0.908***";="-0.987***";="-0.926***"
="";="(-3.96)";="(-4.21)";="(-4.52)";="(-3.83)"

="lnsig2u";="";="";="";=""
="Const";="0.0843";="-0.00694";="-0.108";="0.0117"
="";="(0.25)";="(-0.02)";="(-0.32)";="(0.03)"

="Observations";="851";="851";="851";="851"
="r2_mf";="0.0156";="0.0220";="0.0249";="0.0139"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
