
="";="(1)";="(2)";="(3)";="(4)"
="";="netdebtDefault1";="netdebtDefault2";="netdebtDefault5";="netdebtDefault10"

="Diff_DW_MF";="";="";="";=""
="NGDPDPC_Var";="-0.00270";="-0.00199";="-0.00300";="-0.00378"
="";="(-0.42)";="(-0.30)";="(-0.44)";="(-0.56)"
="NGDP_RPCH";="0.0135";="0.00825";="0.00467";="0.0116"
="";="(0.61)";="(0.36)";="(0.20)";="(0.51)"
="ExtDebtPercGNI_Var";="-0.00319";="-0.00306";="-0.00382";="-0.00406"
="";="(-0.95)";="(-0.90)";="(-1.07)";="(-1.22)"
="GGXWDN_NGDP_Var";="0.0000153*";="0.0000146*";="0.0000158**";="0.0000151**"
="";="(1.92)";="(1.82)";="(2.07)";="(1.98)"
="PCPIPCH";="-0.00208";="-0.00187";="-0.00157";="-0.00132"
="";="(-0.38)";="(-0.35)";="(-0.37)";="(-0.55)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.374";="";="";=""
="";="(1.53)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.549**";="";=""
="";="";="(2.26)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.671***";=""
="";="";="";="(3.17)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="0.416"
="";="";="";="";="(1.47)"
="Const";="-0.955***";="-1.010***";="-1.088***";="-1.039***"
="";="(-4.55)";="(-4.79)";="(-5.19)";="(-4.48)"

="lnsig2u";="";="";="";=""
="Const";="0.112";="0.0219";="-0.0801";="0.0276"
="";="(0.33)";="(0.07)";="(-0.24)";="(0.08)"

="Observations";="851";="851";="851";="851"
="r2_mf";="0.0120";="0.0189";="0.0223";="0.0108"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
