
="";="(1)";="(2)";="(3)";="(4)"
="";="structbalDefault1";="structbalDefault2";="structbalDefault5";="structbalDefault10"

="Diff_DW_MF";="";="";="";=""
="NGDPDPC_Var";="-0.00224";="-0.00155";="-0.00185";="-0.00275"
="";="(-0.32)";="(-0.22)";="(-0.26)";="(-0.39)"
="NGDP_RPCH";="0.00803";="0.00467";="-0.00139";="0.00484"
="";="(0.34)";="(0.19)";="(-0.06)";="(0.20)"
="ExtDebtPercGNI_Var";="-0.00187";="-0.00154";="-0.00196";="-0.00248"
="";="(-0.56)";="(-0.46)";="(-0.58)";="(-0.74)"
="GGSB_NPGDP";="0.0237";="0.0197";="0.0195";="0.0242"
="";="(0.84)";="(0.70)";="(0.70)";="(0.86)"
="PCPIPCH";="-0.00284";="-0.00262";="-0.00236";="-0.00223"
="";="(-0.54)";="(-0.49)";="(-0.44)";="(-0.41)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.178";="";="";=""
="";="(0.68)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.360";="";=""
="";="";="(1.45)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.580**";=""
="";="";="";="(2.52)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="0.303"
="";="";="";="";="(0.94)"
="Const";="-0.888***";="-0.943***";="-1.022***";="-0.953***"
="";="(-3.53)";="(-3.80)";="(-4.12)";="(-3.50)"

="lnsig2u";="";="";="";=""
="Const";="0.275";="0.194";="0.0615";="0.179"
="";="(0.76)";="(0.54)";="(0.17)";="(0.48)"

="Observations";="776";="776";="776";="776"
="r2_mf";="0.00571";="0.00968";="0.0159";="0.00675"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
