
="";="(1)";="(2)";="(3)";="(4)"
="";="netdebtDefault1";="netdebtDefault2";="netdebtDefault5";="netdebtDefault10"

="Diff_DW_SF";="";="";="";=""
="NGDPDPC_Var";="-0.0124**";="-0.0125**";="-0.0124**";="-0.0128**"
="";="(-2.28)";="(-2.29)";="(-2.26)";="(-2.34)"
="NGDP_RPCH";="-0.0185";="-0.0183";="-0.0212";="-0.0172"
="";="(-0.79)";="(-0.78)";="(-0.89)";="(-0.72)"
="ExtDebtPercGNI_Var";="-0.00310";="-0.00308";="-0.00297";="-0.00335"
="";="(-1.35)";="(-1.34)";="(-1.27)";="(-1.47)"
="GGXWDN_NGDP_Var";="-0.00000599";="-0.00000604";="-0.00000571";="-0.00000602"
="";="(-0.69)";="(-0.69)";="(-0.68)";="(-0.69)"
="PCPIPCH";="-0.000107";="-0.0000971";="-0.000101";="-0.0000864"
="";="(-0.25)";="(-0.22)";="(-0.23)";="(-0.20)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.231";="";="";=""
="";="(1.06)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.193";="";=""
="";="";="(1.00)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.372**";=""
="";="";="";="(2.10)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="0.143"
="";="";="";="";="(0.71)"
="Const";="-0.859***";="-0.853***";="-0.937***";="-0.859***"
="";="(-5.35)";="(-5.37)";="(-5.92)";="(-5.09)"

="lnsig2u";="";="";="";=""
="Const";="-0.138";="-0.141";="-0.166";="-0.130"
="";="(-0.54)";="(-0.55)";="(-0.65)";="(-0.51)"

="Observations";="1194";="1194";="1194";="1194"
="r2_mf";="0.0165";="0.0159";="0.0197";="0.0150"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
