
="";="(1)";="(2)";="(3)";="(4)"
="";="grossdebtDefault1";="grossdebtDefault2";="grossdebtDefault5";="grossdebtDefault10"

="Diff_DW_SM";="";="";="";=""
="NGDPDPC_Var";="-0.00832";="-0.00844";="-0.00834";="-0.00817"
="";="(-1.35)";="(-1.37)";="(-1.34)";="(-1.32)"
="NGDP_RPCH";="0.0399*";="0.0400*";="0.0399*";="0.0394*"
="";="(1.77)";="(1.78)";="(1.77)";="(1.74)"
="ExtDebtPercGNI_Var";="0.00260";="0.00253";="0.00263";="0.00272"
="";="(0.83)";="(0.81)";="(0.83)";="(0.86)"
="GGXWDG_NGDP_Var";="0.0106***";="0.0105***";="0.0106***";="0.0107***"
="";="(3.00)";="(3.01)";="(2.97)";="(3.01)"
="PCPIPCH";="-0.000512";="-0.000519";="-0.000528";="-0.000528"
="";="(-0.69)";="(-0.69)";="(-0.69)";="(-0.70)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.124";="";="";=""
="";="(-0.60)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="-0.140";="";=""
="";="";="(-0.71)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.0664";=""
="";="";="";="(-0.37)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.00368"
="";="";="";="";="(-0.02)"
="Const";="-0.625***";="-0.613***";="-0.634***";="-0.660***"
="";="(-3.82)";="(-3.73)";="(-3.76)";="(-3.62)"

="lnsig2u";="";="";="";=""
="Const";="0.0964";="0.101";="0.0869";="0.0695"
="";="(0.39)";="(0.41)";="(0.35)";="(0.27)"

="Observations";="1165";="1165";="1165";="1165"
="r2_mf";="0.0168";="0.0169";="0.0164";="0.0163"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
