
="";="(1)";="(2)";="(3)";="(4)"
="";="structbalDefault1";="structbalDefault2";="structbalDefault5";="structbalDefault10"

="Diff_DW_SM";="";="";="";=""
="NGDPDPC_Var";="-0.0121*";="-0.0120*";="-0.0121*";="-0.0118*"
="";="(-1.96)";="(-1.94)";="(-1.94)";="(-1.90)"
="NGDP_RPCH";="0.0160";="0.0156";="0.0159";="0.0153"
="";="(0.68)";="(0.66)";="(0.67)";="(0.65)"
="ExtDebtPercGNI_Var";="-0.00149";="-0.00137";="-0.00133";="-0.00119"
="";="(-0.44)";="(-0.41)";="(-0.40)";="(-0.35)"
="GGSB_NPGDP";="-0.0371";="-0.0372";="-0.0367";="-0.0372"
="";="(-1.36)";="(-1.37)";="(-1.34)";="(-1.38)"
="PCPIPCH";="-0.000345";="-0.000359";="-0.000364";="-0.000354"
="";="(-0.56)";="(-0.58)";="(-0.59)";="(-0.59)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.236";="";="";=""
="";="(-0.90)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="-0.109";="";=""
="";="";="(-0.46)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.121";=""
="";="";="";="(-0.60)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.102"
="";="";="";="";="(-0.38)"
="Const";="-0.595***";="-0.621***";="-0.610***";="-0.609***"
="";="(-3.17)";="(-3.36)";="(-3.26)";="(-3.21)"

="lnsig2u";="";="";="";=""
="Const";="-0.0325";="-0.0559";="-0.0516";="-0.0550"
="";="(-0.11)";="(-0.18)";="(-0.17)";="(-0.18)"

="Observations";="976";="976";="976";="976"
="r2_mf";="0.0122";="0.0110";="0.0111";="0.0109"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
