
="";="(1)";="(2)";="(3)";="(4)"
="";="budgetbalDefault1";="budgetbalDefault2";="budgetbalDefault5";="budgetbalDefault10"

="Diff_UP_MF";="";="";="";=""
="NGDPDPC_Var";="0.00755";="0.00755";="0.00688";="0.00759"
="";="(1.01)";="(1.01)";="(0.93)";="(1.03)"
="NGDP_RPCH";="-0.0316";="-0.0317";="-0.0288";="-0.0314"
="";="(-1.50)";="(-1.50)";="(-1.36)";="(-1.50)"
="ExtDebtPercGNI_Var";="0.00620*";="0.00621*";="0.00603*";="0.00626*"
="";="(1.80)";="(1.79)";="(1.74)";="(1.81)"
="BudgetBal_NGDP_Var";="-0.0000483";="-0.0000477";="-0.0000516";="-0.0000473"
="";="(-1.10)";="(-1.06)";="(-1.14)";="(-1.04)"
="PCPIPCH";="-0.00286";="-0.00290";="-0.00284";="-0.00280"
="";="(-0.35)";="(-0.35)";="(-0.36)";="(-0.34)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.0608";="";="";=""
="";="(-0.21)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="-0.0470";="";=""
="";="";="(-0.18)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.253";=""
="";="";="";="(-0.94)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.0858"
="";="";="";="";="(-0.33)"
="Const";="-0.535***";="-0.536***";="-0.469**";="-0.513**"
="";="(-2.89)";="(-2.92)";="(-2.43)";="(-2.44)"

="lnsig2u";="";="";="";=""
="Const";="0.188";="0.187";="0.224";="0.201"
="";="(0.72)";="(0.72)";="(0.85)";="(0.75)"

="Observations";="903";="903";="903";="903"
="r2_mf";="0.00964";="0.00961";="0.0119";="0.00977"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
