
="";="(1)";="(2)";="(3)";="(4)"
="";="grossdebtDefault1";="grossdebtDefault2";="grossdebtDefault5";="grossdebtDefault10"

="Diff_UP_MF";="";="";="";=""
="NGDPDPC_Var";="0.00948";="0.00948";="0.00881";="0.00951"
="";="(1.21)";="(1.21)";="(1.14)";="(1.22)"
="NGDP_RPCH";="-0.0201";="-0.0203";="-0.0176";="-0.0198"
="";="(-0.91)";="(-0.91)";="(-0.78)";="(-0.89)"
="ExtDebtPercGNI_Var";="0.00636*";="0.00636*";="0.00618*";="0.00640*"
="";="(1.86)";="(1.86)";="(1.81)";="(1.87)"
="GGXWDG_NGDP_Var";="0.00644";="0.00642";="0.00633";="0.00644"
="";="(1.56)";="(1.56)";="(1.55)";="(1.56)"
="PCPIPCH";="-0.00242";="-0.00246";="-0.00238";="-0.00233"
="";="(-0.30)";="(-0.30)";="(-0.31)";="(-0.30)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.0536";="";="";=""
="";="(-0.18)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="-0.0383";="";=""
="";="";="(-0.14)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.239";=""
="";="";="";="(-0.90)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.0869"
="";="";="";="";="(-0.33)"
="Const";="-0.612***";="-0.613***";="-0.547***";="-0.588***"
="";="(-3.24)";="(-3.27)";="(-2.83)";="(-2.79)"

="lnsig2u";="";="";="";=""
="Const";="0.177";="0.176";="0.209";="0.191"
="";="(0.68)";="(0.68)";="(0.79)";="(0.71)"

="Observations";="903";="903";="903";="903"
="r2_mf";="0.0120";="0.0120";="0.0140";="0.0122"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
