
="";="(1)";="(2)";="(3)";="(4)"
="";="netdebtDefault1";="netdebtDefault2";="netdebtDefault5";="netdebtDefault10"

="Diff_UP_MF";="";="";="";=""
="NGDPDPC_Var";="0.00804";="0.00804";="0.00738";="0.00807"
="";="(1.08)";="(1.08)";="(1.01)";="(1.10)"
="NGDP_RPCH";="-0.0316";="-0.0317";="-0.0289";="-0.0313"
="";="(-1.50)";="(-1.49)";="(-1.36)";="(-1.49)"
="ExtDebtPercGNI_Var";="0.00628*";="0.00628*";="0.00611*";="0.00632*"
="";="(1.81)";="(1.81)";="(1.76)";="(1.83)"
="GGXWDN_NGDP_Var";="0.000868";="0.000864";="0.000857";="0.000861"
="";="(1.00)";="(0.99)";="(0.99)";="(0.98)"
="PCPIPCH";="-0.00299";="-0.00303";="-0.00297";="-0.00292"
="";="(-0.36)";="(-0.37)";="(-0.37)";="(-0.36)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.0550";="";="";=""
="";="(-0.19)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="-0.0447";="";=""
="";="";="(-0.17)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.247";=""
="";="";="";="(-0.91)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.0887"
="";="";="";="";="(-0.34)"
="Const";="-0.534***";="-0.534***";="-0.468**";="-0.509**"
="";="(-2.86)";="(-2.88)";="(-2.41)";="(-2.41)"

="lnsig2u";="";="";="";=""
="Const";="0.191";="0.190";="0.226";="0.205"
="";="(0.73)";="(0.73)";="(0.86)";="(0.76)"

="Observations";="903";="903";="903";="903"
="r2_mf";="0.0125";="0.0125";="0.0146";="0.0127"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
