
="";="(1)";="(2)";="(3)";="(4)"
="";="netdebtDefault1";="netdebtDefault2";="netdebtDefault5";="netdebtDefault10"

="Diff_UP_SF";="";="";="";=""
="NGDPDPC_Var";="-0.00467";="-0.00465";="-0.00467";="-0.00471"
="";="(-0.79)";="(-0.80)";="(-0.80)";="(-0.80)"
="NGDP_RPCH";="-0.00782";="-0.00780";="-0.00794";="-0.00831"
="";="(-0.66)";="(-0.66)";="(-0.67)";="(-0.69)"
="ExtDebtPercGNI_Var";="-0.00147";="-0.00148";="-0.00146";="-0.00139"
="";="(-0.44)";="(-0.44)";="(-0.43)";="(-0.42)"
="GGXWDN_NGDP_Var";="0.0000198***";="0.0000199***";="0.0000198***";="0.0000191***"
="";="(3.26)";="(3.25)";="(3.22)";="(3.20)"
="PCPIPCH";="-0.000529";="-0.000526";="-0.000529";="-0.000554"
="";="(-1.29)";="(-1.29)";="(-1.29)";="(-1.35)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.0927";="";="";=""
="";="(0.36)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.0840";="";=""
="";="";="(0.34)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.0833";=""
="";="";="";="(0.37)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="0.220"
="";="";="";="";="(0.83)"
="Const";="-1.088***";="-1.089***";="-1.094***";="-1.170***"
="";="(-6.47)";="(-6.42)";="(-6.23)";="(-5.70)"

="lnsig2u";="";="";="";=""
="Const";="0.208";="0.210";="0.214";="0.207"
="";="(0.74)";="(0.74)";="(0.77)";="(0.75)"

="Observations";="1149";="1149";="1149";="1149"
="r2_mf";="0.00464";="0.00461";="0.00463";="0.00588"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
