
="";="(1)";="(2)";="(3)";="(4)"
="";="grossdebtDefault1";="grossdebtDefault2";="grossdebtDefault5";="grossdebtDefault10"

="Diff_UP_SM";="";="";="";=""
="NGDPDPC_Var";="-0.00279";="-0.00239";="-0.00241";="-0.00272"
="";="(-0.45)";="(-0.39)";="(-0.39)";="(-0.45)"
="NGDP_RPCH";="0.00580";="0.00387";="0.000900";="0.00213"
="";="(0.28)";="(0.19)";="(0.04)";="(0.10)"
="ExtDebtPercGNI_Var";="-0.00366";="-0.00345";="-0.00376";="-0.00370"
="";="(-1.13)";="(-1.07)";="(-1.16)";="(-1.14)"
="GGXWDG_NGDP_Var";="0.00114";="0.00142";="0.00167";="0.00129"
="";="(0.30)";="(0.37)";="(0.43)";="(0.34)"
="PCPIPCH";="-0.00933";="-0.00974";="-0.0104";="-0.00914"
="";="(-1.30)";="(-1.33)";="(-1.35)";="(-1.27)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.182";="";="";=""
="";="(0.93)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.294";="";=""
="";="";="(1.48)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.361";=""
="";="";="";="(1.54)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="0.300"
="";="";="";="";="(1.04)"
="Const";="-0.676***";="-0.720***";="-0.756***";="-0.756***"
="";="(-3.96)";="(-4.17)";="(-4.23)";="(-3.58)"

="lnsig2u";="";="";="";=""
="Const";="0.102";="0.0739";="0.0490";="0.0446"
="";="(0.36)";="(0.26)";="(0.17)";="(0.15)"

="Observations";="1103";="1103";="1103";="1103"
="r2_mf";="0.00539";="0.00732";="0.00823";="0.00636"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
