
="";="(1)";="(2)";="(3)";="(4)"
="";="netdebtDefault1";="netdebtDefault2";="netdebtDefault5";="netdebtDefault10"

="Diff_DW_MF";="";="";="";=""
="NGDPDPC_Var";="-0.000953";="-0.000245";="-0.00120";="-0.00170"
="";="(-0.18)";="(-0.05)";="(-0.22)";="(-0.31)"
="NGDP_RPCH";="-0.00365";="-0.00914";="-0.0111";="-0.00452"
="";="(-0.15)";="(-0.37)";="(-0.44)";="(-0.18)"
="ExtDebtPercGNI_Var";="-0.00380";="-0.00368";="-0.00444";="-0.00442"
="";="(-1.25)";="(-1.20)";="(-1.43)";="(-1.49)"
="GGXWDN_NGDP_Var";="0.0000138*";="0.0000131*";="0.0000147**";="0.0000139*"
="";="(1.84)";="(1.73)";="(2.05)";="(1.93)"
="PCPIPCH";="-0.00272";="-0.00254";="-0.00226";="-0.00204"
="";="(-0.44)";="(-0.40)";="(-0.37)";="(-0.33)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.279";="";="";=""
="";="(1.28)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.478**";="";=""
="";="";="(2.21)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.520**";=""
="";="";="";="(2.42)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="0.284"
="";="";="";="";="(1.03)"

="cut1";="";="";="";=""
="Const";="0.874***";="0.932***";="0.978***";="0.928***"
="";="(4.24)";="(4.46)";="(4.55)";="(3.88)"

="cut2";="";="";="";=""
="Const";="2.065***";="2.128***";="2.166***";="2.115***"
="";="(8.46)";="(8.49)";="(8.40)";="(7.56)"

="sigma2_u";="";="";="";=""
="Const";="0.897***";="0.817***";="0.769***";="0.856***"
="";="(3.57)";="(3.55)";="(3.56)";="(3.43)"

="Observations";="851";="851";="851";="851"
="r2_mf";="0.00716";="0.0130";="0.0126";="0.00613"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
