
="";="(1)";="(2)";="(3)";="(4)"
="";="grossdebtDefault1";="grossdebtDefault2";="grossdebtDefault5";="grossdebtDefault10"

="Diff_DW_SF";="";="";="";=""
="NGDPDPC_Var";="-0.0113**";="-0.0114**";="-0.0113**";="-0.0119**"
="";="(-2.22)";="(-2.23)";="(-2.21)";="(-2.32)"
="NGDP_RPCH";="-0.0224";="-0.0224";="-0.0250";="-0.0210"
="";="(-1.01)";="(-1.01)";="(-1.11)";="(-0.93)"
="ExtDebtPercGNI_Var";="-0.00404**";="-0.00400*";="-0.00401*";="-0.00435**"
="";="(-1.97)";="(-1.94)";="(-1.90)";="(-2.10)"
="GGXWDG_NGDP_Var";="0.00201";="0.00205";="0.00218";="0.00201"
="";="(0.49)";="(0.50)";="(0.54)";="(0.50)"
="PCPIPCH";="-0.000110";="-0.0000914";="-0.0000783";="-0.0000695"
="";="(-0.25)";="(-0.21)";="(-0.18)";="(-0.16)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.326";="";="";=""
="";="(1.57)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.281";="";=""
="";="";="(1.46)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.433***";=""
="";="";="";="(2.67)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="0.183"
="";="";="";="";="(1.00)"

="cut1";="";="";="";=""
="Const";="0.885***";="0.879***";="0.961***";="0.875***"
="";="(5.34)";="(5.28)";="(5.86)";="(5.06)"

="cut2";="";="";="";=""
="Const";="2.310***";="2.302***";="2.389***";="2.294***"
="";="(11.67)";="(11.66)";="(11.77)";="(10.99)"

="sigma2_u";="";="";="";=""
="Const";="0.891***";="0.885***";="0.873***";="0.904***"
="";="(3.24)";="(3.24)";="(3.25)";="(3.24)"

="Observations";="1194";="1194";="1194";="1194"
="r2_mf";="0.0208";="0.0198";="0.0233";="0.0178"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
