
="";="(1)";="(2)";="(3)";="(4)"
="";="netdebtDefault1";="netdebtDefault2";="netdebtDefault5";="netdebtDefault10"

="Diff_DW_SF";="";="";="";=""
="NGDPDPC_Var";="-0.0125***";="-0.0126***";="-0.0126***";="-0.0130***"
="";="(-2.59)";="(-2.60)";="(-2.58)";="(-2.68)"
="NGDP_RPCH";="-0.0250";="-0.0252";="-0.0279";="-0.0236"
="";="(-1.16)";="(-1.17)";="(-1.27)";="(-1.08)"
="ExtDebtPercGNI_Var";="-0.00407**";="-0.00403*";="-0.00404*";="-0.00438**"
="";="(-1.97)";="(-1.95)";="(-1.90)";="(-2.11)"
="GGXWDN_NGDP_Var";="-0.00000526";="-0.00000536";="-0.00000456";="-0.00000509"
="";="(-0.61)";="(-0.62)";="(-0.55)";="(-0.59)"
="PCPIPCH";="-0.000116";="-0.0000977";="-0.0000850";="-0.0000760"
="";="(-0.27)";="(-0.22)";="(-0.19)";="(-0.17)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.324";="";="";=""
="";="(1.56)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.278";="";=""
="";="";="(1.45)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.428***";=""
="";="";="";="(2.66)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="0.177"
="";="";="";="";="(0.97)"

="cut1";="";="";="";=""
="Const";="0.863***";="0.856***";="0.935***";="0.850***"
="";="(5.48)";="(5.45)";="(6.03)";="(5.22)"

="cut2";="";="";="";=""
="Const";="2.288***";="2.279***";="2.363***";="2.269***"
="";="(12.30)";="(12.36)";="(12.45)";="(11.63)"

="sigma2_u";="";="";="";=""
="Const";="0.895***";="0.889***";="0.876***";="0.909***"
="";="(3.24)";="(3.23)";="(3.25)";="(3.24)"

="Observations";="1194";="1194";="1194";="1194"
="r2_mf";="0.0203";="0.0194";="0.0227";="0.0173"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
