
="";="(1)";="(2)";="(3)";="(4)"
="";="structbalDefault1";="structbalDefault2";="structbalDefault5";="structbalDefault10"

="Diff_DW_SF";="";="";="";=""
="NGDPDPC_Var";="-0.0142**";="-0.0141**";="-0.0146**";="-0.0147**"
="";="(-2.38)";="(-2.36)";="(-2.42)";="(-2.50)"
="NGDP_RPCH";="-0.0241";="-0.0264";="-0.0287";="-0.0245"
="";="(-0.99)";="(-1.09)";="(-1.17)";="(-1.01)"
="ExtDebtPercGNI_Var";="-0.00609*";="-0.00591*";="-0.00653*";="-0.00660*"
="";="(-1.71)";="(-1.66)";="(-1.72)";="(-1.85)"
="GGSB_NPGDP";="-0.0198";="-0.0213";="-0.0189";="-0.0148"
="";="(-0.74)";="(-0.79)";="(-0.72)";="(-0.57)"
="PCPIPCH";="-0.0000627";="-0.0000380";="-0.0000226";="-0.0000268"
="";="(-0.14)";="(-0.09)";="(-0.05)";="(-0.06)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.532**";="";="";=""
="";="(2.19)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.508**";="";=""
="";="";="(2.42)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.478***";=""
="";="";="";="(3.05)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="0.151"
="";="";="";="";="(0.88)"

="cut1";="";="";="";=""
="Const";="1.032***";="1.042***";="1.048***";="0.943***"
="";="(5.22)";="(5.17)";="(5.25)";="(4.62)"

="cut2";="";="";="";=""
="Const";="2.401***";="2.410***";="2.415***";="2.298***"
="";="(10.96)";="(10.87)";="(10.84)";="(10.12)"

="sigma2_u";="";="";="";=""
="Const";="0.911***";="0.910***";="0.916***";="0.940***"
="";="(3.46)";="(3.44)";="(3.45)";="(3.57)"

="Observations";="960";="960";="960";="960"
="r2_mf";="0.0302";="0.0297";="0.0276";="0.0210"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
