
="";="(1)";="(2)";="(3)";="(4)"
="";="budgetbalDefault1";="budgetbalDefault2";="budgetbalDefault5";="budgetbalDefault10"

="Diff_DW_SM";="";="";="";=""
="NGDPDPC_Var";="-0.0105*";="-0.0106*";="-0.0106*";="-0.0105*"
="";="(-1.66)";="(-1.67)";="(-1.66)";="(-1.66)"
="NGDP_RPCH";="0.0146";="0.0148";="0.0148";="0.0146"
="";="(0.74)";="(0.76)";="(0.75)";="(0.74)"
="ExtDebtPercGNI_Var";="0.00325";="0.00319";="0.00322";="0.00327"
="";="(0.99)";="(0.98)";="(0.98)";="(0.99)"
="BudgetBal_NGDP_Var";="0.000206***";="0.000207***";="0.000206***";="0.000206***"
="";="(3.52)";="(3.53)";="(3.52)";="(3.51)"
="PCPIPCH";="-0.000310";="-0.000307";="-0.000313";="-0.000312"
="";="(-0.51)";="(-0.51)";="(-0.51)";="(-0.51)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.0263";="";="";=""
="";="(-0.17)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="-0.0639";="";=""
="";="";="(-0.43)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.0434";=""
="";="";="";="(-0.30)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.0291"
="";="";="";="";="(-0.15)"

="cut1";="";="";="";=""
="Const";="0.508***";="0.494***";="0.498***";="0.502***"
="";="(3.28)";="(3.17)";="(3.17)";="(2.96)"

="cut2";="";="";="";=""
="Const";="1.790***";="1.777***";="1.780***";="1.784***"
="";="(9.96)";="(9.72)";="(9.60)";="(8.87)"

="sigma2_u";="";="";="";=""
="Const";="1.116***";="1.125***";="1.122***";="1.118***"
="";="(4.28)";="(4.31)";="(4.31)";="(4.25)"

="Observations";="1165";="1165";="1165";="1165"
="r2_mf";="0.0110";="0.0111";="0.0110";="0.0110"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
