
="";="(1)";="(2)";="(3)";="(4)"
="";="grossdebtDefault1";="grossdebtDefault2";="grossdebtDefault5";="grossdebtDefault10"

="Diff_DW_SM";="";="";="";=""
="NGDPDPC_Var";="-0.00604";="-0.00610";="-0.00609";="-0.00602"
="";="(-0.89)";="(-0.90)";="(-0.89)";="(-0.89)"
="NGDP_RPCH";="0.0290*";="0.0292*";="0.0292*";="0.0290*"
="";="(1.66)";="(1.67)";="(1.66)";="(1.66)"
="ExtDebtPercGNI_Var";="0.00338";="0.00335";="0.00336";="0.00340"
="";="(1.04)";="(1.03)";="(1.03)";="(1.04)"
="GGXWDG_NGDP_Var";="0.00884***";="0.00881***";="0.00882***";="0.00884***"
="";="(3.57)";="(3.57)";="(3.53)";="(3.56)"
="PCPIPCH";="-0.000232";="-0.000230";="-0.000233";="-0.000233"
="";="(-0.42)";="(-0.41)";="(-0.42)";="(-0.42)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.0192";="";="";=""
="";="(-0.12)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="-0.0432";="";=""
="";="";="(-0.29)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.0344";=""
="";="";="";="(-0.24)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.0215"
="";="";="";="";="(-0.11)"

="cut1";="";="";="";=""
="Const";="0.620***";="0.611***";="0.611***";="0.615***"
="";="(4.14)";="(4.05)";="(3.94)";="(3.66)"

="cut2";="";="";="";=""
="Const";="1.904***";="1.895***";="1.896***";="1.900***"
="";="(10.84)";="(10.62)";="(10.30)";="(9.52)"

="sigma2_u";="";="";="";=""
="Const";="1.118***";="1.123***";="1.122***";="1.119***"
="";="(4.21)";="(4.24)";="(4.24)";="(4.18)"

="Observations";="1165";="1165";="1165";="1165"
="r2_mf";="0.0124";="0.0124";="0.0124";="0.0124"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
