
="";="(1)";="(2)";="(3)";="(4)"
="";="budgetbalDefault1";="budgetbalDefault2";="budgetbalDefault5";="budgetbalDefault10"

="Diff_UP_MF";="";="";="";=""
="NGDPDPC_Var";="0.0109";="0.0110";="0.0108";="0.0110"
="";="(1.38)";="(1.39)";="(1.40)";="(1.40)"
="NGDP_RPCH";="-0.0396*";="-0.0400*";="-0.0391*";="-0.0404**"
="";="(-1.90)";="(-1.92)";="(-1.89)";="(-1.96)"
="ExtDebtPercGNI_Var";="0.00646*";="0.00649*";="0.00641*";="0.00646*"
="";="(1.90)";="(1.90)";="(1.91)";="(1.89)"
="BudgetBal_NGDP_Var";="-0.0000154";="-0.0000145";="-0.0000160";="-0.0000148"
="";="(-0.37)";="(-0.34)";="(-0.37)";="(-0.34)"
="PCPIPCH";="-0.000621";="-0.000633";="-0.000615";="-0.000663"
="";="(-0.30)";="(-0.29)";="(-0.30)";="(-0.29)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.0157";="";="";=""
="";="(-0.08)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.0232";="";=""
="";="";="(0.12)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.0507";=""
="";="";="";="(-0.19)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="0.0652"
="";="";="";="";="(0.22)"

="cut1";="";="";="";=""
="Const";="0.545***";="0.554***";="0.532***";="0.576***"
="";="(3.35)";="(3.44)";="(3.08)";="(2.88)"

="cut2";="";="";="";=""
="Const";="1.874***";="1.883***";="1.861***";="1.904***"
="";="(9.51)";="(9.57)";="(9.19)";="(8.51)"

="sigma2_u";="";="";="";=""
="Const";="1.072***";="1.069***";="1.077***";="1.062***"
="";="(4.33)";="(4.35)";="(4.32)";="(4.27)"

="Observations";="903";="903";="903";="903"
="r2_mf";="0.00933";="0.00934";="0.00941";="0.00944"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
