
="";="(1)";="(2)";="(3)";="(4)"
="";="budgetbalDefault1";="budgetbalDefault2";="budgetbalDefault5";="budgetbalDefault10"

="Diff_UP_SM";="";="";="";=""
="NGDPDPC_Var";="-0.00195";="-0.00167";="-0.00197";="-0.00224"
="";="(-0.38)";="(-0.32)";="(-0.39)";="(-0.44)"
="NGDP_RPCH";="-0.00542";="-0.00767";="-0.00988";="-0.00556"
="";="(-0.23)";="(-0.33)";="(-0.42)";="(-0.24)"
="ExtDebtPercGNI_Var";="-0.00274";="-0.00249";="-0.00289";="-0.00293"
="";="(-0.95)";="(-0.87)";="(-1.02)";="(-1.02)"
="BudgetBal_NGDP_Var";="0.00000485";="0.00000187";="0.00000334";="0.00000358"
="";="(0.69)";="(0.26)";="(0.50)";="(0.52)"
="PCPIPCH";="-0.00757";="-0.00791";="-0.00841";="-0.00710"
="";="(-1.03)";="(-1.04)";="(-1.06)";="(-0.98)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.247*";="";="";=""
="";="(1.66)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.336**";="";=""
="";="";="(1.96)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.349";=""
="";="";="";="(1.54)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="0.175"
="";="";="";="";="(0.54)"

="cut1";="";="";="";=""
="Const";="0.670***";="0.708***";="0.725***";="0.681***"
="";="(4.17)";="(4.33)";="(4.15)";="(3.05)"

="cut2";="";="";="";=""
="Const";="1.850***";="1.890***";="1.906***";="1.859***"
="";="(9.40)";="(9.74)";="(9.32)";="(7.39)"

="sigma2_u";="";="";="";=""
="Const";="0.901***";="0.891***";="0.881***";="0.905***"
="";="(4.13)";="(4.09)";="(4.05)";="(3.69)"

="Observations";="1103";="1103";="1103";="1103"
="r2_mf";="0.00447";="0.00619";="0.00587";="0.00315"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
