
="";="(1)";="(2)";="(3)";="(4)"
="";="grossdebtDefault1";="grossdebtDefault2";="grossdebtDefault5";="grossdebtDefault10"

="Diff_UP_SM";="";="";="";=""
="NGDPDPC_Var";="-0.00191";="-0.00152";="-0.00175";="-0.00223"
="";="(-0.35)";="(-0.28)";="(-0.32)";="(-0.41)"
="NGDP_RPCH";="-0.00520";="-0.00739";="-0.00944";="-0.00545"
="";="(-0.23)";="(-0.33)";="(-0.41)";="(-0.25)"
="ExtDebtPercGNI_Var";="-0.00275";="-0.00248";="-0.00288";="-0.00294"
="";="(-0.96)";="(-0.87)";="(-1.01)";="(-1.02)"
="GGXWDG_NGDP_Var";="-0.00000479";="0.000224";="0.000337";="-0.0000395"
="";="(-0.00)";="(0.07)";="(0.11)";="(-0.01)"
="PCPIPCH";="-0.00752";="-0.00789";="-0.00837";="-0.00707"
="";="(-1.02)";="(-1.04)";="(-1.05)";="(-0.97)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.243";="";="";=""
="";="(1.64)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.338**";="";=""
="";="";="(1.98)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.351";=""
="";="";="";="(1.57)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="0.175"
="";="";="";="";="(0.54)"

="cut1";="";="";="";=""
="Const";="0.670***";="0.711***";="0.729***";="0.681***"
="";="(4.15)";="(4.35)";="(4.22)";="(3.02)"

="cut2";="";="";="";=""
="Const";="1.851***";="1.893***";="1.910***";="1.859***"
="";="(9.35)";="(9.78)";="(9.42)";="(7.31)"

="sigma2_u";="";="";="";=""
="Const";="0.904***";="0.891***";="0.882***";="0.906***"
="";="(4.13)";="(4.09)";="(4.06)";="(3.69)"

="Observations";="1103";="1103";="1103";="1103"
="r2_mf";="0.00437";="0.00618";="0.00584";="0.00310"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
